scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,50000,29265,1696,706,4.9328,9.9926,-0.339,-0.2808,-0.1598
1,50001,100000,73938,562,240,0.3737,7.2087,-0.9014,-6.1855,-0.4579
1,100001,150000,126882,1183,419,4.7993,9.5183,-0.3296,-0.2933,-0.1568
1,150001,200000,182786,798,316,2.3859,5.7256,-0.4117,-0.4665,-0.1898
1,200001,250000,224197,1602,621,9.7398,9.2423,0.0262,0.0198,0.013
1,250001,300000,273709,924,303,1.8571,4.6899,-0.4327,-0.4095,-0.2034
1,300001,350000,325002,1568,421,5.3063,5.7212,-0.0376,-0.0245,-0.0143
1,350001,400000,374662,1791,531,7.5885,7.2587,0.0222,0.0181,0.0096
1,400001,450000,424343,1807,619,6.8625,8.1497,-0.0857,-0.0497,-0.0326
1,450001,500000,475851,1710,574,6.6016,10.5476,-0.2301,-0.2023,-0.1157
1,500001,550000,525905,1892,610,8.4089,8.3503,0.0035,0.0038,0.0014
1,550001,600000,575316,1632,433,8.3157,8.9563,-0.0371,-0.0555,-0.0206
1,600001,650000,626653,1487,400,7.5626,6.2703,0.0934,0.1081,0.0485
1,650001,700000,673707,1514,593,13.1597,8.9167,0.1922,0.1705,0.097
1,700001,750000,726952,1229,456,4.8689,7.4008,-0.2064,-0.1395,-0.0715
1,750001,800000,773975,1152,495,7.0383,16.4714,-0.4012,-0.3458,-0.1864
1,800001,850000,820599,1098,375,5.2648,6.8239,-0.129,-0.1286,-0.0659
1,850001,900000,867266,1034,465,6.4382,6.8014,-0.0274,-0.0161,-0.0106
1,900001,950000,921773,950,331,4.4616,6.9084,-0.2152,-0.1966,-0.1091
1,950001,1000000,975758,364,101,0.8767,4.3468,-0.6643,-2.3717,-0.4594
1,1000001,1050000,1028253,1498,615,9.1019,15.2547,-0.2526,-0.2586,-0.1324
1,1050001,1100000,1076990,1663,695,8.1761,10.7478,-0.1359,-0.0893,-0.0547
1,1100001,1150000,1125943,1496,600,8.8898,8.3462,0.0315,0.0161,0.012
1,1150001,1200000,1174260,1448,564,3.5141,5.4464,-0.2156,-0.0871,-0.0655
1,1200001,1250000,1225167,1520,639,12.3843,21.8547,-0.2766,-0.2984,-0.1521
1,1250001,1300000,1273485,1607,667,13.0335,10.4884,0.1082,0.0471,0.034
1,1300001,1350000,1324786,1529,610,13.2652,7.0077,0.3087,0.13,0.0897
1,1350001,1400000,1374795,1508,517,16.4417,8.9979,0.2926,0.1793,0.119
1,1400001,1450000,1424976,1168,317,7.8138,2.5213,0.5121,0.4445,0.2207
1,1450001,1500000,1475629,1287,445,7.6646,7.5106,0.0101,0.0054,0.0032
1,1500001,1550000,1524295,1482,665,11.7575,13.17,-0.0567,-0.0339,-0.0225
1,1550001,1600000,1574458,1496,698,13.1376,13.5212,-0.0144,-0.015,-0.0083
1,1600001,1650000,1622780,1303,526,10.9476,10.6195,0.0152,0.0124,0.0079
1,1650001,1700000,1675180,1381,475,7.9185,7.9647,-0.0029,-0.0032,-0.0018
1,1700001,1750000,1724284,1205,403,3.4509,10.1302,-0.4918,-0.7371,-0.2223
1,1750001,1800000,1773922,1375,508,2.6507,6.973,-0.4491,-0.3623,-0.1483
1,1800001,1850000,1826895,1421,463,7.3247,5.6076,0.1328,0.095,0.0567
1,1850001,1900000,1875551,1375,422,20.9167,8.4589,0.4241,0.4457,0.2698
1,1900001,1950000,1925952,1425,534,35.9711,7.5928,0.6514,0.697,0.5483
1,1950001,2000000,1973932,1355,483,12.9459,4.2101,0.5092,0.2868,0.2263
1,2000001,2050000,2025208,1152,367,5.0404,5.4357,-0.0377,-0.0317,-0.0159
1,2050001,2100000,2074296,1217,391,3.8527,10.1306,-0.449,-0.9146,-0.2023
1,2100001,2150000,2124764,1216,444,13.3731,17.1855,-0.1248,-0.0989,-0.0681
1,2150001,2200000,2174937,1200,415,5.3149,6.3312,-0.0873,-0.0574,-0.0376
1,2200001,2250000,2224917,1338,507,9.6644,11.3633,-0.0808,-0.0805,-0.0362
1,2250001,2300000,2274270,1486,659,9.4435,19.7928,-0.354,-0.6843,-0.2052
1,2300001,2350000,2336678,767,300,7.4873,6.3266,0.084,0.0382,0.0263
1,2350001,2400000,2374848,1310,563,12.1485,7.4654,0.2388,0.0997,0.0712
1,2400001,2450000,2425285,1242,486,5.0487,9.5625,-0.3089,-0.1945,-0.1035
1,2450001,2500000,2475335,1250,437,4.7013,9.724,-0.3482,-0.1642,-0.1005
1,2500001,2550000,2522450,1071,380,5.0322,4.1903,0.0913,0.0266,0.0195
1,2550001,2600000,2574315,997,347,4.3475,11.5931,-0.4545,-0.4394,-0.2158
1,2600001,2650000,2624786,1189,479,8.6366,16.4838,-0.3124,-0.2164,-0.1408
1,2650001,2700000,2673395,1159,442,7.7424,11.2475,-0.1846,-0.0987,-0.0628
1,2700001,2750000,2724418,1141,403,7.3535,10.8697,-0.193,-0.084,-0.0586
1,2750001,2800000,2775006,1140,379,5.2081,7.9539,-0.2086,-0.069,-0.0497
1,2800001,2850000,2825747,1135,415,10.2632,4.0565,0.4334,0.1928,0.158
1,2850001,2900000,2875981,1106,442,6.6889,5.1708,0.128,0.0452,0.0322
1,2900001,2950000,2924463,1054,437,8.5562,13.1355,-0.2111,-0.2394,-0.128
1,2950001,3000000,2975916,1137,465,5.8032,13.1239,-0.3868,-0.3549,-0.1923
1,3000001,3050000,3024378,1238,498,5.7234,14.8313,-0.4431,-0.4811,-0.245
1,3050001,3100000,3075754,1246,466,5.4314,8.3121,-0.2096,-0.1081,-0.0716
1,3100001,3150000,3123590,1362,546,7.6427,9.7048,-0.1189,-0.068,-0.0473
1,3150001,3200000,3174945,1090,485,9.5022,4.7974,0.329,0.13,0.107
1,3200001,3250000,3223953,1214,418,4.3966,5.9568,-0.1507,-0.0311,-0.0246
1,3250001,3300000,3276074,1256,460,8.0409,14.7089,-0.2931,-0.1884,-0.113
1,3300001,3350000,3323227,1154,458,2.136,1.9279,0.0512,0.0095,0.0068
