scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1,50000,24709,1196,467,10.3816,8.7006,0.0881,0.0313,0.0238
Z,50001,100000,75657,1081,399,15.8952,6.6585,0.4095,0.1528,0.121
Z,100001,150000,123795,964,417,16.1723,8.951,0.2874,0.1381,0.0988
Z,150001,200000,173837,827,289,8.5473,8.2171,0.0197,0.0068,0.0049
Z,200001,250000,225710,650,229,6.2481,4.8198,0.1291,0.034,0.0281
Z,250001,300000,276060,1103,570,3.3102,5.9753,-0.287,-0.0163,-0.015
Z,300001,350000,326696,1218,602,79.9611,9.869,0.7803,0.4514,0.3998
Z,350001,400000,372636,952,382,28.9122,7.6917,0.5797,0.17,0.1532
Z,400001,450000,428691,786,300,9.6521,6.7272,0.1786,0.0627,0.0499
Z,450001,500000,473098,927,336,29.3957,4.2562,0.747,0.3324,0.3104
Z,500001,550000,525799,790,299,6.3086,5.5657,0.0626,0.0279,0.0178
Z,550001,600000,576801,809,359,11.1068,7.7067,0.1807,0.0527,0.0459
Z,600001,650000,626211,1095,430,27.7626,8.7168,0.5221,0.2355,0.1821
Z,650001,700000,674845,1038,366,23.4936,6.7165,0.5553,0.2351,0.1829
Z,700001,750000,725126,966,323,5.1815,8.3246,-0.2327,-0.0529,-0.038
Z,750001,800000,773982,1045,446,11.4082,10.2049,0.0557,0.0238,0.0156
Z,800001,850000,825831,956,341,7.8644,11.8183,-0.2009,-0.0702,-0.0523
Z,850001,900000,875859,930,338,10.9817,11.5273,-0.0242,-0.0093,-0.007
Z,900001,950000,923706,928,325,10.5967,10.6188,-0.001,-0.0004,-0.0003
Z,950001,1000000,974948,960,380,8.4241,10.5484,-0.112,-0.0338,-0.0266
Z,1000001,1050000,1026463,1134,483,10.8739,8.3418,0.1318,0.0378,0.0291
Z,1050001,1100000,1075025,958,425,5.4564,14.6357,-0.4569,-0.1678,-0.1165
Z,1100001,1150000,1127010,925,423,17.9988,14.668,0.102,0.058,0.0421
Z,1150001,1200000,1175318,963,341,6.1116,8.3215,-0.1531,-0.0829,-0.0498
Z,1200001,1250000,1225110,901,335,12.7061,7.5329,0.2556,0.1358,0.1003
Z,1250001,1300000,1275668,905,351,22.3785,9.7404,0.3935,0.2287,0.1725
Z,1300001,1350000,1326400,1048,411,13.1888,8.8491,0.1969,0.0854,0.0616
Z,1350001,1400000,1375478,1009,388,27.5784,8.1677,0.543,0.3812,0.2688
Z,1400001,1450000,1424825,1040,389,20.9908,11.4192,0.2953,0.1708,0.1001
Z,1450001,1500000,1474912,957,375,20.9935,12.8465,0.2407,0.128,0.0893
Z,1500001,1550000,1523723,765,242,7.2324,2.4216,0.4983,0.2442,0.1105
Z,1550001,1600000,1575477,854,344,10.7731,9.6161,0.0567,0.0342,0.0197
Z,1600001,1650000,1624904,825,334,2.6083,4.335,-0.2487,-0.1494,-0.0474
Z,1650001,1700000,1674908,850,316,31.9952,3.7401,0.7907,0.4976,0.3647
Z,1700001,1750000,1725191,798,319,22.9507,4.1965,0.6908,0.4444,0.2692
Z,1750001,1800000,1775999,1000,335,9.0372,9.8527,-0.0432,-0.0192,-0.0135
Z,1800001,1850000,1824388,873,296,14.4838,6.5525,0.377,0.1455,0.1192
Z,1850001,1900000,1876144,1004,354,4.1023,5.4041,-0.1369,-0.0884,-0.0361
