scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1,50000,24709,1196,471,6.5424,12.738,-0.3213,-0.091,-0.0674
Z,50001,100000,75657,1081,387,7.3942,5.53,0.1442,0.0292,0.0249
Z,100001,150000,123795,964,421,10.0616,7.3266,0.1573,0.047,0.0391
Z,150001,200000,173837,827,295,9.7039,8.9492,0.0405,0.0146,0.0111
Z,200001,250000,225710,650,225,5.9426,5.936,0.0006,0.0002,0.0001
Z,250001,300000,276060,1103,329,5.1227,6.5927,-0.1255,-0.0654,-0.0403
Z,300001,350000,326696,1218,544,9.5847,11.7993,-0.1036,-0.017,-0.0146
Z,350001,400000,372636,952,312,5.964,14.6808,-0.4222,-0.1097,-0.0899
Z,400001,450000,428691,786,285,5.8218,6.0165,-0.0164,-0.0045,-0.0037
Z,450001,500000,473098,927,345,7.9954,6.8562,0.0767,0.0136,0.0121
Z,500001,550000,525799,790,313,4.7515,3.9145,0.0966,0.0163,0.0124
Z,550001,600000,576801,809,302,1.1308,7.9406,-0.7507,-0.1775,-0.1313
Z,600001,650000,626211,1095,393,14.6801,11.7163,0.1123,0.0405,0.0312
Z,650001,700000,674845,1038,362,9.3372,7.5354,0.1068,0.0293,0.0226
Z,700001,750000,725126,966,315,4.6823,4.7838,-0.0107,-0.0019,-0.0015
Z,750001,800000,773982,1045,446,7.4048,8.4809,-0.0677,-0.0141,-0.0111
Z,800001,850000,825831,956,348,11.5782,7.1368,0.2373,0.088,0.0677
Z,850001,900000,875859,930,337,8.12,11.1401,-0.1568,-0.0514,-0.0394
Z,900001,950000,923706,928,313,4.7317,12.9865,-0.4659,-0.1664,-0.1242
Z,950001,1000000,974948,960,372,6.8134,8.5525,-0.1132,-0.0399,-0.0303
Z,1000001,1050000,1026463,1134,486,10.5991,9.3916,0.0604,0.0169,0.0134
Z,1050001,1100000,1075025,958,441,11.5517,10.4885,0.0482,0.0131,0.0107
Z,1100001,1150000,1127010,925,416,13.832,14.2543,-0.015,-0.0048,-0.0037
Z,1150001,1200000,1175318,963,316,7.6472,8.6287,-0.0603,-0.0309,-0.0188
Z,1200001,1250000,1225110,901,324,4.2239,10.5137,-0.4268,-0.1302,-0.0964
Z,1250001,1300000,1275668,905,365,9.1208,12.455,-0.1545,-0.0543,-0.0404
Z,1300001,1350000,1326400,1048,409,7.6658,11.3631,-0.1943,-0.0527,-0.0392
Z,1350001,1400000,1375478,1009,380,10.3338,14.4339,-0.1655,-0.0583,-0.0424
Z,1400001,1450000,1424825,1040,381,7.0928,8.7271,-0.1033,-0.0211,-0.017
Z,1450001,1500000,1474912,957,366,12.4484,14.3076,-0.0695,-0.0253,-0.0184
Z,1500001,1550000,1523723,765,242,2.6615,3.2865,-0.1051,-0.023,-0.0114
Z,1550001,1600000,1575477,854,329,4.4967,9.1236,-0.3397,-0.0999,-0.0691
Z,1600001,1650000,1624904,825,329,2.1463,2.1149,0.0074,0.0006,0.0005
Z,1650001,1700000,1674908,850,312,5.1809,8.0156,-0.2148,-0.0398,-0.0313
Z,1700001,1750000,1725191,798,337,4.9632,4.5577,0.0426,0.0062,0.0046
Z,1750001,1800000,1775999,1000,346,15.7302,7.2883,0.3667,0.1,0.0863
Z,1800001,1850000,1824388,873,313,8.5447,4.9093,0.2702,0.0463,0.0414
Z,1850001,1900000,1876144,1004,362,3.4892,4.39,-0.1143,-0.0136,-0.0117
Z,1900001,1950000,1923310,921,317,5.2942,19.1983,-0.5677,-0.2486,-0.1771
Z,1950001,2000000,1973974,860,250,4.4393,11.7206,-0.4506,-0.1276,-0.1013
Z,2000001,2050000,2024920,849,285,4.9542,3.3913,0.1873,0.0494,0.041
Z,2050001,2100000,2074253,911,350,5.4452,10.5437,-0.3189,-0.0924,-0.0718
Z,2100001,2150000,2125188,847,351,8.4008,13.977,-0.2492,-0.0825,-0.0643
Z,2150001,2200000,2174343,1157,425,25.786,13.3381,0.3182,0.1334,0.1001
Z,2200001,2250000,2225333,1091,406,3.8903,11.0303,-0.4785,-0.123,-0.0839
Z,2250001,2300000,2275445,1093,425,7.3056,12.5306,-0.2634,-0.073,-0.0554
Z,2300001,2350000,2322495,784,244,1.7744,2.5744,-0.184,-0.0249,-0.0178
Z,2350001,2400000,2375447,867,333,2.5002,3.1696,-0.1181,-0.0169,-0.0127
Z,2400001,2450000,2423745,724,268,3.3286,4.3893,-0.1374,-0.0335,-0.0246
Z,2450001,2500000,2475465,820,263,13.0915,9.1186,0.1789,0.0997,0.0714
Z,2500001,2550000,2525755,684,208,2.0636,4.56,-0.3769,-0.1341,-0.0837
Z,2550001,2600000,2574794,716,264,7.7864,3.6495,0.3617,0.1437,0.1116
Z,2600001,2650000,2622221,635,232,5.1696,4.8781,0.029,0.0107,0.0092
Z,2650001,2700000,2674881,543,204,1.7399,2.3516,-0.1495,-0.0351,-0.0221
Z,2700001,2750000,2724849,617,231,3.4415,3.9006,-0.0625,-0.0129,-0.0111
Z,2750001,2800000,2775175,651,226,1.9252,8.9544,-0.6461,-0.2339,-0.1609
Z,2800001,2850000,2825589,621,203,2.0875,11.0675,-0.6826,-0.841,-0.3429
Z,2850001,2900000,2876586,738,195,5.8734,7.6778,-0.1332,-0.0742,-0.0535
Z,2900001,2950000,2925927,962,295,9.6466,4.7614,0.3391,0.0922,0.0755
Z,2950001,3000000,2973787,779,203,7.1094,4.4653,0.2284,0.0548,0.0459
Z,3000001,3050000,3024901,735,274,11.2993,2.7269,0.6112,0.1391,0.1294
Z,3050001,3100000,3076586,752,260,3.3927,12.2815,-0.5671,-0.264,-0.1933
Z,3100001,3150000,3124321,581,262,7.7064,4.247,0.2894,0.0877,0.0819
Z,3150001,3200000,3171890,569,229,4.9349,3.3229,0.1952,0.09,0.0833
Z,3200001,3250000,3225054,566,167,12.4732,5.362,0.3987,0.3118,0.288
Z,3250001,3300000,3273629,607,208,10.4785,4.931,0.36,0.1881,0.1601
Z,3300001,3350000,3327637,648,325,24.1515,3.1462,0.7695,0.6082,0.556
Z,3350001,3400000,3372437,584,303,12.3389,6.8221,0.2879,0.147,0.131
Z,3400001,3450000,3424772,577,241,4.7384,3.9407,0.0919,0.0348,0.0296
Z,3450001,3500000,3474828,656,304,9.8059,19.4371,-0.3294,-0.1513,-0.118
Z,3500001,3550000,3525140,726,310,5.4046,11.3885,-0.3563,-0.1823,-0.1436
Z,3550001,3600000,3574743,602,265,0.6929,5.4439,-0.7742,-0.1309,-0.1075
Z,3600001,3650000,3624683,594,242,1.9665,2.2968,-0.0775,-0.0096,-0.0086
Z,3650001,3700000,3675962,543,240,2.1966,1.8691,0.0806,0.0264,0.017
Z,3700001,3750000,3725262,661,242,10.0186,3.5917,0.4722,0.3413,0.2643
Z,3750001,3800000,3772933,791,265,8.109,4.7565,0.2606,0.1186,0.0983
Z,3800001,3850000,3826716,802,337,7.5812,7.6395,-0.0038,-0.001,-0.0009
Z,3850001,3900000,3874214,665,240,4.5128,2.7026,0.2509,0.0725,0.0548
Z,3900001,3950000,3923410,621,186,2.4815,0.8395,0.4944,0.0494,0.043
Z,3950001,4000000,3977324,607,270,11.4412,17.0205,-0.196,-0.1605,-0.0964
Z,4000001,4050000,4022605,793,305,9.5884,2.0232,0.6515,0.3612,0.2543
Z,4050001,4100000,4072379,604,286,6.7929,5.4647,0.1083,0.0442,0.0333
Z,4100001,4150000,4123829,536,233,3.0376,1.401,0.3687,0.0511,0.0406
Z,4150001,4200000,4174439,475,176,0.8821,2.2529,-0.4372,-0.0472,-0.0374
Z,4200001,4250000,4225153,519,196,2.0557,2.7633,-0.1468,-0.0326,-0.0255
Z,4250001,4300000,4273021,580,236,2.409,13.6752,-0.7005,-0.7693,-0.232
Z,4300001,4350000,4323943,452,172,2.1489,2.0323,0.0279,0.009,0.0059
Z,4350001,4400000,4376270,474,139,3.1829,8.904,-0.4733,-0.7177,-0.3251
Z,4400001,4450000,4422323,482,170,5.7461,1.8938,0.5042,0.2732,0.2134
Z,4450001,4500000,4477378,350,108,1.2701,1.2235,0.0187,0.0048,0.0036
Z,4500001,4550000,4527018,430,200,3.0506,3.0121,0.0064,0.0013,0.0012
Z,4550001,4600000,4576781,513,176,1.7448,1.0712,0.2392,0.0472,0.0381
Z,4600001,4650000,4624943,524,159,0.0156,0.1989,-0.8545,-0.0329,-0.0219
Z,4650001,4700000,4673376,544,159,0.4443,0.7929,-0.2818,-0.0456,-0.0348
Z,4700001,4750000,4725266,419,93,0.396,0.3085,0.1242,0.0272,0.0166
Z,4750001,4800000,4775153,402,117,0.0742,0.5163,-0.7488,-0.1181,-0.0648
Z,4800001,4850000,4825677,430,137,1.4075,0.3476,0.6039,0.1272,0.1037
Z,4850001,4900000,4874219,503,79,0.2701,0.1034,0.4463,0.1266,0.0882
Z,4900001,4950000,4926060,398,120,0.1981,3.0355,-0.8774,-0.0964,-0.0864
Z,4950001,5000000,4975125,388,128,7.7048,1.3895,0.6944,0.2262,0.2178
Z,5000001,5050000,5027455,420,112,0.4028,4.6701,-0.8412,-0.1882,-0.1496
Z,5050001,5100000,5075484,402,73,0.7731,0.8778,-0.0634,-0.0086,-0.008
Z,5100001,5150000,5126434,384,62,0.864,0.4789,0.2867,0.0825,0.076
Z,5150001,5200000,5174475,412,89,1.3259,0.7912,0.2526,0.0609,0.0559
Z,5200001,5250000,5224295,448,137,1.683,5.2086,-0.5116,-0.0794,-0.0707
Z,5250001,5300000,5274767,448,106,0.7932,5.4599,-0.7463,-0.1355,-0.1147
Z,5300001,5350000,5325387,515,196,0.2222,0.3333,-0.2,-0.0034,-0.0032
Z,5350001,5400000,5375265,391,143,0.5628,0.4763,0.0832,0.0028,0.0026
Z,5400001,5450000,5424451,523,220,0.649,2.3623,-0.5689,-0.027,-0.0254
Z,5450001,5500000,5474488,324,137,0.066,0.387,-0.7086,-0.0205,-0.017
Z,5500001,5550000,5525862,332,141,0.0,0.0,nan,0.0,0.0
Z,5550001,5600000,5576355,353,143,0.0775,0.1536,-0.3291,-0.0035,-0.003
Z,5600001,5650000,5623334,322,116,0.4583,1.9112,-0.6131,-0.0549,-0.0465
Z,5650001,5700000,5677180,438,190,0.2031,1.8024,-0.7974,-0.0817,-0.0646
Z,5700001,5750000,5725579,435,182,1.0916,3.0669,-0.475,-0.098,-0.08
Z,5750001,5800000,5775319,401,217,11.8914,7.5106,0.2258,0.1221,0.1105
Z,5800001,5850000,5824927,353,143,3.4224,2.6876,0.1202,0.0316,0.0273
Z,5850001,5900000,5874900,492,242,2.3288,2.1974,0.029,0.0066,0.0053
Z,5900001,5950000,5927217,381,143,0.4444,0.9784,-0.3753,-0.0146,-0.0127
Z,5950001,6000000,5975396,346,170,0.6597,0.4653,0.1728,0.0057,0.0044
Z,6000001,6050000,6026243,367,166,1.1442,2.3168,-0.3388,-0.0286,-0.0227
Z,6050001,6100000,6072314,418,169,1.8441,1.6636,0.0515,0.0035,0.003
Z,6100001,6150000,6126238,365,143,5.563,7.289,-0.1343,-0.0831,-0.0609
Z,6150001,6200000,6174532,400,159,4.6569,3.529,0.1378,0.0789,0.0618
Z,6200001,6250000,6225515,293,87,0.3777,4.333,-0.8396,-0.4184,-0.2718
Z,6250001,6300000,6274504,399,166,1.4083,1.5131,-0.0359,-0.0069,-0.006
Z,6300001,6350000,6325515,527,216,3.2229,3.3614,-0.021,-0.0042,-0.0035
Z,6350001,6400000,6374766,546,236,1.0019,4.5949,-0.642,-0.1606,-0.1244
Z,6400001,6450000,6426316,490,205,6.466,12.3887,-0.3141,-0.1367,-0.1122
Z,6450001,6500000,6474925,487,191,6.6053,5.1508,0.1237,0.084,0.0687
Z,6500001,6550000,6525415,514,202,6.3611,8.3328,-0.1342,-0.0914,-0.0617
Z,6550001,6600000,6575046,588,211,1.9233,6.1942,-0.5261,-0.1557,-0.1243
Z,6600001,6650000,6625049,539,186,7.4817,1.0344,0.7571,0.1421,0.1337
Z,6650001,6700000,6676264,514,184,3.9784,0.4599,0.7928,0.1137,0.0921
Z,6700001,6750000,6725622,666,189,2.3048,4.1273,-0.2833,-0.0365,-0.0324
Z,6750001,6800000,6774496,559,165,4.0432,2.0556,0.3259,0.0499,0.0427
Z,6800001,6850000,6822411,513,126,1.5844,6.8374,-0.6237,-0.2764,-0.201
Z,6850001,6900000,6877240,433,171,3.381,5.7539,-0.2598,-0.1208,-0.0793
Z,6900001,6950000,6923745,621,270,2.9231,14.122,-0.657,-0.4154,-0.254
Z,6950001,7000000,6975198,550,225,5.8372,4.796,0.0979,0.0302,0.0207
Z,7000001,7050000,7026642,694,214,11.5927,5.4392,0.3613,0.1919,0.145
Z,7050001,7100000,7075372,576,194,1.8141,1.3604,0.1429,0.0114,0.0095
Z,7100001,7150000,7125015,815,284,3.5984,3.7944,-0.0265,-0.0032,-0.0027
Z,7150001,7200000,7173291,644,192,9.1346,1.7816,0.6736,0.147,0.1044
Z,7200001,7250000,7226349,636,233,4.7045,3.463,0.152,0.0186,0.014
Z,7250001,7300000,7276278,746,308,10.3044,5.3604,0.3156,0.0798,0.0674
Z,7300001,7350000,7325518,747,262,6.7094,3.7534,0.2825,0.0867,0.0676
Z,7350001,7400000,7363350,312,94,2.8563,1.7109,0.2508,0.1048,0.0791
Z,7400001,7450000,7431437,336,157,7.8698,0.9031,0.7941,0.3104,0.2735
Z,7450001,7500000,7475238,601,189,2.5787,5.6651,-0.3744,-0.076,-0.0603
Z,7500001,7550000,7525349,570,276,4.5521,4.0359,0.0601,0.0118,0.0101
Z,7550001,7600000,7574853,742,316,2.3186,9.6929,-0.6139,-0.149,-0.1154
Z,7600001,7650000,7627006,883,389,4.1336,4.5855,-0.0518,-0.0103,-0.007
Z,7650001,7700000,7675572,1033,465,9.5355,8.7123,0.0451,0.0098,0.0078
Z,7700001,7750000,7723695,950,369,29.0831,17.9874,0.2357,0.141,0.1178
Z,7750001,7800000,7775867,697,225,12.6677,7.5941,0.2504,0.1415,0.1069
Z,7800001,7850000,7823560,831,254,18.7724,5.1608,0.5687,0.2546,0.2091
Z,7850001,7900000,7876106,913,325,15.1428,8.4066,0.286,0.181,0.1375
Z,7900001,7950000,7923603,760,263,18.3471,5.8408,0.517,0.5168,0.322
Z,7950001,8000000,7975117,898,333,9.7633,6.997,0.165,0.0894,0.0674
Z,8000001,8050000,8024520,792,318,8.4228,13.9105,-0.2457,-0.0762,-0.0653
Z,8050001,8100000,8075703,769,274,4.6197,5.9889,-0.1291,-0.0498,-0.0423
Z,8100001,8150000,8126064,920,273,9.3417,6.9099,0.1496,0.0332,0.0304
Z,8150001,8200000,8173896,925,296,7.7266,6.4059,0.0935,0.0142,0.0129
Z,8200001,8250000,8225439,1007,358,5.3066,1.2109,0.6284,0.0913,0.084
Z,8250001,8300000,8274911,864,292,6.267,3.304,0.3096,0.0502,0.047
Z,8300001,8350000,8324458,828,250,4.3327,11.7859,-0.4624,-0.17,-0.1242
Z,8350001,8400000,8369384,524,153,0.1695,7.7056,-0.957,-0.4162,-0.2352
Z,8400001,8450000,8414762,323,28,0.4511,0.7946,-0.2757,-0.2383,-0.152
Z,8450001,8500000,8478487,432,71,1.4652,0.7837,0.303,0.0379,0.0359
Z,8500001,8550000,8526072,737,251,5.555,3.8467,0.1817,0.028,0.0261
Z,8550001,8600000,8574067,790,289,4.5996,6.1314,-0.1427,-0.0267,-0.0223
Z,8600001,8650000,8626198,896,350,6.3164,4.9155,0.1247,0.0288,0.0218
