scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1,50000,24709,1196,471,11.4491,6.5424,0.2727,0.0932,0.0548
Z,50001,100000,75657,1081,387,14.8386,7.3942,0.3348,0.1496,0.0904
Z,100001,150000,123795,964,421,19.3222,10.0616,0.3152,0.2124,0.1156
Z,150001,200000,173837,827,295,7.0812,9.7039,-0.1563,-0.0875,-0.0404
Z,200001,250000,225710,650,225,4.191,5.9426,-0.1728,-0.2844,-0.0379
Z,250001,300000,276060,1103,329,6.3421,5.1227,0.1064,0.0539,0.034
Z,300001,350000,326696,1218,544,7.0201,9.5847,-0.1544,-0.0474,-0.0176
Z,350001,400000,372636,952,312,15.035,5.964,0.432,0.2629,0.0939
Z,400001,450000,428691,786,285,11.9263,5.8218,0.344,0.198,0.1059
Z,450001,500000,473098,927,345,5.2752,7.9954,-0.205,-0.077,-0.0295
Z,500001,550000,525799,790,313,4.5085,4.7515,-0.0262,-0.0051,-0.0036
Z,550001,600000,576801,809,302,2.35,1.1308,0.3502,0.2227,0.0266
Z,600001,650000,626211,1095,393,17.5605,14.6801,0.0893,0.0574,0.0293
Z,650001,700000,674845,1038,362,15.5175,9.3372,0.2487,0.1315,0.0725
Z,700001,750000,725126,966,315,18.8945,4.6823,0.6028,0.2761,0.1768
Z,750001,800000,773982,1045,446,16.8261,7.4048,0.3888,0.1188,0.0927
Z,800001,850000,825831,956,348,8.7698,11.5782,-0.138,-0.0795,-0.0438
Z,850001,900000,875859,930,337,11.2203,8.12,0.1603,0.0751,0.0422
Z,900001,950000,923706,928,313,9.0272,4.7317,0.3122,0.1634,0.0711
Z,950001,1000000,974948,960,372,7.068,6.8134,0.0183,0.0087,0.0047
Z,1000001,1050000,1026463,1134,486,15.6197,10.5991,0.1915,0.0754,0.0547
Z,1050001,1100000,1075025,958,441,11.3093,11.5517,-0.0106,-0.0034,-0.0025
Z,1100001,1150000,1127010,925,416,22.9097,13.832,0.2471,0.1114,0.0774
Z,1150001,1200000,1175318,963,316,4.3933,7.6472,-0.2702,-0.1122,-0.0717
Z,1200001,1250000,1225110,901,324,9.1921,4.2239,0.3703,0.1283,0.0797
Z,1250001,1300000,1275668,905,365,18.3897,9.1208,0.3369,0.18,0.1092
Z,1300001,1350000,1326400,1048,409,9.0444,7.6658,0.0825,0.0236,0.0152
Z,1350001,1400000,1375478,1009,380,14.582,10.3338,0.1705,0.0775,0.0454
Z,1400001,1450000,1424825,1040,381,31.1446,7.0928,0.629,0.2898,0.2064
Z,1450001,1500000,1474912,957,366,14.2979,12.4484,0.0692,0.031,0.0188
Z,1500001,1550000,1523723,765,242,3.356,2.6615,0.1154,0.0155,0.0128
Z,1550001,1600000,1575477,854,329,16.4376,4.4967,0.5704,0.2371,0.166
Z,1600001,1650000,1624904,825,329,25.5968,2.1463,0.8453,0.2939,0.2737
Z,1650001,1700000,1674908,850,312,12.8252,5.1809,0.4245,0.1695,0.0805
Z,1700001,1750000,1725191,798,337,11.3399,4.9632,0.3911,0.0972,0.0681
Z,1750001,1800000,1775999,1000,346,11.421,15.7302,-0.1587,-0.0599,-0.044
Z,1800001,1850000,1824388,873,313,12.1573,8.5447,0.1745,0.0535,0.0399
Z,1850001,1900000,1876144,1004,362,25.6505,3.4892,0.7605,0.2519,0.2293
Z,1900001,1950000,1923310,921,317,10.6461,5.2942,0.3357,0.1739,0.079
Z,1950001,2000000,1973974,860,250,18.3595,4.4393,0.6106,0.2684,0.1829
Z,2000001,2050000,2024920,849,285,16.6413,4.9542,0.5412,0.3809,0.2385
Z,2050001,2100000,2074253,911,350,15.9284,5.4452,0.4905,0.2166,0.1393
Z,2100001,2150000,2125188,847,351,11.4741,8.4008,0.1546,0.0789,0.0371
Z,2150001,2200000,2174343,1157,425,12.3585,25.786,-0.352,-0.2921,-0.109
Z,2200001,2250000,2225333,1091,406,22.8302,3.8903,0.7088,0.3632,0.1941
Z,2250001,2300000,2275445,1093,425,15.065,7.3056,0.3469,0.1474,0.078
Z,2300001,2350000,2322495,784,244,11.0184,1.7744,0.7226,0.2599,0.1714
Z,2350001,2400000,2375447,867,333,25.0754,2.5002,0.8187,0.4099,0.3012
Z,2400001,2450000,2423745,724,268,18.4638,3.3286,0.6945,0.4603,0.2654
Z,2450001,2500000,2475465,820,263,6.4151,13.0915,-0.3423,-0.3457,-0.1203
Z,2500001,2550000,2525755,684,208,3.8724,2.0636,0.3047,0.094,0.0626
Z,2550001,2600000,2574794,716,264,17.1826,7.7864,0.3763,0.2723,0.1887
Z,2600001,2650000,2622221,635,232,9.0838,5.1696,0.2746,0.2271,0.1097
Z,2650001,2700000,2674881,543,204,6.4418,1.7399,0.5747,0.206,0.1519
Z,2700001,2750000,2724849,617,231,9.7201,3.4415,0.477,0.3899,0.1313
Z,2750001,2800000,2775175,651,226,9.0756,1.9252,0.65,0.229,0.1622
Z,2800001,2850000,2825589,621,203,5.0378,2.0875,0.4141,0.1607,0.1438
Z,2850001,2900000,2876586,738,195,10.2627,5.8734,0.272,0.2427,0.1222
Z,2900001,2950000,2925927,962,295,6.5117,9.6466,-0.194,-0.1356,-0.0473
Z,2950001,3000000,2973787,779,203,3.8714,7.1094,-0.2949,-0.1292,-0.0578
Z,3000001,3050000,3024901,735,274,14.7148,11.2993,0.1313,0.0912,0.044
Z,3050001,3100000,3076586,752,260,11.1693,3.3927,0.534,0.3982,0.1722
Z,3100001,3150000,3124321,581,262,7.9663,7.7064,0.0166,0.0229,0.0055
Z,3150001,3200000,3171890,569,229,7.0673,4.9349,0.1777,0.3122,0.0941
Z,3200001,3250000,3225054,566,167,10.816,12.4732,-0.0712,-0.2539,-0.0499
Z,3250001,3300000,3273629,607,208,12.7546,10.4785,0.098,0.127,0.0508
Z,3300001,3350000,3327637,648,325,8.1113,24.1515,-0.4972,-1.1997,-0.3799
Z,3350001,3400000,3372437,584,303,12.7952,12.3389,0.0182,0.0243,0.0094
Z,3400001,3450000,3424772,577,241,4.0141,4.7384,-0.0827,-0.0505,-0.0273
Z,3450001,3500000,3474828,656,304,10.1386,9.8059,0.0167,0.0185,0.0046
Z,3500001,3550000,3525140,726,310,11.9908,5.4046,0.3786,0.4912,0.1506
Z,3550001,3600000,3574743,602,265,11.9528,0.6929,0.8904,0.6546,0.2228
Z,3600001,3650000,3624683,594,242,3.3622,1.9665,0.2619,0.2056,0.0355
Z,3650001,3700000,3675962,543,240,18.6946,2.1966,0.7897,0.6665,0.4524
Z,3700001,3750000,3725262,661,242,15.4606,10.0186,0.2136,0.3568,0.1466
Z,3750001,3800000,3772933,791,265,23.9243,8.109,0.4937,0.5638,0.3193
Z,3800001,3850000,3826716,802,337,27.1099,7.5812,0.5629,0.8041,0.2188
Z,3850001,3900000,3874214,665,240,16.7272,4.5128,0.5751,0.5383,0.2564
Z,3900001,3950000,3923410,621,186,13.1678,2.4815,0.6829,0.3772,0.2103
Z,3950001,4000000,3977324,607,270,8.0131,11.4412,-0.1762,-0.2034,-0.069
Z,4000001,4050000,4022605,793,305,6.1063,9.5884,-0.2219,-0.2532,-0.1018
Z,4050001,4100000,4072379,604,286,4.2832,6.7929,-0.2266,-0.156,-0.0634
Z,4100001,4150000,4123829,536,233,3.0261,3.0376,-0.0019,-0.0006,-0.0003
Z,4150001,4200000,4174439,475,176,3.4901,0.8821,0.5965,0.1837,0.0687
Z,4200001,4250000,4225153,519,196,19.163,2.0557,0.8062,0.501,0.3892
Z,4250001,4300000,4273021,580,236,1.6941,2.409,-0.1742,-0.0318,-0.0194
Z,4300001,4350000,4323943,452,172,2.0288,2.1489,-0.0287,-0.0106,-0.0061
Z,4350001,4400000,4376270,474,139,1.7631,3.1829,-0.2871,-0.463,-0.1253
Z,4400001,4450000,4422323,482,170,0.6279,5.7461,-0.803,-2.5892,-0.296
Z,4450001,4500000,4477378,350,108,0.3166,1.2701,-0.6009,-0.1511,-0.0805
Z,4500001,4550000,4527018,430,200,3.5056,3.0506,0.0694,0.0296,0.0136
Z,4550001,4600000,4576781,513,176,6.3543,1.7448,0.5691,0.3216,0.2009
Z,4600001,4650000,4624943,524,159,1.2969,0.0156,0.9762,0.207,0.1355
Z,4650001,4700000,4673376,544,159,0.4095,0.4443,-0.0407,-0.0143,-0.0035
Z,4700001,4750000,4725266,419,93,0.5425,0.396,0.156,0.0525,0.0266
Z,4750001,4800000,4775153,402,117,0.311,0.0742,0.615,0.0889,0.0356
Z,4800001,4850000,4825677,430,137,0.3944,1.4075,-0.5622,-0.214,-0.0986
Z,4850001,4900000,4874219,503,79,0.2897,0.2701,0.0351,0.0179,0.0095
Z,4900001,4950000,4926060,398,120,1.5417,0.1981,0.7722,0.5069,0.0428
Z,4950001,5000000,4975125,388,128,3.1535,7.7048,-0.4192,-0.6391,-0.1507
Z,5000001,5050000,5027455,420,112,1.2508,0.4028,0.5128,1.7471,0.0335
Z,5050001,5100000,5075484,402,73,0.1294,0.7731,-0.7133,3.3542,-0.0512
Z,5100001,5150000,5126434,384,62,0.5106,0.864,-0.2571,-0.4363,-0.0662
Z,5150001,5200000,5174475,412,89,3.3947,1.3259,0.4383,0.3484,0.1662
Z,5200001,5250000,5224295,448,137,1.8508,1.683,0.0475,0.0129,0.0036
Z,5250001,5300000,5274767,448,106,0.6782,0.7932,-0.0782,-0.2413,-0.0032
Z,5300001,5350000,5325387,515,196,8.7553,0.2222,0.9505,0.4343,0.1972
Z,5350001,5400000,5375265,391,143,2.1274,0.5628,0.5816,0.1861,0.0452
Z,5400001,5450000,5424451,523,220,3.0423,0.649,0.6484,0.2133,0.0349
Z,5450001,5500000,5474488,324,137,3.2565,0.066,0.9603,0.2201,0.147
Z,5500001,5550000,5525862,332,141,4.4757,0.0,1.0,0.2313,0.2041
Z,5550001,5600000,5576355,353,143,2.5385,0.0775,0.9407,0.2171,0.0887
