scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1,50000,24709,1196,479,12.9729,11.844,0.0455,0.0221,0.0128
Z,50001,100000,75657,1081,394,7.2346,15.1049,-0.3523,-0.1877,-0.1028
Z,100001,150000,123795,964,407,9.4961,14.2468,-0.2001,-0.0907,-0.0531
Z,150001,200000,173837,827,288,3.1456,9.0715,-0.4851,-0.1478,-0.0787
Z,200001,250000,225710,650,218,4.38,6.5432,-0.198,-0.123,-0.0393
Z,250001,300000,276060,1103,562,7.0031,2.7415,0.4373,0.0157,0.015
Z,300001,350000,326696,1218,597,5.1561,102.331,-0.9041,-0.6538,-0.3635
Z,350001,400000,372636,952,378,9.4931,32.8472,-0.5516,-0.1983,-0.1279
Z,400001,450000,428691,786,300,6.0088,9.6681,-0.2334,-0.1192,-0.0624
Z,450001,500000,473098,927,336,7.5556,29.7041,-0.5944,-0.8608,-0.256
Z,500001,550000,525799,790,300,5.3508,6.3601,-0.0862,-0.0451,-0.0237
Z,550001,600000,576801,809,361,4.3616,11.2088,-0.4398,-0.2171,-0.0924
Z,600001,650000,626211,1095,439,8.7106,24.6811,-0.4783,-0.5091,-0.1974
Z,650001,700000,674845,1038,368,11.3483,22.7371,-0.3341,-0.2551,-0.1357
Z,700001,750000,725126,966,328,8.0394,9.1386,-0.064,-0.0281,-0.0156
Z,750001,800000,773982,1045,462,11.4311,12.7551,-0.0547,-0.0298,-0.0195
Z,800001,850000,825831,956,344,11.2627,9.4081,0.0897,0.0476,0.0268
Z,850001,900000,875859,930,341,9.3045,6.9599,0.1442,0.0978,0.0409
Z,900001,950000,923706,928,325,9.9378,12.6057,-0.1183,-0.089,-0.0417
Z,950001,1000000,974948,960,374,11.0844,8.2603,0.146,0.0872,0.0497
Z,1000001,1050000,1026463,1134,491,10.1082,8.5633,0.0827,0.0314,0.0209
Z,1050001,1100000,1075025,958,448,9.6618,6.436,0.2004,0.0712,0.045
Z,1100001,1150000,1127010,925,433,14.5858,19.5681,-0.1459,-0.1325,-0.066
Z,1150001,1200000,1175318,963,335,7.519,7.945,-0.0275,-0.014,-0.0095
Z,1200001,1250000,1225110,901,342,7.4529,11.5247,-0.2146,-0.1266,-0.0719
Z,1250001,1300000,1275668,905,372,9.4341,19.2686,-0.3426,-0.3013,-0.1426
Z,1300001,1350000,1326400,1048,426,7.765,15.1307,-0.3217,-0.1968,-0.1056
Z,1350001,1400000,1375478,1009,387,5.5568,25.953,-0.6473,-0.5925,-0.2723
