scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1,50000,24709,1196,479,12.9729,9.6344,0.1477,0.0653,0.0375
Z,50001,100000,75657,1081,394,7.2346,6.2932,0.0696,0.0225,0.0135
Z,100001,150000,123795,964,407,9.4961,9.3509,0.0077,0.0028,0.0017
Z,150001,200000,173837,827,288,3.1456,7.6348,-0.4164,-0.112,-0.0595
Z,200001,250000,225710,650,218,4.38,4.6944,-0.0346,-0.0179,-0.0058
Z,250001,300000,276060,1103,562,7.0031,6.4043,0.0447,0.0022,0.0021
Z,300001,350000,326696,1218,597,5.1561,9.267,-0.285,-0.0277,-0.0232
Z,350001,400000,372636,952,378,9.4931,7.3943,0.1243,0.0178,0.0132
Z,400001,450000,428691,786,300,6.0088,6.757,-0.0586,-0.0244,-0.0131
Z,450001,500000,473098,927,336,7.5556,4.2466,0.2804,0.1286,0.053
Z,500001,550000,525799,790,300,5.3508,5.5292,-0.0164,-0.008,-0.0042
Z,550001,600000,576801,809,361,4.3616,7.3865,-0.2575,-0.0959,-0.0429
Z,600001,650000,626211,1095,439,8.7106,9.6667,-0.052,-0.0305,-0.0143
Z,650001,700000,674845,1038,368,11.3483,6.5804,0.2659,0.1068,0.068
Z,700001,750000,725126,966,328,8.0394,7.916,0.0077,0.0032,0.0018
Z,750001,800000,773982,1045,462,11.4311,9.538,0.0903,0.0426,0.0286
Z,800001,850000,825831,956,344,11.2627,10.6256,0.0291,0.0164,0.0089
Z,850001,900000,875859,930,341,9.3045,12.9658,-0.1644,-0.1527,-0.0559
Z,900001,950000,923706,928,325,9.9378,11.0334,-0.0522,-0.0365,-0.0169
Z,950001,1000000,974948,960,374,11.0844,8.278,0.1449,0.0866,0.0466
Z,1000001,1050000,1026463,1134,491,10.1082,11.8858,-0.0808,-0.0362,-0.0222
Z,1050001,1100000,1075025,958,448,9.6618,14.1297,-0.1878,-0.0987,-0.0547
Z,1100001,1150000,1127010,925,433,14.5858,17.8484,-0.1006,-0.0868,-0.0434
Z,1150001,1200000,1175318,963,335,7.519,6.8724,0.0449,0.0213,0.0142
Z,1200001,1250000,1225110,901,342,7.4529,7.7747,-0.0211,-0.01,-0.0059
Z,1250001,1300000,1275668,905,372,9.4341,12.6709,-0.1464,-0.0992,-0.0505
Z,1300001,1350000,1326400,1048,426,7.765,9.2485,-0.0872,-0.0396,-0.0233
Z,1350001,1400000,1375478,1009,387,5.5568,11.2136,-0.3373,-0.1643,-0.0916
Z,1400001,1450000,1424825,1040,393,11.0737,9.6667,0.0678,0.0255,0.0167
Z,1450001,1500000,1474912,957,385,9.4104,12.2021,-0.1292,-0.0839,-0.0409
Z,1500001,1550000,1523723,765,252,4.3063,3.4321,0.113,0.0249,0.0196
Z,1550001,1600000,1575477,854,337,7.4167,10.755,-0.1837,-0.0914,-0.0543
Z,1600001,1650000,1624904,825,334,9.8699,3.8045,0.4436,0.1488,0.1253
Z,1650001,1700000,1674908,850,330,3.785,4.4413,-0.0798,-0.0278,-0.0116
Z,1700001,1750000,1725191,798,336,3.4475,4.5625,-0.1392,-0.0347,-0.0246
Z,1750001,1800000,1775999,1000,333,5.4505,9.0993,-0.2508,-0.1314,-0.0673
