BP	SNP	CHR	P	chr
50000	100000	1	0.035794	1
100000	150000	1	0.076285	1
150000	200000	1	0.057252	1
200000	250000	1	0.065472	1
250000	300000	1	0.080343	1
300000	350000	1	0.196342	1
350000	400000	1	0.273468	1
400000	450000	1	0.237095	1
450000	500000	1	0.238037	1
500000	550000	1	0.218145	1
550000	600000	1	0.198913	1
600000	650000	1	0.166386	1
650000	700000	1	0.196104	1
700000	750000	1	0.167346	1
750000	800000	1	0.086140	1
800000	850000	1	0.186633	1
850000	900000	1	0.195272	1
900000	950000	1	0.262039	1
950000	1000000	1	0.052466	1
1000000	1050000	1	0.265002	1
1050000	1100000	1	0.264405	1
1100000	1150000	1	0.404139	1
1150000	1200000	1	0.331868	1
1200000	1250000	1	0.428171	1
1250000	1300000	1	0.489466	1
1300000	1350000	1	0.470955	1
1350000	1400000	1	0.551904	1
1400000	1450000	1	0.388327	1
1450000	1500000	1	0.469665	1
1500000	1550000	1	0.520949	1
1550000	1600000	1	0.506788	1
1600000	1650000	1	0.564637	1
1650000	1700000	1	0.594575	1
1700000	1750000	1	0.634225	1
1750000	1800000	1	0.492780	1
1800000	1850000	1	0.504842	1
1850000	1900000	1	0.450769	1
1900000	1950000	1	0.387008	1
1950000	2000000	1	0.463619	1
2000000	2050000	1	0.588306	1
2050000	2100000	1	0.546306	1
2100000	2150000	1	0.550381	1
2150000	2200000	1	0.526488	1
2200000	2250000	1	0.587816	1
2250000	2300000	1	0.566483	1
2300000	2350000	1	0.544223	1
2350000	2400000	1	0.567187	1
2400000	2450000	1	0.389721	1
2450000	2500000	1	0.546445	1
2500000	2550000	1	0.484702	1
2550000	2600000	1	0.487582	1
2600000	2650000	1	0.534292	1
2650000	2700000	1	0.569221	1
2700000	2750000	1	0.483685	1
2750000	2800000	1	0.463218	1
2800000	2850000	1	0.500214	1
2850000	2900000	1	0.550540	1
2900000	2950000	1	0.517461	1
2950000	3000000	1	0.534126	1
3000000	3050000	1	0.533913	1
3050000	3100000	1	0.478084	1
3100000	3150000	1	0.434816	1
3150000	3200000	1	0.547008	1
3200000	3250000	1	0.540293	1
3250000	3300000	1	0.502604	1
3300000	3350000	1	0.458734	1
3350000	3400000	1	0.439356	1
3400000	3450000	1	0.385114	1
3450000	3500000	1	0.434756	1
3500000	3550000	1	0.518523	1
3550000	3600000	1	0.486589	1
3600000	3650000	1	0.541524	1
3650000	3700000	1	0.419600	1
3700000	3750000	1	0.508654	1
3750000	3800000	1	0.558850	1
3800000	3850000	1	0.470598	1
3850000	3900000	1	0.520256	1
