scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,50000,29265,1696,762,8.7274,10.4549,-0.0901,-0.1034,-0.0636
1,50001,100000,73938,562,288,4.9253,9.2828,-0.3067,-0.8211,-0.377
1,100001,150000,126882,1183,460,6.3121,8.5289,-0.1494,-0.2784,-0.1358
1,150001,200000,182786,798,333,4.0794,6.5047,-0.2291,-0.3675,-0.1801
1,200001,250000,224197,1602,621,8.3752,13.9092,-0.2483,-0.3791,-0.179
1,250001,300000,273709,924,321,3.5949,6.3399,-0.2763,-0.3983,-0.1798
1,300001,350000,325002,1568,411,5.3375,11.7553,-0.3755,-0.4658,-0.2091
1,350001,400000,374662,1791,568,7.0645,7.7021,-0.0432,-0.0368,-0.0187
1,400001,450000,424343,1807,821,6.4173,8.6068,-0.1457,-0.0452,-0.0339
1,450001,500000,475851,1710,890,6.5177,8.5463,-0.1347,-0.0361,-0.0292
1,500001,550000,525905,1892,716,8.7494,12.6901,-0.1838,-0.1925,-0.0843
1,550001,600000,575316,1632,515,7.1992,14.2831,-0.3298,-0.3906,-0.1803
1,600001,650000,626653,1487,429,6.154,9.7515,-0.2262,-0.599,-0.1453
1,650001,700000,673707,1514,591,11.2575,9.7549,0.0715,0.0792,0.0337
1,700001,750000,726952,1229,456,4.9872,8.4091,-0.2554,-0.2369,-0.0971
1,750001,800000,773975,1152,557,9.4019,9.1982,0.0109,0.0091,0.0052
1,800001,850000,820599,1098,416,6.8496,8.9777,-0.1345,-0.1774,-0.089
1,850001,900000,867266,1034,481,6.1635,11.6332,-0.3073,-0.316,-0.1777
1,900001,950000,921773,950,353,6.7653,5.5663,0.0972,0.0841,0.0558
1,950001,1000000,975758,364,195,2.6021,2.4415,0.0318,0.0998,0.0255
1,1000001,1050000,1028253,1498,678,14.3574,13.6397,0.0256,0.0378,0.0181
1,1050001,1100000,1076990,1663,744,11.2657,8.6939,0.1288,0.125,0.0711
1,1100001,1150000,1125943,1496,613,10.4969,11.6736,-0.0531,-0.0674,-0.0374
1,1150001,1200000,1174260,1448,578,5.157,5.7934,-0.0581,-0.0808,-0.038
1,1200001,1250000,1225167,1520,662,13.4642,18.1271,-0.1476,-0.2799,-0.1263
1,1250001,1300000,1273485,1607,670,9.2095,13.5363,-0.1902,-0.2123,-0.1095
1,1300001,1350000,1324786,1529,613,11.307,10.3686,0.0433,0.0395,0.0202
1,1350001,1400000,1374795,1508,556,10.6674,19.8464,-0.3008,-0.596,-0.237
1,1400001,1450000,1424976,1168,361,5.4815,5.0216,0.0438,0.0528,0.0212
1,1450001,1500000,1475629,1287,494,7.815,9.9782,-0.1216,-0.1632,-0.0691
1,1500001,1550000,1524295,1482,636,10.4216,16.4761,-0.2251,-0.4099,-0.1615
