BP	SNP	CHR	P	chr
50000	100000	1	0.245818	1
100000	150000	1	0.060072	1
150000	200000	1	0.147331	1
200000	250000	1	0.039709	1
250000	300000	1	0.095772	1
300000	350000	1	0.273388	1
350000	400000	1	0.234235	1
400000	450000	1	0.370609	1
450000	500000	1	0.330536	1
500000	550000	1	0.393483	1
550000	600000	1	0.222670	1
600000	650000	1	0.146779	1
650000	700000	1	0.076944	1
700000	750000	1	0.073684	1
750000	800000	1	0.067965	1
800000	850000	1	0.157324	1
850000	900000	1	0.103714	1
900000	950000	1	0.054934	1
950000	1000000	1	0.022501	1
1000000	1050000	1	0.016521	1
1050000	1100000	1	-0.020117	1
1100000	1150000	1	0.014163	1
1150000	1200000	1	0.056511	1
1200000	1250000	1	0.052643	1
1250000	1300000	1	0.027927	1
1300000	1350000	1	0.013054	1
1350000	1400000	1	0.027638	1
1400000	1450000	1	-0.047866	1
1450000	1500000	1	-0.027293	1
1500000	1550000	1	0.006189	1
1550000	1600000	1	0.003989	1
1600000	1650000	1	-0.037324	1
1650000	1700000	1	-0.009704	1
1700000	1750000	1	-0.034672	1
1750000	1800000	1	-0.023726	1
1800000	1850000	1	-0.019389	1
1850000	1900000	1	0.000731	1
1900000	1950000	1	0.000122	1
1950000	2000000	1	0.006732	1
2000000	2050000	1	-0.029127	1
2050000	2100000	1	-0.051078	1
2100000	2150000	1	-0.010937	1
2150000	2200000	1	-0.004973	1
2200000	2250000	1	0.005890	1
2250000	2300000	1	-0.003261	1
2300000	2350000	1	-0.029171	1
2350000	2400000	1	-0.028370	1
2400000	2450000	1	-0.008019	1
2450000	2500000	1	0.014462	1
2500000	2550000	1	-0.021635	1
2550000	2600000	1	-0.041094	1
2600000	2650000	1	-0.030145	1
2650000	2700000	1	-0.031720	1
2700000	2750000	1	0.056446	1
2750000	2800000	1	0.008159	1
2800000	2850000	1	-0.008842	1
2850000	2900000	1	0.031215	1
2900000	2950000	1	0.002071	1
2950000	3000000	1	0.030962	1
3000000	3050000	1	0.010149	1
3050000	3100000	1	0.011296	1
3100000	3150000	1	0.059373	1
3150000	3200000	1	0.057914	1
3200000	3250000	1	0.065267	1
3250000	3300000	1	0.033824	1
3300000	3350000	1	-0.008730	1
3350000	3400000	1	-0.017153	1
3400000	3450000	1	-0.008483	1
3450000	3500000	1	-0.003428	1
3500000	3550000	1	-0.008031	1
3550000	3600000	1	0.010165	1
3600000	3650000	1	-0.021391	1
3650000	3700000	1	-0.007651	1
3700000	3750000	1	-0.026885	1
3750000	3800000	1	-0.059032	1
3800000	3850000	1	-0.061270	1
3850000	3900000	1	-0.021622	1
3900000	3950000	1	-0.033402	1
3950000	4000000	1	-0.015560	1
4000000	4050000	1	-0.038609	1
4050000	4100000	1	-0.060522	1
4100000	4150000	1	-0.050836	1
4150000	4200000	1	-0.022872	1
4200000	4250000	1	0.035651	1
4250000	4300000	1	-0.020451	1
4300000	4350000	1	-0.020004	1
4350000	4400000	1	-0.001835	1
4400000	4450000	1	0.040614	1
4450000	4500000	1	0.089053	1
4500000	4550000	1	-0.006143	1
4550000	4600000	1	0.024102	1
4600000	4650000	1	-0.029901	1
4650000	4700000	1	-0.028698	1
4700000	4750000	1	-0.038746	1
4750000	4800000	1	0.025310	1
4800000	4850000	1	-0.005685	1
4850000	4900000	1	-0.006079	1
4900000	4950000	1	-0.039689	1
4950000	5000000	1	-0.032690	1
5000000	5050000	1	-0.034023	1
5050000	5100000	1	-0.041020	1
5100000	5150000	1	0.060790	1
5150000	5200000	1	0.009311	1
5200000	5250000	1	0.013074	1
5250000	5300000	1	-0.000591	1
5300000	5350000	1	0.008765	1
5350000	5400000	1	-0.043958	1
5400000	5450000	1	-0.057000	1
5450000	5500000	1	-0.029030	1
5500000	5550000	1	-0.037963	1
5550000	5600000	1	0.066464	1
5600000	5650000	1	0.024814	1
5650000	5700000	1	-0.002355	1
5700000	5750000	1	0.004391	1
5750000	5800000	1	0.026171	1
5800000	5850000	1	0.027032	1
5850000	5900000	1	0.008186	1
5900000	5950000	1	0.009934	1
5950000	6000000	1	0.013521	1
6000000	6050000	1	-0.010889	1
6050000	6100000	1	0.029011	1
6100000	6150000	1	0.019415	1
6150000	6200000	1	0.013560	1
6200000	6250000	1	-0.010475	1
6250000	6300000	1	-0.056188	1
6300000	6350000	1	-0.014375	1
6350000	6400000	1	-0.015341	1
6400000	6450000	1	-0.031100	1
6450000	6500000	1	0.013749	1
6500000	6550000	1	0.093870	1
6550000	6600000	1	0.019774	1
6600000	6650000	1	-0.008134	1
6650000	6700000	1	0.020217	1
6700000	6750000	1	-0.008226	1
6750000	6800000	1	0.010866	1
6800000	6850000	1	-0.000687	1
6850000	6900000	1	0.019512	1
6900000	6950000	1	0.002655	1
6950000	7000000	1	-0.022274	1
7000000	7050000	1	-0.042143	1
7050000	7100000	1	-0.025699	1
7100000	7150000	1	-0.039992	1
7150000	7200000	1	-0.016780	1
7200000	7250000	1	-0.029944	1
7250000	7300000	1	-0.033612	1
7300000	7350000	1	-0.009739	1
7350000	7400000	1	0.002776	1
7400000	7450000	1	0.029479	1
7450000	7500000	1	0.043320	1
7500000	7550000	1	0.026530	1
7550000	7600000	1	-0.027078	1
7600000	7650000	1	0.000106	1
7650000	7700000	1	0.002044	1
7700000	7750000	1	0.026663	1
7750000	7800000	1	0.053234	1
7800000	7850000	1	0.013762	1
7850000	7900000	1	-0.014683	1
7900000	7950000	1	-0.008854	1
7950000	8000000	1	-0.033645	1
8000000	8050000	1	0.142213	1
8050000	8100000	1	0.020813	1
8100000	8150000	1	-0.008300	1
8150000	8200000	1	0.074559	1
8200000	8250000	1	0.060529	1
8250000	8300000	1	0.003709	1
8300000	8350000	1	-0.035285	1
8350000	8400000	1	-0.043670	1
8400000	8450000	1	-0.030173	1
8450000	8500000	1	-0.033680	1
8500000	8550000	1	-0.018959	1
8550000	8600000	1	-0.027315	1
8600000	8650000	1	-0.039682	1
8650000	8700000	1	-0.032607	1
8700000	8750000	1	0.018726	1
8750000	8800000	1	0.045383	1
8800000	8850000	1	0.014288	1
8850000	8900000	1	-0.002023	1
8900000	8950000	1	-0.010279	1
8950000	9000000	1	-0.000203	1
9000000	9050000	1	-0.042705	1
9050000	9100000	1	-0.049885	1
9100000	9150000	1	-0.015131	1
9150000	9200000	1	0.079328	1
9200000	9250000	1	-0.077600	1
9250000	9300000	1	-0.072637	1
9300000	9350000	1	0.071499	1
9350000	9400000	1	-0.002983	1
9400000	9450000	1	0.013854	1
9450000	9500000	1	0.020561	1
9500000	9550000	1	-0.021735	1
9550000	9600000	1	-0.050988	1
9600000	9650000	1	-0.013606	1
9650000	9700000	1	-0.024581	1
9700000	9750000	1	-0.002877	1
9750000	9800000	1	0.002758	1
9800000	9850000	1	0.048002	1
9850000	9900000	1	-0.007822	1
9900000	9950000	1	-0.004038	1
9950000	10000000	1	0.021793	1
10000000	10050000	1	-0.002404	1
10050000	10100000	1	0.069784	1
10100000	10150000	1	0.077141	1
10150000	10200000	1	0.048383	1
10200000	10250000	1	0.056906	1
10250000	10300000	1	0.086822	1
10300000	10350000	1	0.037913	1
10350000	10400000	1	0.064635	1
10400000	10450000	1	0.007930	1
10450000	10500000	1	-0.023590	1
10500000	10550000	1	-0.028262	1
10550000	10600000	1	-0.053150	1
10600000	10650000	1	-0.045283	1
10650000	10700000	1	-0.045753	1
10700000	10750000	1	-0.004102	1
10750000	10800000	1	-0.017329	1
10800000	10850000	1	-0.038697	1
10850000	10900000	1	-0.050762	1
10900000	10950000	1	-0.062299	1
10950000	11000000	1	-0.055577	1
11000000	11050000	1	-0.053702	1
11050000	11100000	1	-0.045937	1
11100000	11150000	1	-0.049004	1
11150000	11200000	1	-0.003349	1
11200000	11250000	1	0.101995	1
11250000	11300000	1	0.130552	1
11300000	11350000	1	0.103510	1
11350000	11400000	1	0.001680	1
11400000	11450000	1	0.025613	1
11450000	11500000	1	0.139845	1
11500000	11550000	1	0.119453	1
11550000	11600000	1	0.121448	1
11600000	11650000	1	0.083608	1
11650000	11700000	1	0.062498	1
11700000	11750000	1	0.049983	1
11750000	11800000	1	0.065184	1
11800000	11850000	1	0.115896	1
11850000	11900000	1	0.082431	1
11900000	11950000	1	0.092736	1
11950000	12000000	1	0.164130	1
12000000	12050000	1	0.041243	1
12050000	12100000	1	-0.006962	1
12100000	12150000	1	0.068504	1
12150000	12200000	1	0.018943	1
12200000	12250000	1	0.032261	1
12250000	12300000	1	0.102882	1
12300000	12350000	1	0.178704	1
12350000	12400000	1	0.230190	1
12400000	12450000	1	0.140042	1
12450000	12500000	1	0.270250	1
12500000	12550000	1	0.240640	1
12550000	12600000	1	0.246680	1
12600000	12650000	1	0.197583	1
12650000	12700000	1	0.264665	1
12700000	12750000	1	0.196565	1
12750000	12800000	1	0.208082	1
12800000	12850000	1	0.093442	1
12850000	12900000	1	0.117659	1
12900000	12950000	1	0.108762	1
12950000	13000000	1	0.167694	1
13000000	13050000	1	0.018966	1
13050000	13100000	1	0.147346	1
13100000	13150000	1	0.096413	1
13150000	13200000	1	-0.025709	1
13200000	13250000	1	0.051771	1
13250000	13300000	1	0.147542	1
13300000	13350000	1	0.102088	1
13350000	13400000	1	-0.053729	1
13400000	13450000	1	-0.080353	1
13450000	13500000	1	0.084193	1
13500000	13550000	1	0.146086	1
13550000	13600000	1	0.097381	1
13600000	13650000	1	0.142653	1
13650000	13700000	1	0.151710	1
13700000	13750000	1	0.112915	1
13750000	13800000	1	0.114650	1
13800000	13850000	1	0.118047	1
13850000	13900000	1	0.121982	1
13900000	13950000	1	0.186494	1
13950000	14000000	1	0.134031	1
14000000	14050000	1	0.051185	1
14050000	14100000	1	-0.004481	1
14100000	14150000	1	0.044148	1
14150000	14200000	1	0.043117	1
14200000	14250000	1	0.075468	1
14250000	14300000	1	0.025346	1
14300000	14350000	1	0.100300	1
14350000	14400000	1	0.056782	1
14400000	14450000	1	0.089340	1
14450000	14500000	1	0.037106	1
14500000	14550000	1	0.065538	1
14550000	14600000	1	0.095989	1
14600000	14650000	1	0.157810	1
14650000	14700000	1	0.086392	1
14700000	14750000	1	0.068949	1
14750000	14800000	1	0.157533	1
14800000	14850000	1	0.150900	1
14850000	14900000	1	0.201829	1
14900000	14950000	1	0.074795	1
14950000	15000000	1	0.096497	1
15000000	15050000	1	0.112230	1
15050000	15100000	1	0.120771	1
15100000	15150000	1	0.141246	1
15150000	15200000	1	0.295213	1
15200000	15250000	1	0.326681	1
15250000	15300000	1	0.265089	1
15300000	15350000	1	0.161857	1
15350000	15400000	1	0.122030	1
15400000	15450000	1	0.096697	1
15450000	15500000	1	0.119116	1
15500000	15550000	1	0.068757	1
15550000	15600000	1	0.033644	1
15600000	15650000	1	0.034582	1
15650000	15700000	1	0.077991	1
15700000	15750000	1	0.083853	1
15750000	15800000	1	0.040577	1
15800000	15850000	1	0.085386	1
15850000	15900000	1	0.061941	1
15900000	15950000	1	0.032479	1
15950000	16000000	1	0.034015	1
16000000	16050000	1	0.019735	1
16050000	16100000	1	0.091115	1
16100000	16150000	1	0.126741	1
16150000	16200000	1	0.049693	1
16200000	16250000	1	0.046430	1
16250000	16300000	1	0.089202	1
16300000	16350000	1	0.094428	1
16350000	16400000	1	0.033370	1
16400000	16450000	1	0.050809	1
16450000	16500000	1	0.096294	1
16500000	16550000	1	0.069848	1
16550000	16600000	1	0.072018	1
16600000	16650000	1	0.077456	1
16650000	16700000	1	0.068913	1
16700000	16750000	1	0.177977	1
16750000	16800000	1	0.105788	1
16800000	16850000	1	0.183663	1
16850000	16900000	1	0.140229	1
16900000	16950000	1	0.268121	1
16950000	17000000	1	0.160647	1
17000000	17050000	1	0.145322	1
17050000	17100000	1	0.262088	1
17100000	17150000	1	0.239309	1
17150000	17200000	1	0.002270	1
17200000	17250000	1	0.128624	1
17250000	17300000	1	0.237899	1
17300000	17350000	1	0.117856	1
17350000	17400000	1	0.187945	1
17400000	17450000	1	0.198100	1
17450000	17500000	1	0.182229	1
17500000	17550000	1	0.194764	1
17550000	17600000	1	0.152288	1
17600000	17650000	1	0.116669	1
17650000	17700000	1	0.113093	1
17700000	17750000	1	0.092130	1
17750000	17800000	1	0.101486	1
17800000	17850000	1	0.157207	1
17850000	17900000	1	0.156308	1
17900000	17950000	1	0.194510	1
17950000	18000000	1	0.170246	1
18000000	18050000	1	0.109417	1
18050000	18100000	1	0.141528	1
18100000	18150000	1	0.188290	1
18150000	18200000	1	0.156421	1
18200000	18250000	1	0.106848	1
18250000	18300000	1	0.061917	1
18300000	18350000	1	0.194664	1
18350000	18400000	1	0.222417	1
18400000	18450000	1	0.120967	1
18450000	18500000	1	0.260846	1
18500000	18550000	1	0.191686	1
18550000	18600000	1	0.222464	1
18600000	18650000	1	0.171730	1
18650000	18700000	1	0.145484	1
18700000	18750000	1	0.146773	1
18750000	18800000	1	0.071900	1
18800000	18850000	1	0.016833	1
18850000	18900000	1	0.037574	1
18900000	18950000	1	0.078334	1
18950000	19000000	1	0.053502	1
19000000	19050000	1	0.068764	1
19050000	19100000	1	0.122849	1
19100000	19150000	1	0.117700	1
19150000	19200000	1	0.123810	1
19200000	19250000	1	0.131626	1
19250000	19300000	1	-0.017481	1
19300000	19350000	1	-0.018453	1
19350000	19400000	1	0.043946	1
19400000	19450000	1	0.000155	1
19450000	19500000	1	0.019404	1
19500000	19550000	1	0.028826	1
19550000	19600000	1	-0.015727	1
19600000	19650000	1	-0.017103	1
19650000	19700000	1	-0.007197	1
19700000	19750000	1	0.000685	1
19750000	19800000	1	0.015923	1
19800000	19850000	1	0.057883	1
19850000	19900000	1	0.050733	1
19900000	19950000	1	-0.007956	1
19950000	20000000	1	-0.003612	1
20000000	20050000	1	0.065453	1
20050000	20100000	1	0.095339	1
20100000	20150000	1	0.086460	1
20150000	20200000	1	0.045406	1
20200000	20250000	1	0.054998	1
20250000	20300000	1	0.125132	1
20300000	20350000	1	0.045459	1
20350000	20400000	1	0.048802	1
20400000	20450000	1	0.067406	1
20450000	20500000	1	0.086765	1
20500000	20550000	1	0.058724	1
20550000	20600000	1	0.048028	1
20600000	20650000	1	0.019830	1
20650000	20700000	1	0.008038	1
20700000	20750000	1	0.062508	1
20750000	20800000	1	0.042147	1
20800000	20850000	1	0.055801	1
20850000	20900000	1	0.125226	1
20900000	20950000	1	0.062800	1
20950000	21000000	1	-0.014424	1
21000000	21050000	1	0.030409	1
21050000	21100000	1	0.054753	1
21100000	21150000	1	0.042360	1
21150000	21200000	1	-0.010410	1
21200000	21250000	1	0.013821	1
21250000	21300000	1	0.099621	1
21300000	21350000	1	0.025749	1
21350000	21400000	1	-0.046012	1
21400000	21450000	1	-0.050572	1
21450000	21500000	1	0.042073	1
21500000	21550000	1	0.094561	1
21550000	21600000	1	0.109859	1
21600000	21650000	1	0.145309	1
21650000	21700000	1	-0.004991	1
21700000	21750000	1	0.016386	1
21750000	21800000	1	0.054147	1
21800000	21850000	1	0.006724	1
21850000	21900000	1	0.018626	1
21900000	21950000	1	0.022046	1
21950000	22000000	1	0.053170	1
22000000	22050000	1	0.082075	1
22050000	22100000	1	0.085168	1
22100000	22150000	1	0.042549	1
22150000	22200000	1	0.078496	1
22200000	22250000	1	0.072918	1
22250000	22300000	1	0.054641	1
22300000	22350000	1	0.128419	1
22350000	22400000	1	0.086507	1
22400000	22450000	1	0.064730	1
22450000	22500000	1	0.169952	1
22500000	22550000	1	0.143483	1
22550000	22600000	1	0.091404	1
