BP	SNP	CHR	P	chr
50000	100000	1	0.371795	1
100000	150000	1	0.110127	1
150000	200000	1	0.297964	1
200000	250000	1	0.092669	1
250000	300000	1	0.090548	1
300000	350000	1	0.283508	1
350000	400000	1	0.141243	1
400000	450000	1	0.216020	1
450000	500000	1	0.203414	1
500000	550000	1	0.167189	1
550000	600000	1	0.126224	1
600000	650000	1	0.102350	1
650000	700000	1	0.161312	1
700000	750000	1	0.250989	1
750000	800000	1	0.138026	1
800000	850000	1	0.029790	1
850000	900000	1	0.062137	1
1000000	1050000	1	0.206970	1
1050000	1100000	1	0.283771	1
1100000	1150000	1	0.266954	1
1150000	1200000	1	0.223375	1
1200000	1250000	1	0.277798	1
1250000	1300000	1	0.338994	1
1300000	1350000	1	0.297478	1
1350000	1400000	1	0.281021	1
1400000	1450000	1	0.139591	1
1450000	1500000	1	0.299017	1
1500000	1550000	1	0.298393	1
1550000	1600000	1	0.178135	1
1600000	1650000	1	0.248127	1
1650000	1700000	1	0.218169	1
1700000	1750000	1	0.208937	1
1750000	1800000	1	0.224440	1
1800000	1850000	1	0.249372	1
1850000	1900000	1	0.126413	1
1900000	1950000	1	0.040869	1
1950000	2000000	1	0.222702	1
2000000	2050000	1	0.189786	1
2050000	2100000	1	0.210486	1
2100000	2150000	1	0.336714	1
2150000	2200000	1	0.213589	1
2200000	2250000	1	0.150120	1
2250000	2300000	1	0.229575	1
2300000	2350000	1	0.433463	1
2350000	2400000	1	0.293380	1
2400000	2450000	1	0.220263	1
2450000	2500000	1	0.306987	1
2500000	2550000	1	0.290474	1
2550000	2600000	1	0.233117	1
2600000	2650000	1	0.351237	1
2650000	2700000	1	0.372790	1
2700000	2750000	1	0.438473	1
2750000	2800000	1	0.504912	1
2800000	2850000	1	0.283991	1
2850000	2900000	1	0.327831	1
2900000	2950000	1	0.205167	1
2950000	3000000	1	0.239563	1
3000000	3050000	1	0.298177	1
3050000	3100000	1	0.274826	1
3100000	3150000	1	0.296600	1
3150000	3200000	1	0.242429	1
3200000	3250000	1	0.421255	1
3250000	3300000	1	0.304648	1
3300000	3350000	1	0.330555	1
3350000	3400000	1	0.390528	1
3400000	3450000	1	0.392123	1
3450000	3500000	1	0.310215	1
3500000	3550000	1	0.344066	1
3550000	3600000	1	0.253012	1
3600000	3650000	1	0.348203	1
3650000	3700000	1	0.404650	1
3700000	3750000	1	0.395646	1
3750000	3800000	1	0.218768	1
3800000	3850000	1	0.300902	1
3850000	3900000	1	0.296107	1
3900000	3950000	1	0.357556	1
3950000	4000000	1	0.338451	1
4000000	4050000	1	0.243609	1
4050000	4100000	1	0.359337	1
4100000	4150000	1	0.241138	1
4150000	4200000	1	0.407896	1
4200000	4250000	1	0.290936	1
4250000	4300000	1	0.304753	1
4300000	4350000	1	0.256849	1
4350000	4400000	1	0.228000	1
4400000	4450000	1	0.204479	1
4450000	4500000	1	0.325046	1
4500000	4550000	1	0.360903	1
4550000	4600000	1	0.287384	1
4600000	4650000	1	0.306600	1
4650000	4700000	1	0.173994	1
4700000	4750000	1	0.325188	1
4750000	4800000	1	0.349399	1
4800000	4850000	1	0.349523	1
4850000	4900000	1	0.273828	1
4900000	4950000	1	0.264437	1
4950000	5000000	1	0.292764	1
5000000	5050000	1	0.312825	1
5050000	5100000	1	0.328826	1
5100000	5150000	1	0.258254	1
5150000	5200000	1	0.328722	1
5200000	5250000	1	0.261321	1
5250000	5300000	1	0.335312	1
5300000	5350000	1	0.170689	1
