BP	SNP	CHR	P	chr
50000	100000	1	0.062170	1
100000	150000	1	0.123745	1
150000	200000	1	0.094937	1
200000	250000	1	0.158649	1
250000	300000	1	0.167506	1
300000	350000	1	0.289686	1
350000	400000	1	0.352834	1
400000	450000	1	0.306773	1
450000	500000	1	0.255120	1
500000	550000	1	0.514517	1
550000	600000	1	0.272618	1
600000	650000	1	0.283033	1
650000	700000	1	0.198244	1
700000	750000	1	0.180601	1
750000	800000	1	0.387697	1
800000	850000	1	0.259808	1
850000	900000	1	0.381872	1
900000	950000	1	0.361992	1
950000	1000000	1	0.258070	1
1000000	1050000	1	0.362307	1
1050000	1100000	1	0.211381	1
1100000	1150000	1	0.253366	1
1150000	1200000	1	0.226478	1
1200000	1250000	1	0.254453	1
1250000	1300000	1	0.378457	1
1300000	1350000	1	0.408658	1
1350000	1400000	1	0.323990	1
1400000	1450000	1	0.292101	1
1450000	1500000	1	0.155100	1
1500000	1550000	1	0.149156	1
1550000	1600000	1	0.316941	1
1600000	1650000	1	0.350959	1
1650000	1700000	1	0.165726	1
1700000	1750000	1	0.213406	1
1750000	1800000	1	0.244586	1
1800000	1850000	1	0.257017	1
1850000	1900000	1	0.324043	1
1900000	1950000	1	0.188443	1
1950000	2000000	1	0.242883	1
2000000	2050000	1	0.213352	1
2050000	2100000	1	0.186710	1
2100000	2150000	1	0.182012	1
2150000	2200000	1	0.189126	1
2200000	2250000	1	0.149932	1
2250000	2300000	1	0.246767	1
2300000	2350000	1	0.190592	1
2350000	2400000	1	0.161410	1
2400000	2450000	1	0.136561	1
2450000	2500000	1	0.248058	1
2500000	2550000	1	0.135276	1
2550000	2600000	1	0.211791	1
2600000	2650000	1	0.317424	1
2650000	2700000	1	0.169719	1
2700000	2750000	1	0.119246	1
2750000	2800000	1	0.238795	1
2800000	2850000	1	0.277094	1
2850000	2900000	1	0.278175	1
2900000	2950000	1	0.183645	1
2950000	3000000	1	0.313394	1
3000000	3050000	1	0.282533	1
3050000	3100000	1	0.247765	1
3100000	3150000	1	0.239383	1
3150000	3200000	1	0.296797	1
3200000	3250000	1	0.309281	1
3250000	3300000	1	0.274033	1
3300000	3350000	1	0.196997	1
3350000	3400000	1	0.242211	1
3400000	3450000	1	0.218106	1
3450000	3500000	1	0.214137	1
3500000	3550000	1	0.223420	1
3550000	3600000	1	0.219649	1
3600000	3650000	1	0.203895	1
3650000	3700000	1	0.273975	1
3700000	3750000	1	0.253059	1
3750000	3800000	1	0.326625	1
3800000	3850000	1	0.257983	1
3850000	3900000	1	0.229547	1
3900000	3950000	1	0.357414	1
3950000	4000000	1	0.301061	1
4000000	4050000	1	0.333893	1
4050000	4100000	1	0.379250	1
4100000	4150000	1	0.407070	1
4150000	4200000	1	0.449432	1
4200000	4250000	1	0.325999	1
4250000	4300000	1	0.366867	1
4300000	4350000	1	0.252490	1
4350000	4400000	1	0.220239	1
4400000	4450000	1	0.421985	1
4450000	4500000	1	0.593065	1
4500000	4550000	1	0.368884	1
4550000	4600000	1	0.376411	1
4600000	4650000	1	0.386692	1
4650000	4700000	1	0.223047	1
4700000	4750000	1	0.272267	1
4750000	4800000	1	0.224378	1
4800000	4850000	1	0.184867	1
4850000	4900000	1	0.263735	1
4900000	4950000	1	0.340380	1
4950000	5000000	1	0.211275	1
5000000	5050000	1	0.273815	1
5050000	5100000	1	0.241556	1
5100000	5150000	1	0.178787	1
5150000	5200000	1	0.169968	1
5200000	5250000	1	0.201212	1
5250000	5300000	1	0.205214	1
5300000	5350000	1	0.153889	1
5350000	5400000	1	0.109417	1
5400000	5450000	1	0.111925	1
5450000	5500000	1	0.333629	1
5500000	5550000	1	0.201988	1
5550000	5600000	1	0.266728	1
5600000	5650000	1	0.185479	1
5650000	5700000	1	0.249512	1
5700000	5750000	1	0.246528	1
5750000	5800000	1	0.260277	1
5800000	5850000	1	0.258672	1
