scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,50000,29265,1696,706,4.9328,8.6248,-0.2723,-0.2049,-0.1264
1,50001,100000,73938,562,240,0.3737,0.9761,-0.4463,-0.5452,-0.0714
1,100001,150000,126882,1183,419,4.7993,5.0819,-0.0286,-0.0176,-0.0113
1,150001,200000,182786,798,316,2.3859,3.0665,-0.1248,-0.0951,-0.0464
1,200001,250000,224197,1602,621,9.7398,14.3032,-0.1898,-0.1812,-0.109
1,250001,300000,273709,924,303,1.8571,6.386,-0.5494,-0.6547,-0.2954
1,300001,350000,325002,1568,421,5.3063,12.7594,-0.4126,-0.4406,-0.2179
1,350001,400000,374662,1791,531,7.5885,7.5183,0.0046,0.0039,0.002
1,400001,450000,424343,1807,619,6.8625,12.0922,-0.2759,-0.202,-0.1229
1,450001,500000,475851,1710,574,6.6016,8.1325,-0.1039,-0.0785,-0.0487
1,500001,550000,525905,1892,610,8.4089,10.1454,-0.0936,-0.1113,-0.0428
1,550001,600000,575316,1632,433,8.3157,11.2328,-0.1492,-0.2529,-0.0893
1,600001,650000,626653,1487,400,7.5626,11.9612,-0.2253,-0.368,-0.1426
1,650001,700000,673707,1514,593,13.1597,16.9275,-0.1252,-0.1514,-0.0732
1,700001,750000,726952,1229,456,4.8689,13.4025,-0.4671,-0.4703,-0.2102
1,750001,800000,773975,1152,495,7.0383,8.7705,-0.1096,-0.0635,-0.041
1,800001,850000,820599,1098,375,5.2648,8.1541,-0.2153,-0.2384,-0.1294
1,850001,900000,867266,1034,465,6.4382,9.7261,-0.2034,-0.1457,-0.0921
1,900001,950000,921773,950,331,4.4616,3.5253,0.1172,0.0752,0.0491
1,950001,1000000,975758,364,101,0.8767,1.0383,-0.0844,-0.1105,-0.0408
1,1000001,1050000,1028253,1498,615,9.1019,13.1159,-0.1807,-0.1687,-0.0926
1,1050001,1100000,1076990,1663,695,8.1761,10.009,-0.1008,-0.0637,-0.0407
1,1100001,1150000,1125943,1496,600,8.8898,16.5937,-0.3023,-0.2286,-0.1514
1,1150001,1200000,1174260,1448,564,3.5141,9.606,-0.4643,-0.2747,-0.1855
1,1200001,1250000,1225167,1520,639,12.3843,17.7653,-0.1785,-0.1695,-0.1021
1,1250001,1300000,1273485,1607,667,13.0335,17.0778,-0.1343,-0.0749,-0.0532
1,1300001,1350000,1324786,1529,610,13.2652,14.3122,-0.038,-0.0218,-0.0147
1,1350001,1400000,1374795,1508,517,16.4417,19.3933,-0.0824,-0.0711,-0.0447
1,1400001,1450000,1424976,1168,317,7.8138,6.3296,0.1049,0.1247,0.0618
1,1450001,1500000,1475629,1287,445,7.6646,11.4111,-0.1964,-0.1312,-0.0794
1,1500001,1550000,1524295,1482,665,11.7575,21.6369,-0.2958,-0.2371,-0.1507
1,1550001,1600000,1574458,1496,698,13.1376,22.7717,-0.2683,-0.3765,-0.1851
1,1600001,1650000,1622780,1303,526,10.9476,18.6982,-0.2614,-0.2934,-0.1649
1,1650001,1700000,1675180,1381,475,7.9185,17.8405,-0.3852,-0.6864,-0.2946
1,1700001,1750000,1724284,1205,403,3.4509,9.5683,-0.4699,-0.675,-0.2119
1,1750001,1800000,1773922,1375,508,2.6507,8.8433,-0.5388,-0.519,-0.206
1,1800001,1850000,1826895,1421,463,7.3247,11.5648,-0.2245,-0.2345,-0.1211
1,1850001,1900000,1875551,1375,422,20.9167,10.0836,0.3494,0.3876,0.2474
1,1900001,1950000,1925952,1425,534,35.9711,7.05,0.6723,0.7103,0.5749
1,1950001,2000000,1973932,1355,483,12.9459,16.3469,-0.1161,-0.1116,-0.0775
1,2000001,2050000,2025208,1152,367,5.0404,8.2963,-0.2441,-0.2608,-0.1237
1,2050001,2100000,2074296,1217,391,3.8527,6.7687,-0.2745,-0.4248,-0.1165
1,2100001,2150000,2124764,1216,444,13.3731,16.2775,-0.098,-0.0754,-0.0609
1,2150001,2200000,2174937,1200,415,5.3149,7.4144,-0.1649,-0.1185,-0.0773
1,2200001,2250000,2224917,1338,507,9.6644,9.4011,0.0138,0.0125,0.0062
1,2250001,2300000,2274270,1486,659,9.4435,11.0315,-0.0776,-0.105,-0.0386
1,2300001,2350000,2336678,767,300,7.4873,5.7604,0.1304,0.0569,0.0422
1,2350001,2400000,2374848,1310,563,12.1485,16.9106,-0.1639,-0.1013,-0.0682
1,2400001,2450000,2425285,1242,486,5.0487,8.6871,-0.2649,-0.1568,-0.0862
1,2450001,2500000,2475335,1250,437,4.7013,13.8037,-0.4919,-0.2976,-0.1764
1,2500001,2550000,2522450,1071,380,5.0322,9.4708,-0.306,-0.1401,-0.0973
1,2550001,2600000,2574315,997,347,4.3475,7.5817,-0.2711,-0.1962,-0.1158
1,2600001,2650000,2624786,1189,479,8.6366,9.4903,-0.0471,-0.0235,-0.0191
1,2650001,2700000,2673395,1159,442,7.7424,13.5317,-0.2721,-0.1631,-0.1067
1,2700001,2750000,2724418,1141,403,7.3535,12.2791,-0.2509,-0.1177,-0.088
1,2750001,2800000,2775006,1140,379,5.2081,10.9235,-0.3543,-0.1436,-0.1034
1,2800001,2850000,2825747,1135,415,10.2632,10.3473,-0.0041,-0.0026,-0.002
1,2850001,2900000,2875981,1106,442,6.6889,16.4253,-0.4212,-0.2899,-0.1718
1,2900001,2950000,2924463,1054,437,8.5562,9.8357,-0.0696,-0.0669,-0.0426
1,2950001,3000000,2975916,1137,465,5.8032,10.0323,-0.2671,-0.205,-0.1251
1,3000001,3050000,3024378,1238,498,5.7234,7.7285,-0.1491,-0.1059,-0.0678
1,3050001,3100000,3075754,1246,466,5.4314,11.3984,-0.3546,-0.224,-0.1438
1,3100001,3150000,3123590,1362,546,7.6427,12.5201,-0.2419,-0.1608,-0.1126
1,3150001,3200000,3174945,1090,485,9.5022,8.7661,0.0403,0.0203,0.0162
1,3200001,3250000,3223953,1214,418,4.3966,11.5123,-0.4473,-0.1421,-0.1073
1,3250001,3300000,3276074,1256,460,8.0409,6.6084,0.0978,0.0405,0.0294
1,3300001,3350000,3323227,1154,458,2.136,13.2351,-0.7221,-0.5066,-0.2732
1,3350001,3400000,3376942,1159,443,3.5222,15.054,-0.6208,-0.2974,-0.1917
1,3400001,3450000,3424964,1234,495,6.9759,11.7117,-0.2534,-0.0919,-0.0721
1,3450001,3500000,3475976,1212,441,6.6054,16.1369,-0.4191,-0.3646,-0.2211
1,3500001,3550000,3524983,1162,420,7.7971,9.0063,-0.072,-0.0328,-0.026
1,3550001,3600000,3576062,1257,467,7.1256,10.8602,-0.2076,-0.1286,-0.0853
1,3600001,3650000,3625112,1227,463,4.9134,15.9835,-0.5297,-0.3055,-0.1928
1,3650001,3700000,3674416,1212,400,3.5866,11.0753,-0.5108,-0.2177,-0.1486
1,3700001,3750000,3724579,904,371,4.9735,8.1587,-0.2425,-0.1059,-0.0717
1,3750001,3800000,3774881,889,378,15.5307,5.0064,0.5125,0.2707,0.2361
1,3800001,3850000,3824030,1063,398,5.6733,20.0914,-0.5596,-0.4905,-0.2885
1,3850001,3900000,3873724,1046,322,4.8287,9.7361,-0.3369,-0.2327,-0.1477
1,3900001,3950000,3927447,1193,421,4.4408,18.3846,-0.6109,-0.452,-0.2571
1,3950001,4000000,3974625,1241,442,4.9747,23.4789,-0.6503,-0.7784,-0.3797
1,4000001,4050000,4025759,1259,530,7.4812,12.1684,-0.2385,-0.1704,-0.0988
1,4050001,4100000,4073956,1052,350,5.5566,6.3361,-0.0655,-0.0428,-0.022
1,4100001,4150000,4125248,1200,447,6.5561,11.0862,-0.2568,-0.1954,-0.0897
1,4150001,4200000,4174612,1299,488,6.899,22.8988,-0.5369,-0.406,-0.2213
1,4200001,4250000,4225649,1240,503,9.241,18.7427,-0.3395,-0.3007,-0.1781
1,4250001,4300000,4275155,1242,490,11.5116,24.6052,-0.3625,-0.3379,-0.1948
1,4300001,4350000,4325849,1227,426,7.5894,10.2425,-0.1488,-0.0815,-0.0536
1,4350001,4400000,4374355,1330,460,6.8898,11.9733,-0.2695,-0.2295,-0.1451
1,4400001,4450000,4424179,1216,455,5.4715,16.2637,-0.4965,-0.4459,-0.209
1,4450001,4500000,4475396,1157,446,8.6068,56.9868,-0.7376,-1.9924,-0.5369
1,4500001,4550000,4525345,1181,420,9.4192,24.9264,-0.4515,-0.394,-0.2477
1,4550001,4600000,4575817,1360,577,16.0332,11.8413,0.1504,0.0738,0.0542
1,4600001,4650000,4624011,1361,561,9.9204,25.1544,-0.4343,-0.3376,-0.2055
1,4650001,4700000,4674180,1505,566,6.8951,10.2498,-0.1957,-0.1324,-0.0795
1,4700001,4750000,4724855,1170,401,5.9142,10.2996,-0.2705,-0.193,-0.125
1,4750001,4800000,4776146,1388,543,7.9615,22.9407,-0.4847,-0.5018,-0.2918
1,4800001,4850000,4824755,1369,481,4.8573,13.6247,-0.4744,-0.3243,-0.1981
1,4850001,4900000,4875547,1176,404,4.9095,12.3806,-0.4321,-0.4042,-0.2076
1,4900001,4950000,4924292,937,416,3.1733,6.7468,-0.3602,-0.2373,-0.1403
1,4950001,5000000,4972486,702,288,4.7949,4.769,0.0027,0.001,0.0007
1,5000001,5050000,5026384,673,289,6.3072,4.5057,0.1666,0.0688,0.0394
1,5050001,5100000,5074369,779,265,5.9794,6.2815,-0.0246,-0.0116,-0.0081
1,5100001,5150000,5124601,863,364,3.2619,1.5397,0.3587,0.0645,0.0535
1,5150001,5200000,5175243,805,382,5.7222,9.9306,-0.2689,-0.1409,-0.1038
1,5200001,5250000,5223725,837,362,6.0092,8.8677,-0.1921,-0.0996,-0.0693
1,5250001,5300000,5275764,988,358,5.9808,6.6428,-0.0524,-0.0216,-0.0159
1,5300001,5350000,5326199,835,241,4.596,10.0633,-0.373,-0.5893,-0.2604
1,5350001,5400000,5372582,686,222,6.9309,11.0751,-0.2302,-0.586,-0.2513
1,5400001,5450000,5424342,616,225,4.5466,9.5054,-0.3529,-0.351,-0.2124
1,5450001,5500000,5476425,683,278,4.1432,10.3504,-0.4283,-0.5348,-0.3068
1,5500001,5550000,5523771,726,314,5.6524,12.4334,-0.3749,-0.4633,-0.2719
1,5550001,5600000,5575774,770,297,1.9451,4.6106,-0.4066,-0.2874,-0.1444
1,5600001,5650000,5623220,819,346,2.4497,5.8445,-0.4093,-0.4546,-0.232
1,5650001,5700000,5674960,719,301,2.1553,4.8423,-0.384,-0.2679,-0.1949
1,5700001,5750000,5726162,774,367,3.6889,9.8521,-0.4552,-0.2977,-0.2022
