scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1,50000,24709,1196,479,11.844,9.6344,0.1029,0.0319,0.0252
Z,50001,100000,75657,1081,394,15.1049,6.2932,0.4118,0.1424,0.1137
Z,100001,150000,123795,964,407,14.2468,9.3509,0.2075,0.0717,0.0535
Z,150001,200000,173837,827,288,9.0715,7.6348,0.086,0.023,0.0177
Z,200001,250000,225710,650,218,6.5432,4.6944,0.1645,0.0396,0.033
Z,250001,300000,276060,1103,562,2.7415,6.4043,-0.4005,-0.0136,-0.0128
Z,300001,350000,326696,1218,597,102.331,9.267,0.8339,0.368,0.3394
Z,350001,400000,372636,952,378,32.8472,7.3943,0.6325,0.151,0.1393
Z,400001,450000,428691,786,300,9.6681,6.757,0.1772,0.0608,0.0487
Z,450001,500000,473098,927,336,29.7041,4.2466,0.7498,0.3259,0.3049
Z,500001,550000,525799,790,300,6.3601,5.5292,0.0699,0.0302,0.0195
Z,550001,600000,576801,809,361,11.2088,7.3865,0.2056,0.0576,0.0505
Z,600001,650000,626211,1095,439,24.6811,9.6667,0.4371,0.2482,0.1878
Z,650001,700000,674845,1038,368,22.7371,6.5804,0.5511,0.2545,0.1982
Z,700001,750000,725126,966,328,9.1386,7.916,0.0717,0.0254,0.0175
Z,750001,800000,773982,1045,462,12.7551,9.538,0.1443,0.0718,0.0472
Z,800001,850000,825831,956,344,9.4081,10.6256,-0.0608,-0.0229,-0.0176
Z,850001,900000,875859,930,341,6.9599,12.9658,-0.3014,-0.1362,-0.0956
Z,900001,950000,923706,928,325,12.6057,11.0334,0.0665,0.0292,0.0236
Z,950001,1000000,974948,960,374,8.2603,8.278,-0.0011,-0.0004,-0.0003
Z,1000001,1050000,1026463,1134,491,8.5633,11.8858,-0.1625,-0.0604,-0.0424
Z,1050001,1100000,1075025,958,448,6.436,14.1297,-0.3741,-0.1365,-0.0985
Z,1100001,1150000,1127010,925,433,19.5681,17.8484,0.046,0.0321,0.0217
Z,1150001,1200000,1175318,963,335,7.945,6.8724,0.0724,0.0344,0.0233
Z,1200001,1250000,1225110,901,342,11.5247,7.7747,0.1943,0.0835,0.0645
Z,1250001,1300000,1275668,905,372,19.2686,12.6709,0.2066,0.1325,0.0906
Z,1300001,1350000,1326400,1048,426,15.1307,9.2485,0.2413,0.1172,0.0831
Z,1350001,1400000,1375478,1009,387,25.953,11.2136,0.3966,0.2616,0.1824
Z,1400001,1450000,1424825,1040,393,17.8086,9.6667,0.2963,0.1443,0.0893
Z,1450001,1500000,1474912,957,385,17.0343,12.2021,0.1653,0.0936,0.065
Z,1500001,1550000,1523723,765,252,3.2114,3.4321,-0.0332,-0.0123,-0.0051
Z,1550001,1600000,1575477,854,337,8.7639,10.755,-0.102,-0.0546,-0.0315
Z,1600001,1650000,1624904,825,334,1.8791,3.8045,-0.3388,-0.1126,-0.047
Z,1650001,1700000,1674908,850,330,26.8655,4.4413,0.7163,0.3795,0.2848
Z,1700001,1750000,1725191,798,336,21.8596,4.5625,0.6546,0.4622,0.2713
Z,1750001,1800000,1775999,1000,333,9.6403,9.0993,0.0289,0.013,0.0093
Z,1800001,1850000,1824388,873,295,14.7204,6.4048,0.3936,0.1427,0.1186
Z,1850001,1900000,1876144,1004,358,3.1663,5.9282,-0.3037,-0.2432,-0.0833
Z,1900001,1950000,1923310,921,320,19.0092,6.3507,0.4992,0.339,0.2649
Z,1950001,2000000,1973974,860,248,14.133,2.513,0.6981,0.4181,0.316
Z,2000001,2050000,2024920,849,280,7.7206,9.6793,-0.1126,-0.0476,-0.0316
Z,2050001,2100000,2074253,911,352,8.8194,9.4397,-0.034,-0.0129,-0.0092
Z,2100001,2150000,2125188,847,346,15.9991,12.2327,0.1334,0.0592,0.0459
Z,2150001,2200000,2174343,1157,425,31.7641,14.2032,0.382,0.1772,0.1298
Z,2200001,2250000,2225333,1091,410,22.792,7.0725,0.5264,0.2804,0.1734
Z,2250001,2300000,2275445,1093,411,4.8746,12.9495,-0.453,-0.0842,-0.0637
Z,2300001,2350000,2322495,784,240,0.2377,3.4821,-0.8722,-0.0638,-0.0462
Z,2350001,2400000,2375447,867,318,5.2557,5.9128,-0.0588,-0.0192,-0.0098
Z,2400001,2450000,2423745,724,277,24.2681,1.9175,0.8535,0.404,0.3023
Z,2450001,2500000,2475465,820,243,12.7731,9.1387,0.1659,0.0727,0.058
Z,2500001,2550000,2525755,684,222,7.1831,2.4395,0.493,0.1489,0.1138
Z,2550001,2600000,2574794,716,264,7.3495,5.8025,0.1176,0.0432,0.0316
Z,2600001,2650000,2622221,635,217,3.9331,4.6611,-0.0847,-0.0266,-0.0198
Z,2650001,2700000,2674881,543,188,4.1584,2.7779,0.199,0.0501,0.0347
