BP	SNP	CHR	P	chr
50000	100000	1	0.056546	1
100000	150000	1	0.042487	1
150000	200000	1	0.068177	1
200000	250000	1	0.060959	1
250000	300000	1	0.055585	1
300000	350000	1	0.192247	1
350000	400000	1	0.163112	1
400000	450000	1	0.144830	1
450000	500000	1	0.104558	1
500000	550000	1	0.121214	1
550000	600000	1	0.136625	1
600000	650000	1	0.112844	1
650000	700000	1	0.219137	1
700000	750000	1	0.147477	1
750000	800000	1	0.123110	1
800000	850000	1	0.169217	1
850000	900000	1	0.158923	1
900000	950000	1	0.300740	1
950000	1000000	1	0.032638	1
1000000	1050000	1	0.050305	1
1050000	1100000	1	0.092386	1
1100000	1150000	1	0.109502	1
1150000	1200000	1	0.081772	1
1200000	1250000	1	0.057207	1
1250000	1300000	1	0.114522	1
1300000	1350000	1	0.134629	1
1350000	1400000	1	0.159536	1
1400000	1450000	1	0.129664	1
1450000	1500000	1	0.137290	1
1500000	1550000	1	0.089347	1
1550000	1600000	1	0.098199	1
1600000	1650000	1	0.145485	1
1650000	1700000	1	0.123508	1
1700000	1750000	1	0.175958	1
1750000	1800000	1	0.139696	1
1800000	1850000	1	0.179517	1
1850000	1900000	1	0.177376	1
1900000	1950000	1	0.187790	1
1950000	2000000	1	0.157805	1
2000000	2050000	1	0.167564	1
2050000	2100000	1	0.087814	1
2100000	2150000	1	0.033971	1
2150000	2200000	1	0.162447	1
2200000	2250000	1	0.121993	1
2250000	2300000	1	0.161585	1
2300000	2350000	1	0.128805	1
2350000	2400000	1	0.131733	1
2400000	2450000	1	0.136287	1
2450000	2500000	1	0.137416	1
2500000	2550000	1	0.110845	1
2550000	2600000	1	0.060207	1
2600000	2650000	1	0.036798	1
2650000	2700000	1	0.096515	1
2700000	2750000	1	0.118715	1
2750000	2800000	1	0.149512	1
2800000	2850000	1	0.137658	1
2850000	2900000	1	0.189425	1
2900000	2950000	1	0.069693	1
2950000	3000000	1	0.062509	1
3000000	3050000	1	0.067848	1
3050000	3100000	1	0.095665	1
3100000	3150000	1	0.097239	1
3150000	3200000	1	0.165115	1
3200000	3250000	1	0.183143	1
3250000	3300000	1	0.127488	1
3300000	3350000	1	0.190348	1
3350000	3400000	1	0.221875	1
3400000	3450000	1	0.106983	1
3450000	3500000	1	0.142721	1
3500000	3550000	1	0.104872	1
3550000	3600000	1	0.130941	1
3600000	3650000	1	0.139936	1
3650000	3700000	1	0.140431	1
