scaffold	start	end	mid	sites	pi_FM	pi_NON_FM	dxy_FM_NON_FM	Fst_FM_NON_FM
20	1	1000	812	5	0.2348	0.2804	0.2656	0.0122
20	4001	5000	4681	1	0.1422	0.1725	0.1558	-0.0135
20	11001	12000	11675	19	0.1937	0.173	0.1839	0.0014
20	12001	13000	12050	1	0.2299	0.19	0.2076	-0.0082
20	14001	15000	14137	1	nan	0.4945	nan	nan
20	15001	16000	15536	1	0.5077	0.4173	0.4663	0.0261
20	17001	18000	17739	21	0.1457	0.1324	0.1405	0.0048
20	18001	19000	18489	30	0.1947	0.1754	0.1853	0.0007
20	19001	20000	19423	18	0.1895	0.1938	0.191	-0.0015
20	20001	21000	20360	12	0.0964	0.0893	0.0931	0.0011
20	21001	22000	21509	13	0.133	0.1272	0.1295	-0.0021
20	22001	23000	22599	12	0.1674	0.1586	0.1642	0.0035
20	23001	24000	23629	10	0.1485	0.1808	0.1654	0.0022
20	24001	25000	24538	12	0.1602	0.1142	0.1371	-0.0005
20	25001	26000	25564	8	0.062	0.0769	0.0701	0.004
20	26001	27000	26537	8	0.0552	0.0517	0.054	0.0043
20	27001	28000	27453	10	0.036	0.0549	0.0478	0.0217
20	28001	29000	28373	10	0.1185	0.1057	0.1126	0.002
20	29001	30000	29338	3	0.4217	0.2066	0.3404	0.0452
20	30001	31000	30521	3	0.1652	0.1573	0.1664	0.0141
20	31001	32000	31343	3	0.0571	0.086	0.0734	0.0109
20	32001	33000	32703	5	0.2432	0.1962	0.2259	0.013
20	33001	34000	33680	4	0.1307	0.0506	0.0923	0.0094
20	34001	35000	34715	12	0.1783	0.1733	0.1797	0.0099
20	35001	36000	35440	30	0.1421	0.1125	0.1303	0.0126
20	36001	37000	36565	29	0.1335	0.1309	0.1334	0.0041
20	37001	38000	37495	29	0.1395	0.1327	0.1387	0.0088
20	38001	39000	38573	22	0.1506	0.1247	0.1397	0.0074
20	39001	40000	39612	15	0.0883	0.1139	0.105	0.0163
