scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,50000,29265,1696,696,7.8294,10.9173,-0.1647,-0.1,-0.0738
1,50001,100000,73938,562,236,5.9877,11.8156,-0.3274,-0.7189,-0.3884
1,100001,150000,126882,1183,425,5.3831,8.9714,-0.25,-0.1688,-0.1184
1,150001,200000,182786,798,247,2.4753,4.5054,-0.2908,-0.1432,-0.1063
1,200001,250000,224197,1602,342,4.6252,3.1002,0.1974,0.0571,0.0457
1,250001,300000,273709,924,220,2.2038,3.8607,-0.2732,-0.1591,-0.1112
1,300001,350000,325002,1568,396,3.8191,11.4133,-0.4986,-0.2539,-0.1604
1,350001,400000,374662,1791,522,7.0736,6.084,0.0752,0.0261,0.018
1,400001,450000,424343,1807,665,10.9763,17.3164,-0.2241,-0.0508,-0.0438
1,450001,500000,475851,1710,658,4.2377,16.858,-0.5982,-0.0696,-0.0622
1,500001,550000,525905,1892,603,6.7246,30.2782,-0.6365,-0.1572,-0.1261
1,550001,600000,575316,1632,471,7.0461,22.7151,-0.5265,-0.2191,-0.163
1,600001,650000,626653,1487,385,7.7942,25.1785,-0.5272,-0.4141,-0.2648
1,650001,700000,673707,1514,560,6.2547,26.5071,-0.6182,-0.2959,-0.2003
1,700001,750000,726952,1229,436,5.8363,16.2187,-0.4707,-0.2975,-0.1773
1,750001,800000,773975,1152,520,11.6229,9.0727,0.1232,0.0505,0.0387
1,800001,850000,820599,1098,373,5.6315,8.6361,-0.2106,-0.1082,-0.0768
1,850001,900000,867266,1034,456,5.2584,11.93,-0.3881,-0.3117,-0.1923
1,900001,950000,921773,950,349,7.8537,7.3971,0.0299,0.0162,0.0128
1,950001,1000000,975758,364,195,1.9237,2.2649,-0.0815,-0.0744,-0.037
1,1000001,1050000,1028253,1498,643,11.7176,15.6226,-0.1428,-0.1064,-0.0679
1,1050001,1100000,1076990,1663,656,8.8553,15.4532,-0.2714,-0.1163,-0.089
1,1100001,1150000,1125943,1496,596,9.6274,18.2302,-0.3088,-0.1531,-0.1137
1,1150001,1200000,1174260,1448,571,5.1086,11.7923,-0.3955,-0.2705,-0.1812
1,1200001,1250000,1225167,1520,623,16.2701,26.4234,-0.2378,-0.1775,-0.1289
1,1250001,1300000,1273485,1607,659,14.3282,15.6713,-0.0448,-0.035,-0.0227
1,1300001,1350000,1324786,1529,598,12.3975,11.2765,0.0474,0.0343,0.0202
1,1350001,1400000,1374795,1508,498,13.3925,26.0469,-0.3209,-0.3507,-0.2089
1,1400001,1450000,1424976,1168,319,7.4469,4.83,0.2132,0.114,0.0744
1,1450001,1500000,1475629,1287,433,8.1301,8.722,-0.0351,-0.0149,-0.0103
1,1500001,1550000,1524295,1482,605,12.5334,15.1236,-0.0937,-0.0414,-0.0299
1,1550001,1600000,1574458,1496,689,15.4435,19.1431,-0.107,-0.0615,-0.0418
1,1600001,1650000,1622780,1303,527,14.0497,14.2575,-0.0073,-0.005,-0.0033
1,1650001,1700000,1675180,1381,474,12.0369,17.3897,-0.1819,-0.1308,-0.0834
1,1700001,1750000,1724284,1205,389,7.0535,12.4014,-0.2749,-0.1897,-0.1078
1,1750001,1800000,1773922,1375,484,5.47,10.7574,-0.3258,-0.3101,-0.153
1,1800001,1850000,1826895,1421,446,7.995,13.3381,-0.2505,-0.2688,-0.1463
1,1850001,1900000,1875551,1375,417,15.1935,10.3168,0.1912,0.2193,0.1256
1,1900001,1950000,1925952,1425,511,30.494,8.6795,0.5569,0.5394,0.433
1,1950001,2000000,1973932,1355,476,9.3666,9.9716,-0.0313,-0.0257,-0.0161
1,2000001,2050000,2025208,1152,365,8.1931,10.8204,-0.1382,-0.106,-0.0685
1,2050001,2100000,2074296,1217,402,6.8012,14.8706,-0.3723,-0.9207,-0.2985
1,2100001,2150000,2124764,1216,436,10.4783,10.5063,-0.0013,-0.002,-0.0013
1,2150001,2200000,2174937,1200,418,5.0935,8.3214,-0.2406,-0.2146,-0.1355
1,2200001,2250000,2224917,1338,518,7.7083,7.6574,0.0033,0.0035,0.0015
1,2250001,2300000,2274270,1486,588,9.4373,14.1425,-0.1995,-0.2909,-0.114
1,2300001,2350000,2336678,767,254,3.9692,6.56,-0.2461,-0.2372,-0.1343
1,2350001,2400000,2374848,1310,577,10.0526,16.7841,-0.2508,-0.3719,-0.1653
1,2400001,2450000,2425285,1242,474,10.898,11.654,-0.0335,-0.0408,-0.02
1,2450001,2500000,2475335,1250,437,6.4928,11.2434,-0.2679,-0.315,-0.1364
1,2500001,2550000,2522450,1071,366,5.4408,8.7673,-0.2341,-0.1764,-0.1054
1,2550001,2600000,2574315,997,312,5.6079,7.5482,-0.1475,-0.1699,-0.0913
1,2600001,2650000,2624786,1189,441,8.0647,9.6272,-0.0883,-0.0713,-0.0518
1,2650001,2700000,2673395,1159,402,5.5353,15.9745,-0.4853,-0.611,-0.2876
1,2700001,2750000,2724418,1141,401,5.2927,10.3945,-0.3252,-0.3354,-0.1987
1,2750001,2800000,2775006,1140,388,4.8546,8.6583,-0.2815,-0.1482,-0.0946
1,2800001,2850000,2825747,1135,422,12.2908,6.3105,0.3215,0.1079,0.0926
1,2850001,2900000,2875981,1106,435,8.3753,13.4378,-0.2321,-0.1729,-0.1016
1,2900001,2950000,2924463,1054,431,9.6112,9.9515,-0.0174,-0.0095,-0.0072
1,2950001,3000000,2975916,1137,467,6.5472,9.5097,-0.1845,-0.0896,-0.0647
1,3000001,3050000,3024378,1238,483,5.656,7.8502,-0.1625,-0.0851,-0.06
1,3050001,3100000,3075754,1246,463,4.3675,8.497,-0.321,-0.1568,-0.1011
1,3100001,3150000,3123590,1362,542,7.9233,11.8154,-0.1972,-0.0958,-0.072
1,3150001,3200000,3174945,1090,476,8.1542,10.1727,-0.1101,-0.0444,-0.0362
1,3200001,3250000,3223953,1214,419,4.4259,11.6481,-0.4493,-0.1368,-0.1044
1,3250001,3300000,3276074,1256,449,9.9865,9.6177,0.0188,0.0084,0.0064
1,3300001,3350000,3323227,1154,456,2.5103,11.2881,-0.6361,-0.2814,-0.1789
1,3350001,3400000,3376942,1159,446,3.5369,13.2985,-0.5798,-0.1952,-0.1348
1,3400001,3450000,3424964,1234,430,5.7784,11.4109,-0.3277,-0.138,-0.1051
1,3450001,3500000,3475976,1212,415,4.5715,8.6952,-0.3108,-0.1566,-0.0981
1,3500001,3550000,3524983,1162,425,7.7323,7.4834,0.0164,0.0058,0.0048
1,3550001,3600000,3576062,1257,497,8.0159,10.8279,-0.1492,-0.0535,-0.042
1,3600001,3650000,3625112,1227,481,7.384,11.7937,-0.2299,-0.1232,-0.0823
1,3650001,3700000,3674416,1212,411,4.6946,6.5696,-0.1665,-0.0503,-0.0367
1,3700001,3750000,3724579,904,388,4.8765,5.534,-0.0631,-0.0242,-0.0162
1,3750001,3800000,3774881,889,377,13.2007,7.9507,0.2482,0.1349,0.1144
1,3800001,3850000,3824030,1063,398,8.1758,18.3299,-0.3831,-0.3577,-0.2165
1,3850001,3900000,3873724,1046,317,3.072,5.0535,-0.2439,-0.1387,-0.0797
1,3900001,3950000,3927447,1193,410,17.9184,12.4193,0.1813,0.2149,0.1218
1,3950001,4000000,3974625,1241,422,10.3002,9.9552,0.017,0.0049,0.0036
1,4000001,4050000,4025759,1259,521,11.1105,8.8484,0.1133,0.0315,0.0248
1,4050001,4100000,4073956,1052,332,9.0247,6.3025,0.1776,0.0529,0.04
1,4100001,4150000,4125248,1200,409,15.2091,4.3827,0.5526,0.1861,0.1286
1,4150001,4200000,4174612,1299,475,7.8768,20.1492,-0.4379,-0.2134,-0.1337
