scaffold	start	end	mid	sites	pi_FM	pi_NON_FM	dxy_FM_NON_FM	Fst_FM_NON_FM
20	10263001	10264000	10263519	35	0.2018	0.1906	0.203	0.0157
20	10264001	10265000	10264626	27	0.1271	0.113	0.1216	0.0067
20	10265001	10266000	10265434	35	0.1228	0.1339	0.129	0.0018
20	10266001	10267000	10266541	28	0.2046	0.2143	0.2118	0.0047
20	10267001	10268000	10267483	38	0.1635	0.1898	0.1787	0.004
20	10268001	10269000	10268485	24	0.1503	0.1528	0.153	0.0043
20	10269001	10270000	10269522	12	0.1905	0.2033	0.198	0.002
20	10270001	10271000	10270473	8	0.141	0.1756	0.1604	0.0044
20	10271001	10272000	10271722	12	0.2614	0.1418	0.2103	0.0254
20	10272001	10273000	10272487	39	0.2411	0.2387	0.2492	0.0174
20	10273001	10274000	10273558	39	0.2307	0.2377	0.2419	0.0143
20	10274001	10275000	10274458	33	0.2738	0.2609	0.2743	0.012
20	10275001	10276000	10275563	33	0.1502	0.2059	0.1911	0.0288
20	10276001	10277000	10276467	35	0.189	0.1682	0.1844	0.0154
20	10277001	10278000	10277572	39	0.2113	0.2258	0.2292	0.0209
20	10278001	10279000	10278514	35	0.218	0.2048	0.2192	0.017
20	10279001	10280000	10279391	27	0.2215	0.1826	0.2131	0.0261
20	10280001	10281000	10280521	32	0.2152	0.2117	0.2237	0.0214
20	10281001	10282000	10281438	46	0.1509	0.1726	0.1638	0.0046
20	10282001	10283000	10282603	31	0.1527	0.1889	0.1819	0.0263
20	10283001	10284000	10283467	35	0.1727	0.1797	0.1799	0.0091
20	10284001	10285000	10284449	45	0.0957	0.1059	0.1029	0.0089
20	10285001	10286000	10285530	35	0.1806	0.1883	0.1874	0.0069
20	10286001	10287000	10286534	35	0.122	0.1261	0.129	0.0177
20	10287001	10288000	10287530	27	0.1124	0.1102	0.113	0.0072
20	10288001	10289000	10288432	41	0.1521	0.1298	0.1518	0.0355
20	10289001	10290000	10289541	31	0.2584	0.2	0.2541	0.0505
20	10290001	10291000	10290506	38	0.1975	0.1857	0.1972	0.0137
20	10291001	10292000	10291496	36	0.1697	0.1706	0.1796	0.0245
20	10292001	10293000	10292448	47	0.1727	0.1903	0.1988	0.0403
20	10293001	10294000	10293367	31	0.1588	0.1687	0.1732	0.025
20	10294001	10295000	10294464	28	0.1915	0.1831	0.199	0.028
20	10295001	10296000	10295426	43	0.1997	0.1716	0.1903	0.0126
20	10296001	10297000	10296377	22	0.1271	0.1777	0.158	0.0134
20	10297001	10298000	10297633	21	0.2766	0.2323	0.2652	0.0205
20	10298001	10299000	10298467	28	0.2143	0.1718	0.2062	0.0326
20	10299001	10300000	10299462	27	0.2195	0.1596	0.1934	0.0117
20	10300001	10301000	10300582	24	0.2421	0.2219	0.2354	0.0072
20	10301001	10302000	10301396	41	0.1269	0.1246	0.1303	0.0161
20	10302001	10303000	10302616	24	0.1586	0.1582	0.1674	0.0251
20	10303001	10304000	10303442	21	0.0849	0.1005	0.097	0.0192
20	10304001	10305000	10304751	29	0.2143	0.157	0.2046	0.0484
20	10305001	10306000	10305520	31	0.2063	0.1851	0.2118	0.0373
20	10306001	10307000	10306584	26	0.2024	0.173	0.1989	0.0282
20	10307001	10308000	10307542	38	0.1858	0.175	0.1871	0.0172
20	10308001	10309000	10308502	35	0.2061	0.1715	0.1991	0.026
20	10309001	10310000	10309462	20	0.1834	0.1625	0.1779	0.0137
20	10310001	10311000	10310487	27	0.1839	0.2335	0.2133	0.0081
20	10311001	10312000	10311396	36	0.2358	0.2158	0.2361	0.0213
20	10312001	10313000	10312511	18	0.2138	0.2251	0.2255	0.0118
20	10313001	10314000	10313541	34	0.2029	0.1797	0.1935	0.006
20	10314001	10315000	10314583	33	0.2349	0.2257	0.2341	0.0077
20	10315001	10316000	10315505	48	0.1478	0.1312	0.1425	0.0108
20	10316001	10317000	10316465	38	0.1624	0.1736	0.1731	0.0131
20	10317001	10318000	10317540	26	0.1926	0.1784	0.1914	0.015
20	10318001	10319000	10318526	38	0.1853	0.2086	0.1997	0.0055
20	10319001	10320000	10319496	37	0.2047	0.2181	0.2173	0.0119
20	10320001	10321000	10320590	23	0.2567	0.2241	0.2438	0.0075
20	10321001	10322000	10321439	26	0.2243	0.2012	0.2143	0.0041
20	10322001	10323000	10322528	46	0.1772	0.1697	0.178	0.0122
20	10323001	10324000	10323488	30	0.1461	0.1481	0.1498	0.008
20	10324001	10325000	10324470	23	0.1917	0.1742	0.1824	-0.0008
20	10325001	10326000	10325568	41	0.2353	0.2335	0.2345	0.0002
20	10326001	10327000	10326543	36	0.1996	0.1969	0.1978	-0.001
20	10327001	10328000	10327485	37	0.1766	0.1634	0.1704	0.0015
20	10328001	10329000	10328513	39	0.2175	0.1944	0.2067	0.0026
20	10329001	10330000	10329504	19	0.162	0.1701	0.1653	-0.0022
20	10330001	10331000	10330475	20	0.1769	0.1774	0.1773	0.0004
20	10331001	10332000	10331415	22	0.2789	0.2661	0.2764	0.0068
20	10332001	10333000	10332481	25	0.1474	0.1696	0.1637	0.0136
20	10333001	10334000	10333490	19	0.2018	0.2013	0.2135	0.0261
20	10334001	10335000	10334596	20	0.2053	0.1979	0.2075	0.0134
20	10335001	10336000	10335509	23	0.1222	0.1449	0.1357	0.006
20	10336001	10337000	10336520	25	0.2225	0.2329	0.2325	0.0091
20	10337001	10338000	10337410	18	0.1973	0.1732	0.1879	0.0075
20	10338001	10339000	10338465	22	0.1581	0.1863	0.1798	0.018
20	10339001	10340000	10339540	18	0.1495	0.1519	0.1537	0.0088
20	10340001	10341000	10340439	26	0.1136	0.123	0.121	0.0095
20	10341001	10342000	10341446	28	0.1545	0.0945	0.1406	0.0629
20	10342001	10343000	10342506	24	0.1749	0.2201	0.2158	0.0376
20	10343001	10344000	10343536	28	0.1861	0.2177	0.2107	0.018
20	10344001	10345000	10344548	38	0.1888	0.1481	0.1836	0.0422
20	10345001	10346000	10345437	30	0.1817	0.221	0.206	0.0087
20	10346001	10347000	10346496	27	0.1872	0.1763	0.1935	0.0291
20	10347001	10348000	10347483	24	0.1565	0.2018	0.1914	0.0273
20	10348001	10349000	10348575	34	0.15	0.1131	0.1344	0.0121
20	10349001	10350000	10349527	32	0.1768	0.1717	0.1782	0.0105
20	10350001	10351000	10350469	31	0.1914	0.1946	0.2012	0.0187
20	10351001	10352000	10351426	22	0.1449	0.1723	0.1693	0.0277
20	10352001	10353000	10352470	11	0.1113	0.0887	0.1036	0.0182
20	10353001	10354000	10353593	34	0.1388	0.154	0.152	0.016
20	10354001	10355000	10354452	32	0.1413	0.1282	0.1379	0.0113
20	10355001	10356000	10355472	43	0.2036	0.1943	0.2088	0.0225
20	10356001	10357000	10356457	53	0.1784	0.1857	0.1914	0.0224
20	10357001	10358000	10357460	48	0.1713	0.1738	0.1818	0.0235
20	10358001	10359000	10358504	22	0.1489	0.1496	0.1561	0.0205
