BP	SNP	CHR	P	chr
50000	100000	1	0.119878	1
100000	150000	1	0.009301	1
150000	200000	1	0.094597	1
200000	250000	1	0.041066	1
250000	300000	1	0.113786	1
300000	350000	1	0.280768	1
350000	400000	1	0.230578	1
400000	450000	1	0.252663	1
450000	500000	1	0.276268	1
500000	550000	1	0.311642	1
550000	600000	1	0.262002	1
600000	650000	1	0.157899	1
650000	700000	1	0.103322	1
700000	750000	1	0.049465	1
750000	800000	1	0.027482	1
800000	850000	1	0.044903	1
850000	900000	1	0.111065	1
900000	950000	1	0.060433	1
950000	1000000	1	0.025068	1
1000000	1050000	1	0.179002	1
1050000	1100000	1	0.139682	1
1100000	1150000	1	0.188837	1
1150000	1200000	1	0.120582	1
1200000	1250000	1	0.015690	1
1250000	1300000	1	-0.007129	1
1300000	1350000	1	-0.022665	1
1350000	1400000	1	0.019116	1
1400000	1450000	1	0.024830	1
1450000	1500000	1	0.094026	1
1500000	1550000	1	0.208536	1
1550000	1600000	1	0.337129	1
1600000	1650000	1	0.230114	1
1650000	1700000	1	0.285133	1
1700000	1750000	1	0.211622	1
1750000	1800000	1	0.161658	1
1800000	1850000	1	0.091993	1
1850000	1900000	1	0.095842	1
1900000	1950000	1	0.142888	1
1950000	2000000	1	0.135631	1
2000000	2050000	1	0.170164	1
2050000	2100000	1	0.114990	1
2100000	2150000	1	0.142201	1
2150000	2200000	1	0.140356	1
2200000	2250000	1	0.101703	1
2250000	2300000	1	0.052992	1
2300000	2350000	1	0.139714	1
2350000	2400000	1	0.133881	1
2400000	2450000	1	0.096455	1
2450000	2500000	1	0.145795	1
2500000	2550000	1	0.072352	1
2550000	2600000	1	-0.000411	1
2600000	2650000	1	-0.001538	1
2650000	2700000	1	0.040194	1
2700000	2750000	1	0.101723	1
2750000	2800000	1	0.072372	1
2800000	2850000	1	0.063047	1
2850000	2900000	1	0.084540	1
2900000	2950000	1	0.058124	1
2950000	3000000	1	0.037457	1
3000000	3050000	1	0.112114	1
3050000	3100000	1	0.107359	1
3100000	3150000	1	0.104740	1
3150000	3200000	1	0.067381	1
3200000	3250000	1	0.038385	1
3250000	3300000	1	0.057919	1
3300000	3350000	1	0.106711	1
3350000	3400000	1	0.088569	1
3400000	3450000	1	0.072225	1
3450000	3500000	1	0.096380	1
3500000	3550000	1	0.055389	1
3550000	3600000	1	0.103432	1
3600000	3650000	1	0.139208	1
3650000	3700000	1	0.159921	1
3700000	3750000	1	0.194027	1
3750000	3800000	1	0.197539	1
3800000	3850000	1	0.175905	1
3850000	3900000	1	0.178972	1
3900000	3950000	1	0.225183	1
3950000	4000000	1	0.233577	1
4000000	4050000	1	0.087974	1
4050000	4100000	1	0.049404	1
4100000	4150000	1	0.078586	1
4150000	4200000	1	0.061350	1
4200000	4250000	1	-0.018483	1
4250000	4300000	1	0.008799	1
4300000	4350000	1	-0.007278	1
4350000	4400000	1	0.002616	1
4400000	4450000	1	0.015069	1
4450000	4500000	1	0.129874	1
4500000	4550000	1	-0.010060	1
4550000	4600000	1	-0.005490	1
4600000	4650000	1	0.019351	1
4650000	4700000	1	-0.022430	1
4700000	4750000	1	-0.008048	1
4750000	4800000	1	0.003322	1
4800000	4850000	1	-0.023794	1
4850000	4900000	1	-0.004594	1
4900000	4950000	1	0.007606	1
4950000	5000000	1	0.004142	1
5000000	5050000	1	-0.024374	1
5050000	5100000	1	-0.036278	1
5100000	5150000	1	0.013040	1
5150000	5200000	1	0.081113	1
5200000	5250000	1	0.028050	1
5250000	5300000	1	0.021261	1
5300000	5350000	1	0.004370	1
5350000	5400000	1	-0.017816	1
5400000	5450000	1	-0.007328	1
5450000	5500000	1	-0.025363	1
5500000	5550000	1	-0.042128	1
5550000	5600000	1	0.098486	1
5600000	5650000	1	0.037122	1
5650000	5700000	1	0.004591	1
5700000	5750000	1	0.028861	1
5750000	5800000	1	0.014301	1
5800000	5850000	1	0.000932	1
5850000	5900000	1	-0.011126	1
5900000	5950000	1	0.002455	1
5950000	6000000	1	0.083089	1
6000000	6050000	1	0.038148	1
6050000	6100000	1	-0.001740	1
6100000	6150000	1	-0.009722	1
6150000	6200000	1	-0.003375	1
6200000	6250000	1	-0.009828	1
6250000	6300000	1	0.010206	1
6300000	6350000	1	0.119283	1
6350000	6400000	1	0.194968	1
6400000	6450000	1	0.075715	1
6450000	6500000	1	-0.001796	1
6500000	6550000	1	-0.003839	1
6550000	6600000	1	0.028579	1
6600000	6650000	1	-0.008799	1
6650000	6700000	1	-0.016260	1
