scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,50000,29265,1696,690,11.472,14.8935,-0.1298,-0.125,-0.0889
1,50001,100000,73938,562,238,9.8078,15.0427,-0.2107,-0.2649,-0.195
1,100001,150000,126882,1183,376,5.2518,10.1782,-0.3193,-0.4676,-0.2533
1,150001,200000,182786,798,312,4.8587,8.1489,-0.2529,-0.4275,-0.2255
1,200001,250000,224197,1602,598,11.6054,15.7861,-0.1526,-0.251,-0.1268
1,250001,300000,273709,924,316,5.1398,6.8486,-0.1425,-0.2595,-0.1119
1,300001,350000,325002,1568,398,7.5497,12.954,-0.2636,-0.3463,-0.1695
1,350001,400000,374662,1791,511,7.7781,10.3556,-0.1421,-0.0975,-0.0577
1,400001,450000,424343,1807,575,8.4269,13.2617,-0.2229,-0.1732,-0.1052
1,450001,500000,475851,1710,546,7.5375,12.1648,-0.2349,-0.1751,-0.1153
1,500001,550000,525905,1892,595,8.1875,14.1622,-0.2673,-0.3074,-0.1414
1,550001,600000,575316,1632,444,8.367,18.1578,-0.3691,-0.4784,-0.235
1,600001,650000,626653,1487,397,7.7214,18.6237,-0.4138,-0.5695,-0.2896
1,650001,700000,673707,1514,581,10.5607,21.1991,-0.335,-0.3029,-0.1731
1,700001,750000,726952,1229,466,5.1122,14.9034,-0.4892,-0.7231,-0.2762
1,750001,800000,773975,1152,473,8.8564,13.8691,-0.2206,-0.2902,-0.1707
1,800001,850000,820599,1098,383,7.7767,12.1126,-0.218,-0.3099,-0.1676
1,850001,900000,867266,1034,460,9.1671,7.9215,0.0729,0.0397,0.0279
1,900001,950000,921773,950,344,6.5628,4.7502,0.1602,0.1189,0.08
1,950001,1000000,975758,364,196,5.5228,6.2991,-0.0657,-0.1778,-0.0872
1,1000001,1050000,1028253,1498,572,16.7577,14.3569,0.0772,0.0675,0.045
1,1050001,1100000,1076990,1663,658,8.9445,13.1483,-0.1903,-0.1347,-0.0884
1,1100001,1150000,1125943,1496,592,6.8434,13.6427,-0.3319,-0.1522,-0.108
1,1150001,1200000,1174260,1448,530,2.6433,6.6784,-0.4329,-0.1727,-0.1226
1,1200001,1250000,1225167,1520,598,14.759,20.3311,-0.1588,-0.1237,-0.0849
1,1250001,1300000,1273485,1607,636,9.0616,18.325,-0.3382,-0.1508,-0.1081
1,1300001,1350000,1324786,1529,598,11.015,16.2107,-0.1908,-0.0925,-0.0644
1,1350001,1400000,1374795,1508,495,8.7458,9.1913,-0.0248,-0.0199,-0.0095
1,1400001,1450000,1424976,1168,318,6.4772,4.3912,0.1919,0.2024,0.0928
1,1450001,1500000,1475629,1287,440,10.2026,7.6619,0.1422,0.0783,0.0496
1,1500001,1550000,1524295,1482,613,10.3305,9.0384,0.0667,0.0354,0.0216
1,1550001,1600000,1574458,1496,681,14.4849,8.8205,0.243,0.1031,0.0713
1,1600001,1650000,1622780,1303,530,6.3552,7.0265,-0.0502,-0.0118,-0.0086
1,1650001,1700000,1675180,1381,451,8.9822,6.8676,0.1334,0.0431,0.0291
1,1700001,1750000,1724284,1205,400,9.7452,7.3748,0.1385,0.0407,0.0303
1,1750001,1800000,1773922,1375,492,3.7406,5.7545,-0.2121,-0.0608,-0.0395
1,1800001,1850000,1826895,1421,447,3.8181,13.1836,-0.5509,-0.1633,-0.1216
1,1850001,1900000,1875551,1375,409,7.6668,17.1286,-0.3816,-0.2245,-0.1534
1,1900001,1950000,1925952,1425,511,14.8745,9.0457,0.2437,0.0941,0.0786
1,1950001,2000000,1973932,1355,462,15.0763,15.9046,-0.0267,-0.019,-0.0145
1,2000001,2050000,2025208,1152,368,17.1918,6.7948,0.4334,0.1581,0.1314
1,2050001,2100000,2074296,1217,406,4.2096,15.0804,-0.5635,-0.2908,-0.185
1,2100001,2150000,2124764,1216,444,11.7213,13.375,-0.0659,-0.0293,-0.0252
1,2150001,2200000,2174937,1200,411,2.5377,3.2049,-0.1162,-0.0255,-0.0186
1,2200001,2250000,2224917,1338,514,10.5367,14.0533,-0.143,-0.0479,-0.0373
1,2250001,2300000,2274270,1486,601,11.923,8.2398,0.1827,0.111,0.0644
1,2300001,2350000,2336678,767,279,6.411,6.7093,-0.0227,-0.0091,-0.0069
1,2350001,2400000,2374848,1310,572,7.1315,8.9922,-0.1154,-0.046,-0.0292
1,2400001,2450000,2425285,1242,457,7.5409,22.7391,-0.5019,-0.3378,-0.2236
1,2450001,2500000,2475335,1250,408,3.0266,11.9173,-0.5949,-0.2275,-0.1497
1,2500001,2550000,2522450,1071,352,4.2632,3.2712,0.1317,0.0308,0.0224
1,2550001,2600000,2574315,997,332,5.1976,6.5943,-0.1184,-0.0337,-0.0264
1,2600001,2650000,2624786,1189,466,9.903,9.2062,0.0365,0.0151,0.013
1,2650001,2700000,2673395,1159,428,5.5048,4.9564,0.0524,0.014,0.0095
1,2700001,2750000,2724418,1141,407,11.0796,9.6771,0.0676,0.0301,0.024
1,2750001,2800000,2775006,1140,385,6.5345,8.6397,-0.1387,-0.052,-0.0389
1,2800001,2850000,2825747,1135,397,7.3665,3.1219,0.4047,0.1195,0.0961
1,2850001,2900000,2875981,1106,454,8.812,10.8857,-0.1053,-0.0284,-0.0218
1,2900001,2950000,2924463,1054,441,4.6684,7.023,-0.2014,-0.0517,-0.0408
1,2950001,3000000,2975916,1137,481,9.2853,9.6239,-0.0179,-0.006,-0.005
1,3000001,3050000,3024378,1238,468,16.6526,12.3712,0.1475,0.0582,0.0511
1,3050001,3100000,3075754,1246,453,8.2516,4.3552,0.3091,0.1121,0.0817
1,3100001,3150000,3123590,1362,516,9.6096,21.9606,-0.3912,-0.2198,-0.169
1,3150001,3200000,3174945,1090,474,11.967,12.2134,-0.0102,-0.0039,-0.0033
1,3200001,3250000,3223953,1214,407,3.9733,10.5288,-0.452,-0.1343,-0.0999
1,3250001,3300000,3276074,1256,443,6.8396,7.52,-0.0474,-0.0158,-0.012
1,3300001,3350000,3323227,1154,462,1.3268,7.6197,-0.7034,-0.1329,-0.0954
1,3350001,3400000,3376942,1159,426,3.0202,12.8111,-0.6185,-0.1809,-0.1253
1,3400001,3450000,3424964,1234,485,4.4082,8.2426,-0.3031,-0.104,-0.0769
1,3450001,3500000,3475976,1212,429,5.0678,14.5442,-0.4832,-0.2245,-0.1578
1,3500001,3550000,3524983,1162,399,8.1396,10.1756,-0.1112,-0.0385,-0.0319
1,3550001,3600000,3576062,1257,435,8.2659,13.8063,-0.251,-0.1004,-0.0766
1,3600001,3650000,3625112,1227,478,6.0857,7.4813,-0.1029,-0.0237,-0.0178
1,3650001,3700000,3674416,1212,396,4.4414,15.3654,-0.5515,-0.2512,-0.1779
1,3700001,3750000,3724579,904,363,7.4426,9.022,-0.0959,-0.0346,-0.0261
1,3750001,3800000,3774881,889,364,10.5177,9.8996,0.0303,0.0097,0.0086
1,3800001,3850000,3824030,1063,391,9.553,16.9729,-0.2797,-0.165,-0.1157
1,3850001,3900000,3873724,1046,308,2.2613,10.867,-0.6555,-0.1996,-0.1469
1,3900001,3950000,3927447,1193,400,3.5282,26.8496,-0.7677,-0.5706,-0.3402
1,3950001,4000000,3974625,1241,424,3.4429,25.5592,-0.7626,-0.6972,-0.3659
1,4000001,4050000,4025759,1259,526,3.9211,26.2637,-0.7402,-0.7198,-0.3899
1,4050001,4100000,4073956,1052,342,4.3939,15.4456,-0.5571,-0.4016,-0.2323
1,4100001,4150000,4125248,1200,411,6.4025,29.9268,-0.6475,-0.5226,-0.2978
1,4150001,4200000,4174612,1299,503,9.3111,9.9907,-0.0352,-0.0107,-0.0071
1,4200001,4250000,4225649,1240,500,9.9759,19.6078,-0.3256,-0.162,-0.1158
1,4250001,4300000,4275155,1242,484,7.5301,26.2962,-0.5548,-0.384,-0.2325
1,4300001,4350000,4325849,1227,408,3.0556,19.7778,-0.7324,-0.7023,-0.3728
1,4350001,4400000,4374355,1330,463,6.3405,8.5383,-0.1477,-0.0381,-0.0309
1,4400001,4450000,4424179,1216,404,4.7263,22.3274,-0.6506,-0.54,-0.294
1,4450001,4500000,4475396,1157,428,5.746,48.0241,-0.7863,-0.9667,-0.3734
1,4500001,4550000,4525345,1181,391,8.822,26.2249,-0.4966,-0.3695,-0.2419
1,4550001,4600000,4575817,1360,544,6.776,13.5472,-0.3332,-0.141,-0.0955
1,4600001,4650000,4624011,1361,528,8.0447,30.5125,-0.5827,-0.3944,-0.2484
1,4650001,4700000,4674180,1505,521,4.4113,18.1152,-0.6083,-0.4815,-0.2805
1,4700001,4750000,4724855,1170,371,5.3383,13.2095,-0.4244,-0.3251,-0.2056
1,4750001,4800000,4776146,1388,540,7.6296,24.9606,-0.5318,-0.4481,-0.2788
1,4800001,4850000,4824755,1369,466,5.6477,23.3039,-0.6099,-0.4023,-0.2676
1,4850001,4900000,4875547,1176,404,4.3723,11.3689,-0.4445,-0.2713,-0.1604
1,4900001,4950000,4924292,937,398,6.4717,7.9736,-0.104,-0.0307,-0.025
1,4950001,5000000,4972486,702,275,6.7708,6.7728,-0.0001,-0.0001,-0.0
1,5000001,5050000,5026384,673,281,9.645,10.5254,-0.0436,-0.0209,-0.0143
1,5050001,5100000,5074369,779,271,4.1553,2.5671,0.2362,0.064,0.0448
1,5100001,5150000,5124601,863,356,4.3089,9.0442,-0.3546,-0.1261,-0.1027
1,5150001,5200000,5175243,805,368,2.82,5.2166,-0.2982,-0.16,-0.0962
1,5200001,5250000,5223725,837,362,3.3317,11.4746,-0.55,-0.1904,-0.1388
1,5250001,5300000,5275764,988,356,5.5775,7.9795,-0.1772,-0.0565,-0.0441
1,5300001,5350000,5326199,835,236,3.1927,10.3643,-0.529,-0.4356,-0.2444
1,5350001,5400000,5372582,686,222,3.0168,12.9738,-0.6227,-0.541,-0.3111
1,5400001,5450000,5424342,616,224,1.0262,4.9336,-0.6556,-0.7333,-0.2727
1,5450001,5500000,5476425,683,276,2.8127,2.8189,-0.0011,-0.0003,-0.0002
1,5500001,5550000,5523771,726,313,3.3429,3.7002,-0.0507,-0.0132,-0.0098
1,5550001,5600000,5575774,770,301,2.1785,3.7383,-0.2636,-0.0402,-0.0325
1,5600001,5650000,5623220,819,348,3.8142,9.1863,-0.4132,-0.2245,-0.16
1,5650001,5700000,5674960,719,302,1.3098,3.637,-0.4704,-0.1864,-0.1418
1,5700001,5750000,5726162,774,367,6.174,7.578,-0.1021,-0.052,-0.0408
1,5750001,5800000,5773538,735,319,0.5404,7.3024,-0.8622,-0.49,-0.2605
1,5800001,5850000,5823631,713,296,0.703,7.0189,-0.8179,-0.5153,-0.2737
1,5850001,5900000,5875466,768,320,4.25,13.2778,-0.5151,-0.3235,-0.2188
1,5900001,5950000,5924383,764,299,3.6036,8.0374,-0.3809,-0.2267,-0.1473
1,5950001,6000000,5974895,765,324,7.2855,11.2114,-0.2122,-0.1402,-0.1024
1,6000001,6050000,6025671,766,321,1.9961,4.3417,-0.3701,-0.1621,-0.1104
1,6050001,6100000,6075363,716,290,7.3986,3.349,0.3768,0.1534,0.1211
1,6100001,6150000,6124826,771,335,5.8891,2.8188,0.3526,0.1044,0.0843
1,6150001,6200000,6175165,647,208,13.1448,6.1757,0.3607,0.2497,0.1905
1,6200001,6250000,6225484,757,285,9.5264,12.1793,-0.1222,-0.104,-0.0797
1,6250001,6300000,6275326,787,196,7.9409,8.7572,-0.0489,-0.0368,-0.0297
1,6300001,6350000,6324439,874,289,5.8774,2.16,0.4625,0.1175,0.1005
1,6350001,6400000,6375828,939,308,3.3699,8.452,-0.4299,-0.1184,-0.0972
1,6400001,6450000,6423676,941,339,4.9712,3.5128,0.1719,0.0289,0.0246
1,6450001,6500000,6476266,767,277,5.5425,2.2524,0.4221,0.0604,0.0532
1,6500001,6550000,6528532,819,323,10.9268,16.6614,-0.2079,-0.1184,-0.0911
1,6550001,6600000,6576128,905,357,13.1529,5.8104,0.3872,0.2436,0.1998
1,6600001,6650000,6624322,1169,479,12.4024,3.1173,0.5983,0.1402,0.1327
1,6650001,6700000,6675341,1243,467,20.2594,17.1585,0.0829,0.0495,0.0429
1,6700001,6750000,6725452,1406,515,3.1343,6.8362,-0.3713,-0.2041,-0.1387
1,6750001,6800000,6773913,1382,482,5.9177,7.2627,-0.102,-0.0652,-0.0365
1,6800001,6850000,6824804,1242,473,12.4595,10.6398,0.0788,0.062,0.0389
1,6850001,6900000,6874779,1476,399,9.4866,7.3756,0.1252,0.0456,0.039
1,6900001,6950000,6922893,1499,454,15.7052,7.4449,0.3568,0.2219,0.2004
1,6950001,7000000,6974417,1111,377,8.9984,5.9846,0.2011,0.1358,0.0972
1,7000001,7050000,7025014,1076,288,11.6286,5.8724,0.3289,0.1871,0.1635
1,7050001,7100000,7074824,1072,382,12.6082,13.6421,-0.0394,-0.0359,-0.0228
1,7100001,7150000,7124622,1136,438,16.7858,14.8101,0.0625,0.074,0.0444
1,7150001,7200000,7175155,1153,457,11.5058,12.1954,-0.0291,-0.0237,-0.0153
