scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,50000,29265,1696,696,7.8294,8.958,-0.0672,-0.0366,-0.0269
1,50001,100000,73938,562,236,5.9877,5.0551,0.0844,0.115,0.0964
1,100001,150000,126882,1183,425,5.3831,7.9394,-0.1919,-0.1203,-0.0836
1,150001,200000,182786,798,247,2.4753,4.0347,-0.2395,-0.11,-0.0805
1,200001,250000,224197,1602,342,4.6252,4.6036,0.0023,0.0008,0.0006
1,250001,300000,273709,924,220,2.2038,3.2076,-0.1855,-0.0964,-0.0674
1,300001,350000,325002,1568,396,3.8191,5.6494,-0.1933,-0.0612,-0.0421
1,350001,400000,374662,1791,522,7.0736,7.1558,-0.0058,-0.0022,-0.0014
1,400001,450000,424343,1807,665,10.9763,7.7571,0.1718,0.0258,0.0229
1,450001,500000,475851,1710,658,4.2377,10.7916,-0.4361,-0.0362,-0.0329
1,500001,550000,525905,1892,603,6.7246,7.9765,-0.0852,-0.0084,-0.0074
1,550001,600000,575316,1632,471,7.0461,7.2383,-0.0135,-0.0027,-0.0023
1,600001,650000,626653,1487,385,7.7942,4.344,0.2842,0.0822,0.0691
1,650001,700000,673707,1514,560,6.2547,8.1534,-0.1318,-0.0277,-0.0219
1,700001,750000,726952,1229,436,5.8363,6.1562,-0.0267,-0.0092,-0.0063
1,750001,800000,773975,1152,520,11.6229,16.2204,-0.1651,-0.0911,-0.0615
1,800001,850000,820599,1098,373,5.6315,9.473,-0.2543,-0.1383,-0.0918
1,850001,900000,867266,1034,456,5.2584,6.1353,-0.077,-0.041,-0.0289
1,900001,950000,921773,950,349,7.8537,5.6671,0.1617,0.0774,0.0609
1,950001,1000000,975758,364,195,1.9237,6.9288,-0.5654,-1.091,-0.3509
1,1000001,1050000,1028253,1498,643,11.7176,14.57,-0.1085,-0.0777,-0.0488
1,1050001,1100000,1076990,1663,656,8.8553,8.9312,-0.0043,-0.0013,-0.0011
1,1100001,1150000,1125943,1496,596,9.6274,8.813,0.0442,0.0145,0.0115
1,1150001,1200000,1174260,1448,571,5.1086,5.9404,-0.0753,-0.0337,-0.026
1,1200001,1250000,1225167,1520,623,16.2701,15.4505,0.0258,0.0143,0.0106
1,1250001,1300000,1273485,1607,659,14.3282,10.663,0.1467,0.0955,0.0643
1,1300001,1350000,1324786,1529,598,12.3975,8.2277,0.2022,0.1277,0.0744
1,1350001,1400000,1374795,1508,498,13.3925,8.9273,0.2001,0.1238,0.091
1,1400001,1450000,1424976,1168,319,7.4469,8.16,-0.0457,-0.0311,-0.0176
1,1450001,1500000,1475629,1287,433,8.1301,7.2819,0.055,0.0213,0.0139
1,1500001,1550000,1524295,1482,605,12.5334,15.7244,-0.1129,-0.0511,-0.0335
1,1550001,1600000,1574458,1496,689,15.4435,13.1218,0.0813,0.0386,0.0263
1,1600001,1650000,1622780,1303,527,14.0497,12.7001,0.0505,0.0327,0.0211
1,1650001,1700000,1675180,1381,474,12.0369,10.2571,0.0798,0.0435,0.0284
1,1700001,1750000,1724284,1205,389,7.0535,9.106,-0.127,-0.0728,-0.042
1,1750001,1800000,1773922,1375,484,5.47,5.6972,-0.0203,-0.0133,-0.0071
1,1800001,1850000,1826895,1421,446,7.995,5.6434,0.1724,0.1183,0.0784
1,1850001,1900000,1875551,1375,417,15.1935,11.2749,0.148,0.1762,0.0934
1,1900001,1950000,1925952,1425,511,30.494,10.0536,0.5041,0.5054,0.406
1,1950001,2000000,1973932,1355,476,9.3666,8.9864,0.0207,0.0162,0.0099
1,2000001,2050000,2025208,1152,365,8.1931,4.6391,0.277,0.1434,0.1032
1,2050001,2100000,2074296,1217,402,6.8012,8.0253,-0.0826,-0.1397,-0.0557
1,2100001,2150000,2124764,1216,436,10.4783,20.1153,-0.315,-0.6744,-0.2925
1,2150001,2200000,2174937,1200,418,5.0935,6.1642,-0.0951,-0.0712,-0.0476
1,2200001,2250000,2224917,1338,518,7.7083,11.3858,-0.1926,-0.2531,-0.0936
1,2250001,2300000,2274270,1486,588,9.4373,17.2065,-0.2916,-0.4803,-0.1663
1,2300001,2350000,2336678,767,254,3.9692,6.4253,-0.2363,-0.2249,-0.1256
1,2350001,2400000,2374848,1310,577,10.0526,8.5333,0.0817,0.0839,0.0442
1,2400001,2450000,2425285,1242,474,10.898,8.4368,0.1273,0.1328,0.0698
1,2450001,2500000,2475335,1250,437,6.4928,9.6464,-0.1954,-0.2091,-0.092
1,2500001,2550000,2522450,1071,366,5.4408,4.3091,0.1161,0.06,0.0396
1,2550001,2600000,2574315,997,312,5.6079,9.3638,-0.2509,-0.3289,-0.1541
1,2600001,2650000,2624786,1189,441,8.0647,15.9029,-0.327,-0.3577,-0.2016
1,2650001,2700000,2673395,1159,402,5.5353,12.3308,-0.3804,-0.3978,-0.1942
1,2700001,2750000,2724418,1141,401,5.2927,12.9435,-0.4195,-0.503,-0.258
1,2750001,2800000,2775006,1140,388,4.8546,9.7491,-0.3352,-0.1907,-0.1163
1,2800001,2850000,2825747,1135,422,12.2908,4.4614,0.4674,0.1413,0.1202
1,2850001,2900000,2875981,1106,435,8.3753,4.8907,0.2627,0.119,0.0815
1,2900001,2950000,2924463,1054,431,9.6112,12.5754,-0.1336,-0.0828,-0.0546
1,2950001,3000000,2975916,1137,467,6.5472,12.8401,-0.3246,-0.1903,-0.123
1,3000001,3050000,3024378,1238,483,5.656,14.1949,-0.4302,-0.3313,-0.1906
1,3050001,3100000,3075754,1246,463,4.3675,8.9301,-0.3431,-0.1733,-0.107
1,3100001,3150000,3123590,1362,542,7.9233,9.9145,-0.1116,-0.049,-0.0357
1,3150001,3200000,3174945,1090,476,8.1542,4.8406,0.255,0.0729,0.0624
1,3200001,3250000,3223953,1214,419,4.4259,5.9074,-0.1434,-0.0281,-0.0224
1,3250001,3300000,3276074,1256,449,9.9865,10.5156,-0.0258,-0.0121,-0.0087
1,3300001,3350000,3323227,1154,456,2.5103,2.1846,0.0694,0.0104,0.0079
1,3350001,3400000,3376942,1159,446,3.5369,9.6483,-0.4635,-0.1222,-0.0877
1,3400001,3450000,3424964,1234,430,5.7784,4.5791,0.1158,0.0294,0.0235
