BP	SNP	CHR	P	chr
50000	100000	1	0.031624	1
100000	150000	1	0.063386	1
150000	200000	1	0.072479	1
200000	250000	1	0.032548	1
250000	300000	1	0.075093	1
300000	350000	1	0.211357	1
350000	400000	1	0.159450	1
400000	450000	1	0.334391	1
450000	500000	1	0.248027	1
500000	550000	1	0.175339	1
550000	600000	1	0.165568	1
600000	650000	1	0.109116	1
650000	700000	1	0.201863	1
700000	750000	1	0.315736	1
750000	800000	1	0.026814	1
800000	850000	1	0.070808	1
850000	900000	1	0.020791	1
900000	950000	1	0.227456	1
950000	1000000	1	0.075262	1
1000000	1050000	1	0.057068	1
1050000	1100000	1	0.103749	1
1100000	1150000	1	0.119116	1
1150000	1200000	1	0.073138	1
1200000	1250000	1	0.126160	1
1250000	1300000	1	0.113929	1
1300000	1350000	1	0.272295	1
1350000	1400000	1	0.166431	1
1400000	1450000	1	0.232023	1
1450000	1500000	1	0.173677	1
1500000	1550000	1	0.178927	1
1550000	1600000	1	0.242893	1
1600000	1650000	1	0.198256	1
1650000	1700000	1	0.152585	1
1700000	1750000	1	0.159159	1
1750000	1800000	1	0.200735	1
1800000	1850000	1	0.189756	1
1850000	1900000	1	0.294473	1
1900000	1950000	1	0.197917	1
1950000	2000000	1	0.231262	1
2000000	2050000	1	0.302002	1
2050000	2100000	1	0.305793	1
2100000	2150000	1	0.224601	1
2150000	2200000	1	0.190765	1
2200000	2250000	1	0.196992	1
2250000	2300000	1	0.217238	1
2300000	2350000	1	0.154701	1
2350000	2400000	1	0.190711	1
2400000	2450000	1	0.179851	1
2450000	2500000	1	0.295098	1
2500000	2550000	1	0.223920	1
2550000	2600000	1	0.276345	1
2600000	2650000	1	0.314776	1
2650000	2700000	1	0.302776	1
2700000	2750000	1	0.315173	1
2750000	2800000	1	0.379714	1
2800000	2850000	1	0.263677	1
2850000	2900000	1	0.243666	1
2900000	2950000	1	0.324941	1
2950000	3000000	1	0.234659	1
3000000	3050000	1	0.257700	1
3050000	3100000	1	0.341650	1
3100000	3150000	1	0.246008	1
3150000	3200000	1	0.321470	1
3200000	3250000	1	0.269907	1
3250000	3300000	1	0.217695	1
3300000	3350000	1	0.173736	1
3350000	3400000	1	0.188532	1
3400000	3450000	1	0.133636	1
3450000	3500000	1	0.189288	1
3500000	3550000	1	0.180292	1
3550000	3600000	1	0.172732	1
3600000	3650000	1	0.199383	1
3650000	3700000	1	0.233622	1
3700000	3750000	1	0.174666	1
3750000	3800000	1	0.178887	1
3800000	3850000	1	0.174532	1
3850000	3900000	1	0.217987	1
3900000	3950000	1	0.181064	1
3950000	4000000	1	0.229988	1
4000000	4050000	1	0.189700	1
4050000	4100000	1	0.257315	1
4100000	4150000	1	0.330238	1
4150000	4200000	1	0.217915	1
4200000	4250000	1	0.198956	1
4250000	4300000	1	0.227564	1
4300000	4350000	1	0.254637	1
4350000	4400000	1	0.165764	1
4400000	4450000	1	0.271657	1
4450000	4500000	1	0.343359	1
4500000	4550000	1	0.297063	1
4550000	4600000	1	0.237199	1
4600000	4650000	1	0.197434	1
4650000	4700000	1	0.091277	1
4700000	4750000	1	0.107053	1
4750000	4800000	1	0.249425	1
4800000	4850000	1	0.221933	1
4850000	4900000	1	0.336194	1
4900000	4950000	1	0.210229	1
4950000	5000000	1	0.225352	1
5000000	5050000	1	0.347689	1
5050000	5100000	1	0.348229	1
5100000	5150000	1	0.265112	1
5150000	5200000	1	0.197001	1
5200000	5250000	1	0.204199	1
5250000	5300000	1	0.203167	1
5300000	5350000	1	0.111240	1
5350000	5400000	1	0.172042	1
5400000	5450000	1	0.220485	1
5450000	5500000	1	0.220576	1
5500000	5550000	1	0.128265	1
5550000	5600000	1	0.072356	1
5600000	5650000	1	0.056524	1
5650000	5700000	1	0.036815	1
5700000	5750000	1	0.054926	1
5750000	5800000	1	0.028956	1
5800000	5850000	1	0.075278	1
5850000	5900000	1	0.044175	1
5900000	5950000	1	0.099581	1
5950000	6000000	1	0.120099	1
6000000	6050000	1	0.138818	1
6050000	6100000	1	0.121614	1
6100000	6150000	1	0.113715	1
6150000	6200000	1	0.112321	1
6200000	6250000	1	0.155734	1
6250000	6300000	1	0.100316	1
6300000	6350000	1	0.109371	1
6350000	6400000	1	0.104386	1
6400000	6450000	1	0.102488	1
6450000	6500000	1	0.161823	1
6500000	6550000	1	0.123044	1
6550000	6600000	1	0.150745	1
6600000	6650000	1	0.208412	1
6650000	6700000	1	0.311130	1
6700000	6750000	1	0.190470	1
6750000	6800000	1	0.114071	1
6800000	6850000	1	0.237473	1
6850000	6900000	1	0.113870	1
6900000	6950000	1	0.151335	1
6950000	7000000	1	0.269749	1
7000000	7050000	1	0.273685	1
7050000	7100000	1	0.318886	1
7100000	7150000	1	0.360509	1
7150000	7200000	1	0.249859	1
7200000	7250000	1	0.338231	1
7250000	7300000	1	0.321416	1
7300000	7350000	1	0.412638	1
7350000	7400000	1	0.271774	1
7400000	7450000	1	0.349969	1
7450000	7500000	1	0.282895	1
7500000	7550000	1	0.269528	1
7550000	7600000	1	0.283782	1
7600000	7650000	1	0.304157	1
7650000	7700000	1	0.290512	1
7700000	7750000	1	0.337662	1
7750000	7800000	1	0.342591	1
7800000	7850000	1	0.285818	1
7850000	7900000	1	0.254901	1
7900000	7950000	1	0.372212	1
7950000	8000000	1	0.367658	1
8000000	8050000	1	0.321212	1
8050000	8100000	1	0.310184	1
8100000	8150000	1	0.449297	1
8150000	8200000	1	0.386692	1
8200000	8250000	1	0.429053	1
8250000	8300000	1	0.314879	1
8300000	8350000	1	0.414235	1
8350000	8400000	1	0.485344	1
8400000	8450000	1	0.372913	1
8450000	8500000	1	0.138311	1
8500000	8550000	1	0.207015	1
8550000	8600000	1	0.403276	1
8600000	8650000	1	0.434557	1
8650000	8700000	1	0.340302	1
8700000	8750000	1	0.314388	1
8750000	8800000	1	0.345389	1
8800000	8850000	1	0.367908	1
8850000	8900000	1	0.447065	1
8900000	8950000	1	0.340007	1
8950000	9000000	1	0.328863	1
9000000	9050000	1	0.259213	1
9050000	9100000	1	0.264711	1
9100000	9150000	1	0.164623	1
9150000	9200000	1	0.157413	1
9200000	9250000	1	0.033339	1
9250000	9300000	1	0.097788	1
9300000	9350000	1	0.071920	1
9350000	9400000	1	0.135403	1
9400000	9450000	1	0.112155	1
9450000	9500000	1	0.101408	1
9500000	9550000	1	0.296919	1
9550000	9600000	1	0.503504	1
9600000	9650000	1	0.412845	1
9650000	9700000	1	0.334181	1
9700000	9750000	1	0.162113	1
9750000	9800000	1	0.410885	1
9800000	9850000	1	0.351325	1
9850000	9900000	1	0.277180	1
9900000	9950000	1	0.232249	1
9950000	10000000	1	0.260881	1
10000000	10050000	1	0.292398	1
10050000	10100000	1	0.163435	1
10100000	10150000	1	0.217430	1
10150000	10200000	1	0.389676	1
10200000	10250000	1	0.229435	1
10250000	10300000	1	0.046534	1
10300000	10350000	1	0.235340	1
10350000	10400000	1	0.280974	1
10400000	10450000	1	0.326723	1
10450000	10500000	1	0.218437	1
10500000	10550000	1	0.243385	1
10550000	10600000	1	0.345718	1
10600000	10650000	1	0.477530	1
10650000	10700000	1	0.405670	1
10700000	10750000	1	0.195467	1
10750000	10800000	1	0.245211	1
10800000	10850000	1	0.246501	1
10850000	10900000	1	0.297639	1
10900000	10950000	1	0.160356	1
10950000	11000000	1	0.214171	1
11000000	11050000	1	0.218285	1
11050000	11100000	1	0.184370	1
11100000	11150000	1	0.179403	1
11150000	11200000	1	0.239151	1
11200000	11250000	1	0.287440	1
11250000	11300000	1	0.378270	1
11300000	11350000	1	0.226992	1
11350000	11400000	1	0.272800	1
11400000	11450000	1	0.079220	1
11450000	11500000	1	0.176047	1
11500000	11550000	1	0.290090	1
11550000	11600000	1	0.325177	1
11600000	11650000	1	0.270953	1
11650000	11700000	1	0.338984	1
11700000	11750000	1	0.293740	1
11750000	11800000	1	0.318062	1
11800000	11850000	1	0.348570	1
11850000	11900000	1	0.210578	1
11900000	11950000	1	0.296447	1
11950000	12000000	1	0.170682	1
12000000	12050000	1	0.099340	1
12050000	12100000	1	0.180295	1
12100000	12150000	1	0.262377	1
12150000	12200000	1	0.117306	1
12200000	12250000	1	0.162261	1
12250000	12300000	1	0.162751	1
12300000	12350000	1	0.162142	1
12350000	12400000	1	0.154346	1
12400000	12450000	1	0.096804	1
12450000	12500000	1	0.188755	1
12500000	12550000	1	0.244087	1
12550000	12600000	1	0.167199	1
12600000	12650000	1	0.238725	1
12650000	12700000	1	0.102857	1
12700000	12750000	1	0.219911	1
12750000	12800000	1	0.263112	1
12800000	12850000	1	0.159792	1
12850000	12900000	1	0.153379	1
12900000	12950000	1	0.204526	1
12950000	13000000	1	0.103037	1
13000000	13050000	1	0.089315	1
13050000	13100000	1	0.197225	1
13100000	13150000	1	0.183476	1
13150000	13200000	1	0.324871	1
13200000	13250000	1	0.166604	1
13250000	13300000	1	0.238066	1
13300000	13350000	1	0.323818	1
13350000	13400000	1	0.214533	1
13400000	13450000	1	0.333413	1
13450000	13500000	1	0.367666	1
13500000	13550000	1	0.297837	1
13550000	13600000	1	0.221303	1
13600000	13650000	1	0.164859	1
13650000	13700000	1	0.138576	1
13700000	13750000	1	0.149072	1
13750000	13800000	1	0.120041	1
13800000	13850000	1	0.158403	1
13850000	13900000	1	0.220519	1
13900000	13950000	1	0.219258	1
13950000	14000000	1	0.277588	1
14000000	14050000	1	0.208341	1
