BP	SNP	CHR	P	chr
50000	100000	1	0.261127	1
100000	150000	1	0.149853	1
150000	200000	1	0.237787	1
200000	250000	1	0.043830	1
250000	300000	1	0.055393	1
300000	350000	1	0.235984	1
350000	400000	1	0.168216	1
400000	450000	1	0.166637	1
450000	500000	1	0.171020	1
500000	550000	1	0.207799	1
550000	600000	1	0.179257	1
600000	650000	1	0.159652	1
650000	700000	1	0.208455	1
700000	750000	1	0.173954	1
750000	800000	1	0.228240	1
800000	850000	1	0.181160	1
850000	900000	1	0.024987	1
900000	950000	1	0.049664	1
950000	1000000	1	0.097958	1
1000000	1050000	1	0.203588	1
1050000	1100000	1	0.244081	1
1100000	1150000	1	0.167657	1
1150000	1200000	1	0.166627	1
1200000	1250000	1	0.273531	1
1250000	1300000	1	0.379500	1
1300000	1350000	1	0.374822	1
1350000	1400000	1	0.406459	1
1400000	1450000	1	0.266168	1
1450000	1500000	1	0.351276	1
1500000	1550000	1	0.286764	1
1550000	1600000	1	0.180331	1
1600000	1650000	1	0.172528	1
1650000	1700000	1	0.204302	1
1700000	1750000	1	0.200569	1
1750000	1800000	1	0.200429	1
1800000	1850000	1	0.179625	1
1850000	1900000	1	0.350614	1
1900000	1950000	1	0.226053	1
1950000	2000000	1	0.241871	1
2000000	2050000	1	0.204975	1
2050000	2100000	1	0.343908	1
2100000	2150000	1	0.326104	1
2150000	2200000	1	0.194794	1
2200000	2250000	1	0.229817	1
2250000	2300000	1	0.353561	1
2300000	2350000	1	0.457838	1
2350000	2400000	1	0.371062	1
2400000	2450000	1	0.248648	1
2450000	2500000	1	0.291722	1
2500000	2550000	1	0.357478	1
2550000	2600000	1	0.251836	1
2600000	2650000	1	0.365356	1
2650000	2700000	1	0.310322	1
2700000	2750000	1	0.352257	1
2750000	2800000	1	0.392089	1
2800000	2850000	1	0.302628	1
2850000	2900000	1	0.277605	1
2900000	2950000	1	0.223087	1
2950000	3000000	1	0.228683	1
3000000	3050000	1	0.226592	1
3050000	3100000	1	0.205766	1
3100000	3150000	1	0.257053	1
3150000	3200000	1	0.285214	1
3200000	3250000	1	0.431208	1
3250000	3300000	1	0.318709	1
3300000	3350000	1	0.182049	1
3350000	3400000	1	0.203564	1
3400000	3450000	1	0.358503	1
3450000	3500000	1	0.224006	1
3500000	3550000	1	0.310019	1
3550000	3600000	1	0.246582	1
3600000	3650000	1	0.272896	1
3650000	3700000	1	0.332715	1
3700000	3750000	1	0.385274	1
3750000	3800000	1	0.336927	1
3800000	3850000	1	0.231393	1
3850000	3900000	1	0.253847	1
3900000	3950000	1	0.217029	1
3950000	4000000	1	0.181269	1
4000000	4050000	1	0.305768	1
4050000	4100000	1	0.382809	1
4100000	4150000	1	0.327955	1
4150000	4200000	1	0.395751	1
4200000	4250000	1	0.207917	1
4250000	4300000	1	0.326183	1
4300000	4350000	1	0.314501	1
4350000	4400000	1	0.154437	1
4400000	4450000	1	0.248262	1
4450000	4500000	1	0.181141	1
4500000	4550000	1	0.318387	1
4550000	4600000	1	0.417505	1
4600000	4650000	1	0.308462	1
4650000	4700000	1	0.141410	1
4700000	4750000	1	0.228116	1
4750000	4800000	1	0.208554	1
4800000	4850000	1	0.283545	1
4850000	4900000	1	0.256138	1
4900000	4950000	1	0.286806	1
4950000	5000000	1	0.340628	1
5000000	5050000	1	0.459960	1
5050000	5100000	1	0.460305	1
5100000	5150000	1	0.353515	1
5150000	5200000	1	0.297434	1
5200000	5250000	1	0.318868	1
5250000	5300000	1	0.319473	1
5300000	5350000	1	0.152597	1
5350000	5400000	1	0.129818	1
5400000	5450000	1	0.200711	1
5450000	5500000	1	0.135302	1
5500000	5550000	1	0.145989	1
5550000	5600000	1	0.255626	1
5600000	5650000	1	0.121381	1
5650000	5700000	1	0.126435	1
5700000	5750000	1	0.213384	1
5750000	5800000	1	0.124280	1
5800000	5850000	1	0.284285	1
5850000	5900000	1	0.143062	1
5900000	5950000	1	0.168215	1
5950000	6000000	1	0.188258	1
6000000	6050000	1	0.178212	1
6050000	6100000	1	0.179836	1
6100000	6150000	1	0.127516	1
6150000	6200000	1	0.176329	1
6200000	6250000	1	0.138251	1
6250000	6300000	1	0.090790	1
6300000	6350000	1	0.121304	1
6350000	6400000	1	0.177297	1
6400000	6450000	1	0.079161	1
6450000	6500000	1	0.217281	1
6500000	6550000	1	0.298193	1
6550000	6600000	1	0.176243	1
6600000	6650000	1	0.154567	1
6650000	6700000	1	0.203222	1
6700000	6750000	1	0.125648	1
6750000	6800000	1	0.136395	1
6800000	6850000	1	0.125829	1
6850000	6900000	1	0.210848	1
6900000	6950000	1	0.187376	1
6950000	7000000	1	0.329549	1
7000000	7050000	1	0.279923	1
7050000	7100000	1	0.233413	1
7100000	7150000	1	0.243692	1
7150000	7200000	1	0.222387	1
7200000	7250000	1	0.186993	1
7250000	7300000	1	0.224989	1
7300000	7350000	1	0.228060	1
7350000	7400000	1	0.282235	1
7400000	7450000	1	0.259548	1
7450000	7500000	1	0.254164	1
7500000	7550000	1	0.192097	1
7550000	7600000	1	0.189687	1
7600000	7650000	1	0.325452	1
7650000	7700000	1	0.204674	1
7700000	7750000	1	0.172138	1
7750000	7800000	1	0.242962	1
7800000	7850000	1	0.229808	1
7850000	7900000	1	0.288801	1
7900000	7950000	1	0.329191	1
7950000	8000000	1	0.380829	1
8000000	8050000	1	0.206578	1
8050000	8100000	1	0.127220	1
8100000	8150000	1	0.161002	1
8150000	8200000	1	0.162937	1
8200000	8250000	1	0.177511	1
8250000	8300000	1	0.211293	1
8300000	8350000	1	0.100231	1
8350000	8400000	1	0.149482	1
8400000	8450000	1	0.145621	1
8450000	8500000	1	0.136802	1
8500000	8550000	1	0.098804	1
8550000	8600000	1	0.252841	1
8600000	8650000	1	0.122332	1
8650000	8700000	1	0.052160	1
8700000	8750000	1	0.044753	1
8750000	8800000	1	0.070601	1
8800000	8850000	1	0.133480	1
8850000	8900000	1	0.217847	1
8900000	8950000	1	0.242120	1
8950000	9000000	1	0.114228	1
9000000	9050000	1	0.055631	1
9050000	9100000	1	0.224623	1
9100000	9150000	1	0.156621	1
9150000	9200000	1	0.043048	1
9200000	9250000	1	0.063436	1
9250000	9300000	1	0.100061	1
9300000	9350000	1	0.184797	1
9350000	9400000	1	0.253819	1
9400000	9450000	1	0.196747	1
9450000	9500000	1	0.054209	1
9500000	9550000	1	0.064438	1
9550000	9600000	1	0.124343	1
9600000	9650000	1	0.087738	1
9650000	9700000	1	0.311238	1
9700000	9750000	1	0.373340	1
9750000	9800000	1	0.326715	1
9800000	9850000	1	0.219391	1
9850000	9900000	1	0.170980	1
9900000	9950000	1	0.102912	1
9950000	10000000	1	0.083420	1
10000000	10050000	1	0.270985	1
10050000	10100000	1	0.171690	1
10100000	10150000	1	0.166386	1
10150000	10200000	1	0.178572	1
10200000	10250000	1	0.266303	1
10250000	10300000	1	0.420999	1
10300000	10350000	1	0.247093	1
10350000	10400000	1	0.165581	1
10400000	10450000	1	0.183143	1
10450000	10500000	1	0.192381	1
10500000	10550000	1	0.286245	1
10550000	10600000	1	0.198390	1
10600000	10650000	1	0.140913	1
10650000	10700000	1	0.127406	1
10700000	10750000	1	0.159187	1
10750000	10800000	1	0.102316	1
10800000	10850000	1	0.212593	1
10850000	10900000	1	0.095312	1
10900000	10950000	1	0.135466	1
10950000	11000000	1	0.076065	1
