scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,50000,29265,1696,762,8.7274,8.6239,0.006,0.0062,0.004
1,50001,100000,73938,562,288,4.9253,5.498,-0.0549,-0.1079,-0.0698
1,100001,150000,126882,1183,460,6.3121,8.1912,-0.1296,-0.236,-0.1173
1,150001,200000,182786,798,333,4.0794,4.5951,-0.0595,-0.0781,-0.044
1,200001,250000,224197,1602,621,8.3752,9.428,-0.0591,-0.0721,-0.0397
1,250001,300000,273709,924,321,3.5949,4.5003,-0.1118,-0.1314,-0.0688
1,300001,350000,325002,1568,411,5.3375,6.3667,-0.0879,-0.0747,-0.0388
1,350001,400000,374662,1791,568,7.0645,6.7772,0.0208,0.0166,0.0086
1,400001,450000,424343,1807,821,6.4173,8.7818,-0.1556,-0.0488,-0.036
1,450001,500000,475851,1710,890,6.5177,11.0026,-0.256,-0.0798,-0.0611
1,500001,550000,525905,1892,716,8.7494,7.9661,0.0469,0.0383,0.0178
1,550001,600000,575316,1632,515,7.1992,8.2152,-0.0659,-0.056,-0.0293
1,600001,650000,626653,1487,429,6.154,7.4269,-0.0937,-0.212,-0.0573
1,650001,700000,673707,1514,591,11.2575,9.6865,0.075,0.0828,0.0355
1,700001,750000,726952,1229,456,4.9872,6.6279,-0.1413,-0.1136,-0.0476
1,750001,800000,773975,1152,557,9.4019,15.4094,-0.2421,-0.267,-0.1319
1,800001,850000,820599,1098,416,6.8496,8.608,-0.1138,-0.1466,-0.0706
1,850001,900000,867266,1034,481,6.1635,6.3255,-0.013,-0.0094,-0.0062
1,900001,950000,921773,950,353,6.7653,5.5965,0.0946,0.082,0.0528
1,950001,1000000,975758,364,195,2.6021,6.6759,-0.4391,-2.5318,-0.3877
1,1000001,1050000,1028253,1498,678,14.3574,14.6562,-0.0103,-0.0158,-0.0073
1,1050001,1100000,1076990,1663,744,11.2657,10.9344,0.0149,0.0161,0.0085
1,1100001,1150000,1125943,1496,613,10.4969,8.8349,0.086,0.0952,0.0551
