BP	SNP	CHR	P	chr
50000	100000	1	0.089015	1
100000	150000	1	-0.013841	1
150000	200000	1	0.046455	1
200000	250000	1	-0.004249	1
250000	300000	1	0.041799	1
300000	350000	1	-0.023390	1
350000	400000	1	0.068762	1
400000	450000	1	0.170858	1
450000	500000	1	0.189296	1
500000	550000	1	0.134230	1
550000	600000	1	0.102886	1
600000	650000	1	0.193030	1
650000	700000	1	0.160122	1
700000	750000	1	0.064318	1
750000	800000	1	0.004963	1
800000	850000	1	0.159121	1
850000	900000	1	0.223670	1
900000	950000	1	0.106345	1
950000	1000000	1	0.010156	1
1000000	1050000	1	0.110510	1
1050000	1100000	1	0.144356	1
1100000	1150000	1	0.106727	1
1150000	1200000	1	0.075808	1
1200000	1250000	1	0.098898	1
1250000	1300000	1	0.077075	1
1300000	1350000	1	0.048972	1
1350000	1400000	1	0.019600	1
1400000	1450000	1	0.025114	1
1450000	1500000	1	0.106472	1
1500000	1550000	1	0.158924	1
1550000	1600000	1	0.188598	1
1600000	1650000	1	0.149679	1
1650000	1700000	1	0.171245	1
1700000	1750000	1	0.113177	1
1750000	1800000	1	0.097213	1
1800000	1850000	1	0.031345	1
1850000	1900000	1	0.026219	1
1900000	1950000	1	0.118872	1
1950000	2000000	1	0.044243	1
2000000	2050000	1	0.182005	1
2050000	2100000	1	0.047358	1
2100000	2150000	1	0.077204	1
2150000	2200000	1	0.064537	1
2200000	2250000	1	0.056911	1
2250000	2300000	1	0.084039	1
2300000	2350000	1	0.137299	1
2350000	2400000	1	0.087102	1
2400000	2450000	1	0.011450	1
2450000	2500000	1	0.077251	1
2500000	2550000	1	0.044399	1
2550000	2600000	1	0.001596	1
2600000	2650000	1	0.019486	1
2650000	2700000	1	-0.002369	1
2700000	2750000	1	0.008395	1
2750000	2800000	1	0.049222	1
2800000	2850000	1	0.023840	1
2850000	2900000	1	-0.003509	1
2900000	2950000	1	0.109477	1
2950000	3000000	1	0.105634	1
3000000	3050000	1	0.060473	1
3050000	3100000	1	0.106788	1
3100000	3150000	1	0.174128	1
3150000	3200000	1	0.074274	1
3200000	3250000	1	0.153154	1
3250000	3300000	1	0.121839	1
3300000	3350000	1	0.051360	1
3350000	3400000	1	0.040869	1
3400000	3450000	1	0.038379	1
3450000	3500000	1	0.038380	1
3500000	3550000	1	0.117970	1
3550000	3600000	1	0.129495	1
3600000	3650000	1	0.108494	1
3650000	3700000	1	0.129890	1
3700000	3750000	1	0.151543	1
3750000	3800000	1	0.164403	1
3800000	3850000	1	0.146972	1
3850000	3900000	1	0.146259	1
3900000	3950000	1	0.196980	1
3950000	4000000	1	0.231498	1
4000000	4050000	1	0.073653	1
4050000	4100000	1	0.014613	1
4100000	4150000	1	0.049903	1
4150000	4200000	1	0.063670	1
4200000	4250000	1	0.124761	1
4250000	4300000	1	0.082678	1
4300000	4350000	1	0.102202	1
4350000	4400000	1	0.172725	1
4400000	4450000	1	0.198941	1
4450000	4500000	1	0.396423	1
4500000	4550000	1	0.080222	1
4550000	4600000	1	0.139894	1
4600000	4650000	1	0.064871	1
4650000	4700000	1	-0.007869	1
4700000	4750000	1	0.008432	1
4750000	4800000	1	0.065058	1
4800000	4850000	1	0.045765	1
4850000	4900000	1	0.131054	1
4900000	4950000	1	0.054779	1
4950000	5000000	1	0.082854	1
5000000	5050000	1	0.025181	1
5050000	5100000	1	0.015938	1
5100000	5150000	1	0.058136	1
5150000	5200000	1	0.030454	1
5200000	5250000	1	-0.002996	1
5250000	5300000	1	0.000298	1
5300000	5350000	1	0.004193	1
5350000	5400000	1	0.019363	1
5400000	5450000	1	0.042416	1
5450000	5500000	1	0.002826	1
5500000	5550000	1	0.025696	1
5550000	5600000	1	0.009966	1
5600000	5650000	1	0.023216	1
5650000	5700000	1	-0.035641	1
5700000	5750000	1	0.004347	1
5750000	5800000	1	-0.025072	1
5800000	5850000	1	-0.035873	1
5850000	5900000	1	-0.030940	1
5900000	5950000	1	-0.026440	1
5950000	6000000	1	0.026694	1
6000000	6050000	1	0.020963	1
6050000	6100000	1	0.081733	1
6100000	6150000	1	0.062903	1
6150000	6200000	1	-0.015890	1
6200000	6250000	1	-0.004979	1
6250000	6300000	1	-0.010703	1
6300000	6350000	1	0.003912	1
6350000	6400000	1	0.033878	1
6400000	6450000	1	-0.013406	1
6450000	6500000	1	0.007509	1
6500000	6550000	1	0.169384	1
6550000	6600000	1	0.025343	1
6600000	6650000	1	-0.001011	1
6650000	6700000	1	0.020983	1
6700000	6750000	1	0.047488	1
6750000	6800000	1	0.062970	1
6800000	6850000	1	0.096492	1
6850000	6900000	1	0.052252	1
6900000	6950000	1	0.036731	1
6950000	7000000	1	0.030783	1
7000000	7050000	1	-0.013790	1
7050000	7100000	1	0.067200	1
7100000	7150000	1	0.066550	1
7150000	7200000	1	0.038436	1
7200000	7250000	1	0.017118	1
7250000	7300000	1	0.004592	1
7300000	7350000	1	0.016663	1
7350000	7400000	1	0.016280	1
7400000	7450000	1	-0.021804	1
7450000	7500000	1	0.040267	1
7500000	7550000	1	0.047710	1
7550000	7600000	1	0.083136	1
7600000	7650000	1	0.066857	1
7650000	7700000	1	0.044404	1
7700000	7750000	1	0.076409	1
7750000	7800000	1	0.105583	1
7800000	7850000	1	0.071884	1
7850000	7900000	1	0.069411	1
7900000	7950000	1	0.059855	1
7950000	8000000	1	-0.025360	1
8000000	8050000	1	0.053227	1
8050000	8100000	1	0.035512	1
8100000	8150000	1	0.152096	1
8150000	8200000	1	0.103393	1
8200000	8250000	1	0.008403	1
8250000	8300000	1	0.015197	1
8300000	8350000	1	0.042719	1
8350000	8400000	1	0.081757	1
8400000	8450000	1	0.010937	1
8450000	8500000	1	0.018691	1
8500000	8550000	1	0.089295	1
8550000	8600000	1	0.060467	1
8600000	8650000	1	0.093778	1
8650000	8700000	1	0.148673	1
8700000	8750000	1	0.150932	1
8750000	8800000	1	0.082101	1
8800000	8850000	1	0.002624	1
8850000	8900000	1	0.061299	1
8900000	8950000	1	0.045431	1
8950000	9000000	1	0.045370	1
9000000	9050000	1	0.025249	1
9050000	9100000	1	0.120772	1
9100000	9150000	1	0.080374	1
9150000	9200000	1	0.046216	1
9200000	9250000	1	0.072533	1
9250000	9300000	1	0.077978	1
9300000	9350000	1	0.063340	1
9350000	9400000	1	0.231308	1
9400000	9450000	1	0.135571	1
9450000	9500000	1	0.283618	1
9500000	9550000	1	0.137543	1
9550000	9600000	1	0.113349	1
9600000	9650000	1	0.055640	1
9650000	9700000	1	0.056195	1
9700000	9750000	1	0.057751	1
9750000	9800000	1	0.061515	1
9800000	9850000	1	0.113121	1
9850000	9900000	1	0.049857	1
9900000	9950000	1	0.025468	1
9950000	10000000	1	0.032179	1
10000000	10050000	1	-0.007029	1
10050000	10100000	1	0.008354	1
10100000	10150000	1	0.011922	1
10150000	10200000	1	0.014602	1
10200000	10250000	1	0.177844	1
10250000	10300000	1	0.097933	1
10300000	10350000	1	0.189341	1
10350000	10400000	1	0.185070	1
10400000	10450000	1	0.185310	1
10450000	10500000	1	0.262469	1
10500000	10550000	1	0.221664	1
10550000	10600000	1	0.221973	1
10600000	10650000	1	0.141146	1
10650000	10700000	1	0.091346	1
10700000	10750000	1	0.558206	1
10750000	10800000	1	0.650892	1
10800000	10850000	1	0.278834	1
10850000	10900000	1	0.152214	1
10900000	10950000	1	0.122839	1
10950000	11000000	1	0.147207	1
11000000	11050000	1	0.159902	1
11050000	11100000	1	0.115951	1
11100000	11150000	1	0.197631	1
11150000	11200000	1	0.257028	1
11200000	11250000	1	0.281405	1
11250000	11300000	1	0.243905	1
11300000	11350000	1	0.207239	1
11350000	11400000	1	0.309359	1
11400000	11450000	1	0.235600	1
11450000	11500000	1	0.409859	1
11500000	11550000	1	0.295674	1
11550000	11600000	1	0.220707	1
11600000	11650000	1	0.320041	1
11650000	11700000	1	0.170513	1
11700000	11750000	1	0.146332	1
11750000	11800000	1	0.095117	1
11800000	11850000	1	0.107048	1
11850000	11900000	1	0.143181	1
11900000	11950000	1	0.209819	1
11950000	12000000	1	0.138851	1
12000000	12050000	1	0.053745	1
12050000	12100000	1	0.142927	1
12100000	12150000	1	0.020717	1
12150000	12200000	1	0.087174	1
12200000	12250000	1	0.063053	1
12250000	12300000	1	0.021874	1
12300000	12350000	1	0.084968	1
12350000	12400000	1	-0.006752	1
12400000	12450000	1	-0.022049	1
12450000	12500000	1	0.068346	1
12500000	12550000	1	0.058025	1
12550000	12600000	1	0.112921	1
12600000	12650000	1	0.071795	1
12650000	12700000	1	0.025852	1
12700000	12750000	1	0.043762	1
12750000	12800000	1	0.035933	1
12800000	12850000	1	-0.020551	1
12850000	12900000	1	0.006704	1
12900000	12950000	1	0.007905	1
12950000	13000000	1	0.053479	1
13000000	13050000	1	0.041673	1
13050000	13100000	1	0.108114	1
13100000	13150000	1	0.091135	1
13150000	13200000	1	0.015054	1
13200000	13250000	1	-0.022344	1
13250000	13300000	1	0.044267	1
13300000	13350000	1	0.082969	1
13350000	13400000	1	0.074096	1
13400000	13450000	1	-0.000553	1
13450000	13500000	1	0.070824	1
13500000	13550000	1	0.082715	1
13550000	13600000	1	0.111423	1
13600000	13650000	1	0.061453	1
13650000	13700000	1	0.046560	1
13700000	13750000	1	0.064590	1
13750000	13800000	1	0.065316	1
13800000	13850000	1	0.049580	1
13850000	13900000	1	0.173342	1
13900000	13950000	1	0.095189	1
13950000	14000000	1	-0.005488	1
14000000	14050000	1	0.021246	1
14050000	14100000	1	-0.010410	1
14100000	14150000	1	0.013455	1
14150000	14200000	1	0.034103	1
14200000	14250000	1	0.051449	1
14250000	14300000	1	0.016825	1
14300000	14350000	1	0.055057	1
14350000	14400000	1	0.039874	1
14400000	14450000	1	0.031385	1
14450000	14500000	1	0.034379	1
14500000	14550000	1	0.086788	1
14550000	14600000	1	0.061454	1
14600000	14650000	1	0.104129	1
14650000	14700000	1	0.045422	1
14700000	14750000	1	0.069834	1
14750000	14800000	1	0.166008	1
14800000	14850000	1	0.164333	1
14850000	14900000	1	0.172454	1
14900000	14950000	1	0.032406	1
14950000	15000000	1	0.034062	1
15000000	15050000	1	0.066381	1
15050000	15100000	1	-0.016792	1
15100000	15150000	1	0.037506	1
15150000	15200000	1	-0.019276	1
15200000	15250000	1	0.017714	1
15250000	15300000	1	0.006484	1
15300000	15350000	1	0.022867	1
15350000	15400000	1	-0.012830	1
15400000	15450000	1	0.040681	1
15450000	15500000	1	0.115129	1
15500000	15550000	1	0.135338	1
15550000	15600000	1	0.129863	1
15600000	15650000	1	0.063270	1
15650000	15700000	1	0.043914	1
15700000	15750000	1	0.012888	1
15750000	15800000	1	-0.002655	1
15800000	15850000	1	0.032835	1
15850000	15900000	1	0.001168	1
15900000	15950000	1	0.014365	1
15950000	16000000	1	0.043563	1
