scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1,50000,24709,1196,471,11.4491,12.738,-0.0533,-0.0245,-0.0133
Z,50001,100000,75657,1081,387,14.8386,5.53,0.457,0.187,0.1127
Z,100001,150000,123795,964,421,19.3222,7.3266,0.4501,0.2752,0.1493
Z,150001,200000,173837,827,295,7.0812,8.9492,-0.1165,-0.0624,-0.0285
Z,200001,250000,225710,650,225,4.191,5.936,-0.1723,-0.2833,-0.0375
Z,250001,300000,276060,1103,329,6.3421,6.5927,-0.0194,-0.0111,-0.0066
Z,300001,350000,326696,1218,544,7.0201,11.7993,-0.2539,-0.0883,-0.0319
Z,350001,400000,372636,952,312,15.035,14.6808,0.0119,0.0103,0.0033
Z,400001,450000,428691,786,285,11.9263,6.0165,0.3294,0.1917,0.1001
Z,450001,500000,473098,927,345,5.2752,6.8562,-0.1303,-0.0447,-0.0172
Z,500001,550000,525799,790,313,4.5085,3.9145,0.0705,0.0124,0.0088
Z,550001,600000,576801,809,302,2.35,7.9406,-0.5433,-1.0211,-0.1053
Z,600001,650000,626211,1095,393,17.5605,11.7163,0.1996,0.1165,0.0596
Z,650001,700000,674845,1038,362,15.5175,7.5354,0.3463,0.1698,0.0931
Z,700001,750000,725126,966,315,18.8945,4.7838,0.5959,0.2741,0.172
Z,750001,800000,773982,1045,446,16.8261,8.4809,0.3298,0.1052,0.0781
Z,800001,850000,825831,956,348,8.7698,7.1368,0.1027,0.0462,0.026
Z,850001,900000,875859,930,337,11.2203,11.1401,0.0036,0.0019,0.001
Z,900001,950000,923706,928,313,9.0272,12.9865,-0.1799,-0.1506,-0.0559
Z,950001,1000000,974948,960,372,7.068,8.5525,-0.095,-0.0505,-0.0257
Z,1000001,1050000,1026463,1134,486,15.6197,9.3916,0.249,0.0935,0.0656
Z,1050001,1100000,1075025,958,441,11.3093,10.4885,0.0377,0.0115,0.0083
Z,1100001,1150000,1127010,925,416,22.9097,14.2543,0.2329,0.1063,0.0698
Z,1150001,1200000,1175318,963,316,4.3933,8.6287,-0.3252,-0.146,-0.0863
Z,1200001,1250000,1225110,901,324,9.1921,10.5137,-0.0671,-0.0341,-0.0188
Z,1250001,1300000,1275668,905,365,18.3897,12.455,0.1924,0.1152,0.0645
Z,1300001,1350000,1326400,1048,409,9.0444,11.3631,-0.1136,-0.0396,-0.0242
Z,1350001,1400000,1375478,1009,380,14.582,14.4339,0.0051,0.0027,0.0015
Z,1400001,1450000,1424825,1040,381,31.1446,8.7271,0.5622,0.2701,0.1862
Z,1450001,1500000,1474912,957,366,14.2979,14.3076,-0.0003,-0.0002,-0.0001
Z,1500001,1550000,1523723,765,242,3.356,3.2865,0.0105,0.0016,0.0013
Z,1550001,1600000,1575477,854,329,16.4376,9.1236,0.2861,0.1452,0.0927
Z,1600001,1650000,1624904,825,329,25.5968,2.1149,0.8474,0.2943,0.2687
Z,1650001,1700000,1674908,850,312,12.8252,8.0156,0.2308,0.1067,0.049
Z,1700001,1750000,1725191,798,337,11.3399,4.5577,0.4266,0.1034,0.0718
Z,1750001,1800000,1775999,1000,346,11.421,7.2883,0.2209,0.0575,0.0442
Z,1800001,1850000,1824388,873,313,12.1573,4.9093,0.4247,0.1074,0.0793
Z,1850001,1900000,1876144,1004,362,25.6505,4.39,0.7077,0.2416,0.2137
Z,1900001,1950000,1923310,921,317,10.6461,19.1983,-0.2866,-0.2779,-0.1017
Z,1950001,2000000,1973974,860,250,18.3595,11.7206,0.2207,0.128,0.0774
Z,2000001,2050000,2024920,849,285,16.6413,3.3913,0.6614,0.4318,0.2642
Z,2050001,2100000,2074253,911,350,15.9284,10.5437,0.2034,0.1112,0.0652
Z,2100001,2150000,2125188,847,351,11.4741,13.977,-0.0983,-0.0643,-0.0279
Z,2150001,2200000,2174343,1157,425,12.3585,13.3381,-0.0381,-0.0213,-0.0087
Z,2200001,2250000,2225333,1091,406,22.8302,11.0303,0.3485,0.2263,0.1123
Z,2250001,2300000,2275445,1093,425,15.065,12.5306,0.0918,0.0482,0.0242
Z,2300001,2350000,2322495,784,244,11.0184,2.5744,0.6212,0.2374,0.154
Z,2350001,2400000,2375447,867,333,25.0754,3.1696,0.7756,0.3977,0.2883
Z,2400001,2450000,2423745,724,268,18.4638,4.3893,0.6159,0.428,0.2396
Z,2450001,2500000,2475465,820,263,6.4151,9.1186,-0.174,-0.14,-0.0523
Z,2500001,2550000,2525755,684,208,3.8724,4.56,-0.0816,-0.0357,-0.0219
Z,2550001,2600000,2574794,716,264,17.1826,3.6495,0.6496,0.3922,0.2838
Z,2600001,2650000,2622221,635,232,9.0838,4.8781,0.3012,0.244,0.1166
Z,2650001,2700000,2674881,543,204,6.4418,2.3516,0.4651,0.1792,0.1273
Z,2700001,2750000,2724849,617,231,9.7201,3.9006,0.4273,0.3614,0.1197
Z,2750001,2800000,2775175,651,226,9.0756,8.9544,0.0067,0.0039,0.0024
Z,2800001,2850000,2825589,621,203,5.0378,11.0675,-0.3744,-0.3283,-0.2167
Z,2850001,2900000,2876586,738,195,10.2627,7.6778,0.1441,0.1429,0.0688
Z,2900001,2950000,2925927,962,295,6.5117,4.7614,0.1553,0.0757,0.0281
Z,2950001,3000000,2973787,779,203,3.8714,4.4653,-0.0712,-0.0237,-0.0109
Z,3000001,3050000,3024901,735,274,14.7148,2.7269,0.6873,0.3201,0.1717
Z,3050001,3100000,3076586,752,260,11.1693,12.2815,-0.0474,-0.057,-0.0205
Z,3100001,3150000,3124321,581,262,7.9663,4.247,0.3045,0.3275,0.0846
Z,3150001,3200000,3171890,569,229,7.0673,3.3229,0.3604,0.5482,0.1689
Z,3200001,3250000,3225054,566,167,10.816,5.362,0.3371,0.8356,0.2032
Z,3250001,3300000,3273629,607,208,12.7546,4.931,0.4424,0.4367,0.201
Z,3300001,3350000,3327637,648,325,8.1113,3.1462,0.441,0.3713,0.2252
Z,3350001,3400000,3372437,584,303,12.7952,6.8221,0.3045,0.3185,0.1349
Z,3400001,3450000,3424772,577,241,4.0141,3.9407,0.0092,0.0051,0.0027
Z,3450001,3500000,3474828,656,304,10.1386,19.4371,-0.3144,-0.518,-0.1098
Z,3500001,3550000,3525140,726,310,11.9908,11.3885,0.0258,0.0449,0.0121
Z,3550001,3600000,3574743,602,265,11.9528,5.4439,0.3741,0.3784,0.1177
Z,3600001,3650000,3624683,594,242,3.3622,2.2968,0.1883,0.157,0.0268
Z,3650001,3700000,3675962,543,240,18.6946,1.8691,0.8182,0.6797,0.4679
Z,3700001,3750000,3725262,661,242,15.4606,3.5917,0.623,0.7781,0.3786
Z,3750001,3800000,3772933,791,265,23.9243,4.7565,0.6683,0.6833,0.3838
Z,3800001,3850000,3826716,802,337,27.1099,7.6395,0.5603,0.8017,0.2181
Z,3850001,3900000,3874214,665,240,16.7272,2.7026,0.7218,0.6181,0.3076
Z,3900001,3950000,3923410,621,186,13.1678,0.8395,0.8801,0.4351,0.2507
Z,3950001,4000000,3977324,607,270,8.0131,17.0205,-0.3598,-0.5346,-0.1589
Z,4000001,4050000,4022605,793,305,6.1063,2.0232,0.5023,0.297,0.1535
Z,4050001,4100000,4072379,604,286,4.2832,5.4647,-0.1212,-0.0734,-0.0309
Z,4100001,4150000,4123829,536,233,3.0261,1.401,0.3671,0.0856,0.0401
Z,4150001,4200000,4174439,475,176,3.4901,2.2529,0.2154,0.0872,0.0313
Z,4200001,4250000,4225153,519,196,19.163,2.7633,0.7479,0.4803,0.3667
Z,4250001,4300000,4273021,580,236,1.6941,13.6752,-0.7795,-0.5327,-0.2489
Z,4300001,4350000,4323943,452,172,2.0288,2.0323,-0.0009,-0.0003,-0.0002
Z,4350001,4400000,4376270,474,139,1.7631,8.904,-0.6694,-2.3287,-0.419
Z,4400001,4450000,4422323,482,170,0.6279,1.8938,-0.502,-0.6404,-0.0947
Z,4450001,4500000,4477378,350,108,0.3166,1.2235,-0.5889,-0.1437,-0.0767
Z,4500001,4550000,4527018,430,200,3.5056,3.0121,0.0757,0.0321,0.0146
Z,4550001,4600000,4576781,513,176,6.3543,1.0712,0.7115,0.3686,0.2358
Z,4600001,4650000,4624943,524,159,1.2969,0.1989,0.7341,0.1774,0.1139
Z,4650001,4700000,4673376,544,159,0.4095,0.7929,-0.3188,-0.1579,-0.0376
Z,4700001,4750000,4725266,419,93,0.5425,0.3085,0.2749,0.0839,0.0434
Z,4750001,4800000,4775153,402,117,0.311,0.5163,-0.2481,-0.077,-0.0289
Z,4800001,4850000,4825677,430,137,0.3944,0.3476,0.063,0.0099,0.005
Z,4850001,4900000,4874219,503,79,0.2897,0.1034,0.4739,0.1698,0.0968
Z,4900001,4950000,4926060,398,120,1.5417,3.0355,-0.3264,-0.5636,-0.0437
Z,4950001,5000000,4975125,388,128,3.1535,1.3895,0.3883,0.2477,0.0708
Z,5000001,5050000,5027455,420,112,1.2508,4.6701,-0.5775,-7.0447,-0.1157
Z,5050001,5100000,5075484,402,73,0.1294,0.8778,-0.7431,3.8997,-0.059
