scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,50000,29265,1696,696,10.9173,8.958,0.0986,0.0596,0.0437
1,50001,100000,73938,562,236,11.8156,5.0551,0.4007,0.519,0.4297
1,100001,150000,126882,1183,425,8.9714,7.9394,0.061,0.0395,0.0303
1,150001,200000,182786,798,247,4.5054,4.0347,0.0551,0.0309,0.0223
1,200001,250000,224197,1602,342,3.1002,4.6036,-0.1951,-0.0596,-0.0437
1,250001,300000,273709,924,220,3.8607,3.2076,0.0924,0.0617,0.0394
1,300001,350000,325002,1568,396,11.4133,5.6494,0.3378,0.154,0.1131
1,350001,400000,374662,1791,522,6.084,7.1558,-0.081,-0.0275,-0.0188
1,400001,450000,424343,1807,665,17.3164,7.7571,0.3813,0.0726,0.0652
1,450001,500000,475851,1710,658,16.858,10.7916,0.2194,0.0316,0.0287
1,500001,550000,525905,1892,603,30.2782,7.9765,0.583,0.1245,0.1162
1,550001,600000,575316,1632,471,22.7151,7.2383,0.5167,0.178,0.1546
1,600001,650000,626653,1487,385,25.1785,4.344,0.7057,0.3613,0.3083
1,650001,700000,673707,1514,560,26.5071,8.1534,0.5295,0.228,0.1716
1,700001,750000,726952,1229,436,16.2187,6.1562,0.4497,0.1984,0.1649
1,750001,800000,773975,1152,520,9.0727,16.2204,-0.2826,-0.1435,-0.0993
1,800001,850000,820599,1098,373,8.6361,9.473,-0.0462,-0.0262,-0.0188
1,850001,900000,867266,1034,456,11.93,6.1353,0.3208,0.2901,0.157
1,900001,950000,921773,950,349,7.3971,5.6671,0.1324,0.0678,0.0485
1,950001,1000000,975758,364,195,2.2649,6.9288,-0.5073,-0.7761,-0.3198
1,1000001,1050000,1028253,1498,643,15.6226,14.57,0.0349,0.0266,0.017
1,1050001,1100000,1076990,1663,656,15.4532,8.9312,0.2675,0.1061,0.0839
1,1100001,1150000,1125943,1496,596,18.2302,8.813,0.3482,0.1442,0.1183
1,1150001,1200000,1174260,1448,571,11.7923,5.9404,0.33,0.1905,0.1515
1,1200001,1250000,1225167,1520,623,26.4234,15.4505,0.262,0.1605,0.1262
1,1250001,1300000,1273485,1607,659,15.6713,10.663,0.1902,0.1129,0.0866
1,1300001,1350000,1324786,1529,598,11.2765,8.2277,0.1563,0.0684,0.0564
1,1350001,1400000,1374795,1508,498,26.0469,8.9273,0.4895,0.3553,0.2777
1,1400001,1450000,1424976,1168,319,4.83,8.16,-0.2564,-0.1198,-0.0865
1,1450001,1500000,1475629,1287,433,8.722,7.2819,0.09,0.0294,0.0234
1,1500001,1550000,1524295,1482,605,15.1236,15.7244,-0.0195,-0.0077,-0.0061
1,1550001,1600000,1574458,1496,689,19.1431,13.1218,0.1866,0.0799,0.0654
1,1600001,1650000,1622780,1303,527,14.2575,12.7001,0.0578,0.0341,0.0243
1,1650001,1700000,1675180,1381,474,17.3897,10.2571,0.258,0.1319,0.106
1,1700001,1750000,1724284,1205,389,12.4014,9.106,0.1532,0.0825,0.0618
1,1750001,1800000,1773922,1375,484,10.7574,5.6972,0.3075,0.1703,0.1356
1,1800001,1850000,1826895,1421,446,13.3381,5.6434,0.4054,0.3069,0.2159
1,1850001,1900000,1875551,1375,417,10.3168,11.2749,-0.0444,-0.0415,-0.0255
1,1900001,1950000,1925952,1425,511,8.6795,10.0536,-0.0734,-0.1115,-0.0432
1,1950001,2000000,1973932,1355,476,9.9716,8.9864,0.052,0.0361,0.0259
1,2000001,2050000,2025208,1152,365,10.8204,4.6391,0.3998,0.222,0.1662
1,2050001,2100000,2074296,1217,402,14.8706,8.0253,0.299,0.2972,0.2493
1,2100001,2150000,2124764,1216,436,10.5063,20.1153,-0.3138,-0.7196,-0.2906
1,2150001,2200000,2174937,1200,418,8.3214,6.1642,0.1489,0.1372,0.0856
1,2200001,2250000,2224917,1338,518,7.6574,11.3858,-0.1958,-0.1436,-0.0979
1,2250001,2300000,2274270,1486,588,14.1425,17.2065,-0.0977,-0.0928,-0.0616
1,2300001,2350000,2336678,767,254,6.56,6.4253,0.0104,0.0123,0.006
1,2350001,2400000,2374848,1310,577,16.7841,8.5333,0.3259,0.2861,0.2093
1,2400001,2450000,2425285,1242,474,11.654,8.4368,0.1601,0.1442,0.0924
1,2450001,2500000,2475335,1250,437,11.2434,9.6464,0.0764,0.0633,0.043
1,2500001,2550000,2522450,1071,366,8.7673,4.3091,0.3409,0.1688,0.1414
1,2550001,2600000,2574315,997,312,7.5482,9.3638,-0.1074,-0.1078,-0.0695
1,2600001,2650000,2624786,1189,441,9.6272,15.9029,-0.2458,-0.2654,-0.155
1,2650001,2700000,2673395,1159,402,15.9745,12.3308,0.1287,0.1236,0.0821
1,2700001,2750000,2724418,1141,401,10.3945,12.9435,-0.1092,-0.1896,-0.0733
1,2750001,2800000,2775006,1140,388,8.6583,9.7491,-0.0593,-0.0395,-0.0236
1,2800001,2850000,2825747,1135,422,6.3105,4.4614,0.1717,0.0358,0.0312
1,2850001,2900000,2875981,1106,435,13.4378,4.8907,0.4663,0.2209,0.1801
1,2900001,2950000,2924463,1054,431,9.9515,12.5754,-0.1165,-0.0668,-0.0477
1,2950001,3000000,2975916,1137,467,9.5097,12.8401,-0.149,-0.0893,-0.0619
1,3000001,3050000,3024378,1238,483,7.8502,14.1949,-0.2878,-0.2439,-0.1368
1,3050001,3100000,3075754,1246,463,8.497,8.9301,-0.0249,-0.0133,-0.0093
1,3100001,3150000,3123590,1362,542,11.8154,9.9145,0.0875,0.0415,0.0321
1,3150001,3200000,3174945,1090,476,10.1727,4.8406,0.3552,0.1361,0.0965
1,3200001,3250000,3223953,1214,419,11.6481,5.9074,0.327,0.1067,0.0784
1,3250001,3300000,3276074,1256,449,9.6177,10.5156,-0.0446,-0.0216,-0.0148
1,3300001,3350000,3323227,1154,456,11.2881,2.1846,0.6757,0.2121,0.1828
1,3350001,3400000,3376942,1159,446,13.2985,9.6483,0.1591,0.0721,0.0457
1,3400001,3450000,3424964,1234,430,11.4109,4.5791,0.4273,0.1454,0.1206
1,3450001,3500000,3475976,1212,415,8.6952,13.0004,-0.1984,-0.1493,-0.0845
1,3500001,3550000,3524983,1162,425,7.4834,10.0586,-0.1468,-0.0681,-0.0453
1,3550001,3600000,3576062,1257,497,10.8279,6.2507,0.268,0.0803,0.0681
1,3600001,3650000,3625112,1227,481,11.7937,6.3104,0.3029,0.1352,0.1024
1,3650001,3700000,3674416,1212,411,6.5696,8.2444,-0.1131,-0.0418,-0.0298
1,3700001,3750000,3724579,904,388,5.534,6.4801,-0.0788,-0.0279,-0.0218
1,3750001,3800000,3774881,889,377,7.9507,1.3867,0.703,0.213,0.1744
1,3800001,3850000,3824030,1063,398,18.3299,4.287,0.6209,0.3561,0.3007
1,3850001,3900000,3873724,1046,317,5.0535,9.9702,-0.3273,-0.2656,-0.1546
1,3900001,3950000,3927447,1193,410,12.4193,7.5276,0.2452,0.1694,0.1347
1,3950001,4000000,3974625,1241,422,9.9552,7.2458,0.1575,0.034,0.0282
1,4000001,4050000,4025759,1259,521,8.8484,9.2083,-0.0199,-0.0045,-0.0038
1,4050001,4100000,4073956,1052,332,6.3025,6.238,0.0051,0.0011,0.0009
1,4100001,4150000,4125248,1200,409,4.3827,8.4444,-0.3167,-0.0604,-0.0505
1,4150001,4200000,4174612,1299,475,20.1492,9.9912,0.337,0.1313,0.1028
1,4200001,4250000,4225649,1240,498,11.088,6.9757,0.2277,0.0772,0.0589
1,4250001,4300000,4275155,1242,481,9.4499,13.1013,-0.1619,-0.0492,-0.0384
1,4300001,4350000,4325849,1227,410,14.0247,4.821,0.4884,0.1324,0.1148
1,4350001,4400000,4374355,1330,445,11.6534,5.7119,0.3421,0.0948,0.0738
1,4400001,4450000,4424179,1216,394,6.0872,10.2256,-0.2537,-0.0902,-0.0667
1,4450001,4500000,4475396,1157,419,7.7407,14.8771,-0.3155,-0.0681,-0.0563
1,4500001,4550000,4525345,1181,390,8.184,6.7685,0.0947,0.0226,0.0186
1,4550001,4600000,4575817,1360,540,13.7836,7.1871,0.3146,0.1138,0.0869
1,4600001,4650000,4624011,1361,531,15.6049,9.6432,0.2361,0.0967,0.0765
1,4650001,4700000,4674180,1505,523,5.7404,5.1319,0.056,0.0157,0.0123
1,4700001,4750000,4724855,1170,382,10.9223,6.6892,0.2404,0.0856,0.0679
1,4750001,4800000,4776146,1388,563,20.0535,9.9316,0.3376,0.0694,0.0631
1,4800001,4850000,4824755,1369,475,12.6148,6.0816,0.3494,0.1883,0.1394
1,4850001,4900000,4875547,1176,414,8.5302,10.3535,-0.0966,-0.0375,-0.0297
1,4900001,4950000,4924292,937,399,7.1912,7.2843,-0.0064,-0.0025,-0.0019
1,4950001,5000000,4972486,702,287,6.5469,4.1844,0.2202,0.0828,0.063
1,5000001,5050000,5026384,673,289,8.1263,4.6633,0.2708,0.0714,0.0626
1,5050001,5100000,5074369,779,262,1.7459,4.6638,-0.4552,-0.1845,-0.1196
1,5100001,5150000,5124601,863,356,1.4665,4.3683,-0.4973,-0.231,-0.1331
1,5150001,5200000,5175243,805,369,15.482,4.5577,0.5451,0.217,0.1898
1,5200001,5250000,5223725,837,362,11.138,4.0387,0.4678,0.1465,0.1253
1,5250001,5300000,5275764,988,360,7.7895,5.5684,0.1663,0.0456,0.0362
1,5300001,5350000,5326199,835,240,10.7156,5.5015,0.3215,0.2411,0.1825
1,5350001,5400000,5372582,686,220,13.0257,7.3496,0.2786,0.2655,0.2013
1,5400001,5450000,5424342,616,224,5.3647,5.0066,0.0345,0.0357,0.024
1,5450001,5500000,5476425,683,280,3.4455,5.1509,-0.1984,-0.0657,-0.0552
1,5500001,5550000,5523771,726,312,5.01,8.7092,-0.2696,-0.1261,-0.0965
1,5550001,5600000,5575774,770,313,1.9342,3.2546,-0.2545,-0.0271,-0.0248
1,5600001,5650000,5623220,819,369,2.9072,4.9767,-0.2625,-0.0638,-0.0512
1,5650001,5700000,5674960,719,301,3.3735,1.6002,0.3565,0.0647,0.0573
1,5700001,5750000,5726162,774,366,4.7535,4.3671,0.0424,0.0134,0.0111
1,5750001,5800000,5773538,735,327,5.5006,2.3603,0.3995,0.1015,0.0857
1,5800001,5850000,5823631,713,261,2.0789,5.0033,-0.4129,-0.4473,-0.2484
1,5850001,5900000,5875466,768,324,1.8241,10.5595,-0.7054,-1.0945,-0.3984
1,5900001,5950000,5924383,764,314,3.2159,4.1286,-0.1243,-0.0225,-0.0195
1,5950001,6000000,5974895,765,324,15.0191,4.9913,0.5011,0.1606,0.1438
1,6000001,6050000,6025671,766,336,2.2037,1.9599,0.0586,0.0103,0.0088
1,6050001,6100000,6075363,716,303,3.4045,3.5134,-0.0157,-0.0045,-0.0036
1,6100001,6150000,6124826,771,337,7.0564,2.3787,0.4958,0.0961,0.0905
1,6150001,6200000,6175165,647,210,2.577,10.0916,-0.5932,-0.6325,-0.2867
1,6200001,6250000,6225484,757,296,7.5963,5.8088,0.1333,0.084,0.0638
1,6250001,6300000,6275326,787,226,3.6986,6.9332,-0.3042,-0.0963,-0.0759
1,6300001,6350000,6324439,874,270,2.945,5.1857,-0.2756,-0.0574,-0.0466
1,6350001,6400000,6375828,939,274,3.8912,2.6312,0.1932,0.0506,0.0415
1,6400001,6450000,6423676,941,331,4.0108,4.4961,-0.0571,-0.0252,-0.0168
1,6450001,6500000,6476266,767,275,6.6235,4.1305,0.2318,0.2882,0.1236
1,6500001,6550000,6528532,819,323,13.5103,4.6355,0.4891,0.4085,0.3021
1,6550001,6600000,6576128,905,357,5.9115,7.5114,-0.1192,-0.0904,-0.0479
1,6600001,6650000,6624322,1169,493,1.9443,9.2067,-0.6513,-3.5251,-0.305
1,6650001,6700000,6675341,1243,469,12.3942,8.4172,0.1911,0.1374,0.0765
1,6700001,6750000,6725452,1406,542,7.8999,4.6945,0.2545,0.0847,0.0659
1,6750001,6800000,6773913,1382,485,9.9683,12.4495,-0.1107,-0.0486,-0.0372
1,6800001,6850000,6824804,1242,486,14.1135,15.6294,-0.051,-0.0252,-0.0202
1,6850001,6900000,6874779,1476,591,5.4587,10.9406,-0.3343,-0.0357,-0.0323
1,6900001,6950000,6922893,1499,605,3.1379,8.0563,-0.4394,-0.0394,-0.0349
1,6950001,7000000,6974417,1111,380,3.0162,8.3129,-0.4675,-0.2756,-0.1477
1,7000001,7050000,7025014,1076,290,5.2973,6.643,-0.1127,-0.0447,-0.034
1,7050001,7100000,7074824,1072,384,13.1236,9.8677,0.1416,0.0684,0.0529
1,7100001,7150000,7124622,1136,440,12.7847,18.9864,-0.1952,-0.1295,-0.087
1,7150001,7200000,7175155,1153,456,13.0218,22.0347,-0.2571,-0.154,-0.0975
1,7200001,7250000,7224792,1198,390,21.4429,11.7858,0.2906,0.1234,0.1021
1,7250001,7300000,7274821,1240,407,14.3408,19.3705,-0.1492,-0.0984,-0.0646
1,7300001,7350000,7323522,1200,390,14.3819,7.295,0.3269,0.1041,0.0886
1,7350001,7400000,7376412,1216,423,10.6021,13.9592,-0.1367,-0.061,-0.045
1,7400001,7450000,7424614,1247,443,12.4266,10.241,0.0964,0.0357,0.0281
1,7450001,7500000,7475507,1178,345,14.4084,8.964,0.2329,0.0928,0.075
1,7500001,7550000,7525058,1257,456,7.304,10.1111,-0.1612,-0.0746,-0.0539
1,7550001,7600000,7575762,1110,445,13.6204,11.6702,0.0771,0.0306,0.0225
1,7600001,7650000,7625387,1258,431,1.2071,9.2889,-0.77,-0.7567,-0.2758
1,7650001,7700000,7674842,1408,512,5.999,10.5865,-0.2766,-0.1583,-0.0919
1,7700001,7750000,7725403,1202,433,10.3651,8.2128,0.1159,0.0435,0.0341
1,7750001,7800000,7775212,1292,472,12.54,14.1753,-0.0612,-0.0429,-0.0267
1,7800001,7850000,7824621,1255,446,6.5913,7.2391,-0.0468,-0.0153,-0.0117
1,7850001,7900000,7874422,1317,465,8.4079,7.2471,0.0741,0.0225,0.0186
1,7900001,7950000,7923868,1371,494,8.6496,6.5577,0.1376,0.0381,0.0306
1,7950001,8000000,7973512,1218,478,6.4605,9.3785,-0.1842,-0.0421,-0.0358
1,8000001,8050000,8024122,1421,503,22.88,4.3621,0.6798,0.2671,0.2474
1,8050001,8100000,8074243,1498,481,4.2643,4.6471,-0.043,-0.0191,-0.0125
1,8100001,8150000,8124944,1320,391,3.3077,5.2633,-0.2282,-0.0569,-0.0434
1,8150001,8200000,8174040,1101,390,8.2548,7.822,0.0269,0.0112,0.0089
1,8200001,8250000,8225785,985,378,5.1359,3.2381,0.2266,0.0447,0.0381
1,8250001,8300000,8275491,1087,495,14.1107,4.9247,0.4826,0.1407,0.1306
1,8300001,8350000,8323812,1044,443,9.3763,7.9759,0.0807,0.0277,0.0232
1,8350001,8400000,8374797,1109,427,3.7546,7.3862,-0.326,-0.0964,-0.0738
1,8400001,8450000,8425239,1074,503,3.9498,7.7344,-0.3239,-0.1057,-0.0778
1,8450001,8500000,8474359,884,441,10.4484,6.4152,0.2392,0.0866,0.0723
1,8500001,8550000,8526465,959,435,6.2357,5.6997,0.0449,0.0181,0.0145
1,8550001,8600000,8575015,799,348,7.0748,2.2543,0.5167,0.135,0.1243
1,8600001,8650000,8626018,755,235,2.1678,2.4794,-0.0671,-0.0287,-0.0209
1,8650001,8700000,8672908,711,369,5.9902,4.1198,0.185,0.0798,0.057
1,8700001,8750000,8726931,940,409,5.8334,3.4897,0.2514,0.0623,0.0531
1,8750001,8800000,8775807,1104,532,4.2134,5.3716,-0.1208,-0.0305,-0.0237
1,8800001,8850000,8823738,1000,412,14.4248,4.5248,0.5224,0.1207,0.1125
1,8850001,8900000,8873494,738,353,2.5165,3.8842,-0.2137,-0.0487,-0.0378
1,8900001,8950000,8924528,852,363,5.8773,6.262,-0.0317,-0.0086,-0.0074
1,8950001,9000000,8973889,737,301,7.2861,4.1142,0.2782,0.0861,0.0735
1,9000001,9050000,9024720,662,277,2.7494,2.8342,-0.0152,-0.0026,-0.0024
1,9050001,9100000,9072160,643,316,1.3656,7.8037,-0.7021,-0.166,-0.1308
1,9100001,9150000,9121961,550,304,1.8418,0.7196,0.4381,0.0203,0.0192
1,9150001,9200000,9175744,573,248,0.7207,0.5216,0.1602,0.0093,0.008
1,9200001,9250000,9223901,677,247,0.1471,0.4659,-0.52,-0.0065,-0.0063
1,9250001,9300000,9274882,616,150,1.1875,0.8952,0.1404,0.0186,0.0151
1,9300001,9350000,9323239,679,236,0.7031,2.7264,-0.59,-1.0594,-0.1698
1,9350001,9400000,9372986,462,175,0.4432,0.5024,-0.0625,-0.0229,-0.0045
1,9400001,9450000,9425771,551,174,0.7283,0.6903,0.0268,0.0399,0.0115
1,9450001,9500000,9475868,559,200,2.101,1.4777,0.1742,0.1435,0.0709
1,9500001,9550000,9531108,741,420,29.8388,6.5694,0.6391,0.4468,0.3663
1,9550001,9600000,9573039,967,446,9.658,2.1629,0.634,0.3609,0.2916
1,9600001,9650000,9624580,652,319,4.9817,2.2361,0.3804,0.0873,0.0781
1,9650001,9700000,9674268,645,378,6.5561,5.2772,0.1081,0.0358,0.0295
1,9700001,9750000,9726448,785,384,7.7104,6.2571,0.104,0.0341,0.0287
1,9750001,9800000,9775719,832,373,3.0383,2.4227,0.1127,0.0201,0.0167
1,9800001,9850000,9824418,892,447,9.6766,4.6466,0.3512,0.1071,0.094
