scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,50000,29265,1696,690,14.8935,6.7244,0.3779,0.2766,0.2166
1,50001,100000,73938,562,238,15.0427,3.1557,0.6532,0.4843,0.4605
1,100001,150000,126882,1183,376,10.1782,6.1854,0.244,0.256,0.192
1,150001,200000,182786,798,312,8.1489,3.9055,0.352,0.4437,0.3076
1,200001,250000,224197,1602,598,15.7861,8.7679,0.2858,0.3683,0.2349
1,250001,300000,273709,924,316,6.8486,4.525,0.2043,0.2873,0.1637
1,300001,350000,325002,1568,398,12.954,5.4992,0.404,0.3632,0.2373
1,350001,400000,374662,1791,511,10.3556,6.9035,0.2,0.1178,0.0764
1,400001,450000,424343,1807,575,13.2617,7.953,0.2502,0.157,0.1105
1,450001,500000,475851,1710,546,12.1648,11.0042,0.0501,0.0404,0.025
1,500001,550000,525905,1892,595,14.1622,6.4488,0.3742,0.2204,0.1762
1,550001,600000,575316,1632,444,18.1578,6.7864,0.4559,0.3503,0.2688
1,600001,650000,626653,1487,397,18.6237,5.6032,0.5374,0.4413,0.3454
1,650001,700000,673707,1514,581,21.1991,7.3415,0.4855,0.34,0.227
1,700001,750000,726952,1229,466,14.9034,5.5334,0.4585,0.3428,0.2577
1,750001,800000,773975,1152,473,13.8691,10.1418,0.1552,0.2378,0.1161
1,800001,850000,820599,1098,383,12.1126,7.4326,0.2394,0.2515,0.1764
1,850001,900000,867266,1034,460,7.9215,7.36,0.0367,0.0196,0.0128
1,900001,950000,921773,950,344,4.7502,6.8376,-0.1801,-0.1682,-0.0862
1,950001,1000000,975758,364,196,6.2991,5.5511,0.0631,0.1287,0.0798
1,1000001,1050000,1028253,1498,572,14.3569,10.9427,0.135,0.0857,0.0654
1,1050001,1100000,1076990,1663,658,13.1483,9.8264,0.1446,0.0977,0.0657
1,1100001,1150000,1125943,1496,592,13.6427,10.4556,0.1323,0.0603,0.0453
1,1150001,1200000,1174260,1448,530,6.6784,5.1525,0.129,0.0565,0.041
1,1200001,1250000,1225167,1520,598,20.3311,16.1827,0.1136,0.0752,0.0546
1,1250001,1300000,1273485,1607,636,18.325,11.6603,0.2223,0.094,0.0711
1,1300001,1350000,1324786,1529,598,16.2107,9.0918,0.2814,0.0999,0.0831
1,1350001,1400000,1374795,1508,495,9.1913,15.2855,-0.249,-0.1726,-0.1067
1,1400001,1450000,1424976,1168,318,4.3912,5.7651,-0.1353,-0.0787,-0.0569
1,1450001,1500000,1475629,1287,440,7.6619,10.1965,-0.1419,-0.062,-0.0466
1,1500001,1550000,1524295,1482,613,9.0384,16.5041,-0.2923,-0.1449,-0.1047
1,1550001,1600000,1574458,1496,681,8.8205,14.5505,-0.2452,-0.0864,-0.0669
1,1600001,1650000,1622780,1303,530,7.0265,16.7222,-0.4083,-0.1581,-0.1055
1,1650001,1700000,1675180,1381,451,6.8676,16.5491,-0.4134,-0.1576,-0.116
1,1700001,1750000,1724284,1205,400,7.3748,8.4242,-0.0664,-0.0159,-0.0131
1,1750001,1800000,1773922,1375,492,5.7545,7.3091,-0.119,-0.0341,-0.0275
1,1800001,1850000,1826895,1421,447,13.1836,6.4523,0.3428,0.1028,0.0816
1,1850001,1900000,1875551,1375,409,17.1286,12.3656,0.1615,0.1051,0.0671
1,1900001,1950000,1925952,1425,511,9.0457,16.4475,-0.2903,-0.2255,-0.0926
1,1950001,2000000,1973932,1355,462,15.9046,3.0291,0.68,0.2782,0.2384
1,2000001,2050000,2025208,1152,368,6.7948,3.9399,0.2659,0.046,0.0407
1,2050001,2100000,2074296,1217,406,15.0804,11.4673,0.1361,0.0666,0.0521
1,2100001,2150000,2124764,1216,444,13.375,18.848,-0.1698,-0.0973,-0.0678
1,2150001,2200000,2174937,1200,411,3.2049,7.7739,-0.4162,-0.1646,-0.1079
1,2200001,2250000,2224917,1338,514,14.0533,9.924,0.1722,0.0499,0.0415
1,2250001,2300000,2274270,1486,601,8.2398,16.6513,-0.3379,-0.1847,-0.1301
1,2300001,2350000,2336678,767,279,6.7093,5.1995,0.1268,0.0448,0.034
1,2350001,2400000,2374848,1310,572,8.9922,10.8803,-0.095,-0.0369,-0.0266
1,2400001,2450000,2425285,1242,457,22.7391,4.5887,0.6642,0.3399,0.2555
1,2450001,2500000,2475335,1250,408,11.9173,8.9569,0.1418,0.0595,0.0439
1,2500001,2550000,2522450,1071,352,3.2712,5.8331,-0.2814,-0.0673,-0.0543
1,2550001,2600000,2574315,997,332,6.5943,10.8071,-0.2421,-0.0885,-0.0687
1,2600001,2650000,2624786,1189,466,9.2062,11.5068,-0.1111,-0.0491,-0.037
1,2650001,2700000,2673395,1159,428,4.9564,15.1446,-0.5068,-0.2072,-0.1471
1,2700001,2750000,2724418,1141,407,9.6771,9.3002,0.0199,0.0085,0.006
1,2750001,2800000,2775006,1140,385,8.6397,8.3121,0.0193,0.0081,0.0056
1,2800001,2850000,2825747,1135,397,3.1219,6.816,-0.3717,-0.1186,-0.0824
1,2850001,2900000,2875981,1106,454,10.8857,6.814,0.23,0.0502,0.0422
1,2900001,2950000,2924463,1054,441,7.023,14.6962,-0.3533,-0.1527,-0.1082
1,2950001,3000000,2975916,1137,481,9.6239,11.8587,-0.104,-0.038,-0.0291
1,3000001,3050000,3024378,1238,468,12.3712,8.9556,0.1602,0.0492,0.0406
1,3050001,3100000,3075754,1246,453,4.3552,9.1839,-0.3566,-0.1297,-0.0937
1,3100001,3150000,3123590,1362,516,21.9606,6.9274,0.5204,0.2296,0.1903
1,3150001,3200000,3174945,1090,474,12.2134,3.9598,0.5103,0.1469,0.1152
1,3200001,3250000,3223953,1214,407,10.5288,5.9794,0.2756,0.0901,0.0647
1,3250001,3300000,3276074,1256,443,7.52,12.5078,-0.249,-0.1211,-0.0755
1,3300001,3350000,3323227,1154,462,7.6197,2.5416,0.4997,0.0843,0.0747
1,3350001,3400000,3376942,1159,426,12.8111,9.7967,0.1333,0.0536,0.0347
1,3400001,3450000,3424964,1234,485,8.2426,8.275,-0.002,-0.0008,-0.0006
1,3450001,3500000,3475976,1212,429,14.5442,12.8919,0.0602,0.0358,0.0234
1,3500001,3550000,3524983,1162,399,10.1756,8.1666,0.1095,0.0403,0.0293
1,3550001,3600000,3576062,1257,435,13.8063,4.9855,0.4694,0.1401,0.1178
1,3600001,3650000,3625112,1227,478,7.4813,7.5561,-0.005,-0.0012,-0.0009
1,3650001,3700000,3674416,1212,396,15.3654,6.6344,0.3969,0.1704,0.1303
1,3700001,3750000,3724579,904,363,9.022,4.8617,0.2997,0.0786,0.067
1,3750001,3800000,3774881,889,364,9.8996,1.2029,0.7833,0.1511,0.1282
1,3800001,3850000,3824030,1063,391,16.9729,3.6189,0.6485,0.2378,0.2067
1,3850001,3900000,3873724,1046,308,10.867,10.7567,0.0051,0.0021,0.0016
1,3900001,3950000,3927447,1193,400,26.8496,9.4023,0.4813,0.3405,0.2254
1,3950001,4000000,3974625,1241,424,25.5592,3.7325,0.7452,0.4518,0.345
1,4000001,4050000,4025759,1259,526,26.2637,5.5897,0.649,0.4091,0.3319
1,4050001,4100000,4073956,1052,342,15.4456,5.7215,0.4594,0.2427,0.1845
1,4100001,4150000,4125248,1200,411,29.9268,5.7254,0.6788,0.348,0.2934
1,4150001,4200000,4174612,1299,503,9.9907,10.4555,-0.0227,-0.0058,-0.0047
1,4200001,4250000,4225649,1240,500,19.6078,7.7378,0.4341,0.173,0.1349
1,4250001,4300000,4275155,1242,484,26.2962,7.5796,0.5525,0.2678,0.2156
1,4300001,4350000,4325849,1227,408,19.7778,3.6296,0.6899,0.4157,0.3361
1,4350001,4400000,4374355,1330,463,8.5383,7.8411,0.0426,0.0127,0.0093
1,4400001,4450000,4424179,1216,404,22.3274,4.7463,0.6494,0.3407,0.281
1,4450001,4500000,4475396,1157,428,48.0241,7.8445,0.7192,0.4229,0.3423
1,4500001,4550000,4525345,1181,391,26.2249,4.1508,0.7267,0.3685,0.3037
1,4550001,4600000,4575817,1360,544,13.5472,7.3646,0.2957,0.1114,0.0824
1,4600001,4650000,4624011,1361,528,30.5125,6.1177,0.666,0.3047,0.26
1,4650001,4700000,4674180,1505,521,18.1152,5.7702,0.5168,0.3272,0.2391
1,4700001,4750000,4724855,1170,371,13.2095,6.4495,0.3439,0.2426,0.1551
1,4750001,4800000,4776146,1388,540,24.9606,6.9549,0.5642,0.3298,0.2658
1,4800001,4850000,4824755,1369,466,23.3039,5.179,0.6363,0.316,0.2598
1,4850001,4900000,4875547,1176,404,11.3689,9.0533,0.1134,0.0593,0.0456
1,4900001,4950000,4924292,937,398,7.9736,7.461,0.0332,0.0097,0.0079
1,4950001,5000000,4972486,702,275,6.7728,3.7679,0.2851,0.0928,0.0749
1,5000001,5050000,5026384,673,281,10.5254,4.1921,0.4303,0.1141,0.1044
1,5050001,5100000,5074369,779,271,2.5671,4.551,-0.2787,-0.0712,-0.055
1,5100001,5150000,5124601,863,356,9.0442,2.679,0.543,0.1599,0.1345
1,5150001,5200000,5175243,805,368,5.2166,7.0261,-0.1478,-0.0872,-0.0588
1,5200001,5250000,5223725,837,362,11.4746,4.0831,0.4751,0.1411,0.1209
1,5250001,5300000,5275764,988,356,7.9795,5.567,0.1781,0.053,0.0415
1,5300001,5350000,5326199,835,236,10.3643,5.3212,0.3215,0.1927,0.1469
1,5350001,5400000,5372582,686,222,12.9738,7.9445,0.2404,0.1702,0.1268
1,5400001,5450000,5424342,616,224,4.9336,4.9737,-0.004,-0.0031,-0.0021
1,5450001,5500000,5476425,683,276,2.8189,5.4657,-0.3195,-0.0896,-0.0725
1,5500001,5550000,5523771,726,313,3.7002,9.4781,-0.4384,-0.1728,-0.13
1,5550001,5600000,5575774,770,301,3.7383,2.7627,0.1501,0.0212,0.0194
1,5600001,5650000,5623220,819,348,9.1863,4.2637,0.366,0.1672,0.1345
1,5650001,5700000,5674960,719,302,3.637,2.3338,0.2183,0.0972,0.0701
1,5700001,5750000,5726162,774,367,7.578,2.728,0.4706,0.1514,0.1348
1,5750001,5800000,5773538,735,319,7.3024,3.6266,0.3363,0.1692,0.1255
1,5800001,5850000,5823631,713,296,7.0189,5.1594,0.1527,0.0914,0.0666
1,5850001,5900000,5875466,768,320,13.2778,6.865,0.3184,0.1802,0.136
1,5900001,5950000,5924383,764,299,8.0374,3.4426,0.4002,0.1789,0.1414
1,5950001,6000000,5974895,765,324,11.2114,3.909,0.483,0.2121,0.1812
1,6000001,6050000,6025671,766,321,4.3417,1.2677,0.548,0.1652,0.1389
