BP	SNP	CHR	P	chr
50000	100000	1	0.138996	1
100000	150000	1	0.014439	1
150000	200000	1	0.063397	1
200000	250000	1	-0.017209	1
250000	300000	1	-0.008911	1
300000	350000	1	-0.033379	1
350000	400000	1	-0.013476	1
400000	450000	1	0.078349	1
450000	500000	1	0.050728	1
500000	550000	1	0.062575	1
550000	600000	1	0.086012	1
600000	650000	1	0.184128	1
650000	700000	1	0.182729	1
700000	750000	1	0.084758	1
750000	800000	1	0.058564	1
800000	850000	1	0.137735	1
850000	900000	1	0.106491	1
900000	950000	1	0.201286	1
950000	1000000	1	0.027365	1
1000000	1050000	1	0.041426	1
1050000	1100000	1	0.038131	1
1100000	1150000	1	0.036126	1
1150000	1200000	1	0.054405	1
1200000	1250000	1	0.022746	1
1250000	1300000	1	0.037243	1
1300000	1350000	1	0.011980	1
1350000	1400000	1	-0.009679	1
1400000	1450000	1	-0.029739	1
1450000	1500000	1	0.027723	1
1500000	1550000	1	0.000643	1
1550000	1600000	1	-0.034698	1
1600000	1650000	1	-0.032731	1
1650000	1700000	1	-0.021611	1
1700000	1750000	1	-0.007143	1
1750000	1800000	1	0.016908	1
1800000	1850000	1	0.021510	1
1850000	1900000	1	-0.003856	1
1900000	1950000	1	0.026922	1
1950000	2000000	1	0.023301	1
2000000	2050000	1	0.079501	1
2050000	2100000	1	0.110978	1
2100000	2150000	1	0.048242	1
2150000	2200000	1	0.039282	1
2200000	2250000	1	0.026529	1
2250000	2300000	1	-0.021994	1
2300000	2350000	1	0.065152	1
2350000	2400000	1	0.054761	1
2400000	2450000	1	0.011745	1
2450000	2500000	1	0.030921	1
2500000	2550000	1	0.050062	1
2550000	2600000	1	0.070969	1
2600000	2650000	1	0.062732	1
2650000	2700000	1	-0.060359	1
2700000	2750000	1	-0.050185	1
2750000	2800000	1	-0.041932	1
2800000	2850000	1	-0.038871	1
2850000	2900000	1	-0.028840	1
2900000	2950000	1	0.045121	1
2950000	3000000	1	0.111478	1
3000000	3050000	1	0.096516	1
3050000	3100000	1	0.057684	1
3100000	3150000	1	0.104546	1
3150000	3200000	1	0.138906	1
3200000	3250000	1	0.177123	1
3250000	3300000	1	0.127097	1
3300000	3350000	1	0.058608	1
3350000	3400000	1	0.055173	1
3400000	3450000	1	0.038606	1
3450000	3500000	1	0.054100	1
3500000	3550000	1	0.092543	1
3550000	3600000	1	0.061768	1
3600000	3650000	1	-0.002434	1
3650000	3700000	1	0.039358	1
3700000	3750000	1	-0.025014	1
3750000	3800000	1	-0.043741	1
3800000	3850000	1	-0.046592	1
3850000	3900000	1	-0.040958	1
3900000	3950000	1	-0.020199	1
3950000	4000000	1	-0.055217	1
4000000	4050000	1	0.017834	1
4050000	4100000	1	0.082582	1
4100000	4150000	1	0.055176	1
4150000	4200000	1	0.107615	1
4200000	4250000	1	0.197600	1
