BP	SNP	CHR	P	chr
20000	30000	1	0.035453	1
30000	40000	1	0.024903	1
40000	50000	1	0.032271	1
50000	60000	1	0.016357	1
60000	70000	1	0.047534	1
70000	80000	1	0.059663	1
80000	90000	1	0.078343	1
90000	100000	1	0.051697	1
100000	110000	1	0.048163	1
110000	120000	1	0.097609	1
120000	130000	1	0.031516	1
130000	140000	1	0.050894	1
140000	150000	1	0.071784	1
160000	170000	1	0.050067	1
170000	180000	1	0.054099	1
180000	190000	1	0.136498	1
190000	200000	1	0.094409	1
200000	210000	1	0.053160	1
210000	220000	1	0.109121	1
220000	230000	1	0.043744	1
230000	240000	1	0.052657	1
240000	250000	1	0.056983	1
250000	260000	1	0.045341	1
260000	270000	1	0.069812	1
280000	290000	1	0.202586	1
290000	300000	1	0.042590	1
300000	310000	1	0.130297	1
310000	320000	1	0.155580	1
320000	330000	1	0.225068	1
330000	340000	1	0.200572	1
340000	350000	1	0.152181	1
350000	360000	1	0.224296	1
360000	370000	1	0.108641	1
370000	380000	1	0.173469	1
380000	390000	1	0.162745	1
390000	400000	1	0.151382	1
400000	410000	1	0.164759	1
410000	420000	1	0.180974	1
420000	430000	1	0.077416	1
430000	440000	1	0.124741	1
440000	450000	1	0.210145	1
450000	460000	1	0.090316	1
460000	470000	1	0.134614	1
470000	480000	1	0.131952	1
480000	490000	1	0.103394	1
490000	500000	1	0.063158	1
500000	510000	1	0.147846	1
510000	520000	1	0.127133	1
520000	530000	1	0.142536	1
530000	540000	1	0.078390	1
540000	550000	1	0.099957	1
550000	560000	1	0.147534	1
560000	570000	1	0.135364	1
570000	580000	1	0.158130	1
580000	590000	1	0.129188	1
590000	600000	1	0.113306	1
600000	610000	1	0.074207	1
610000	620000	1	0.159757	1
620000	630000	1	0.075320	1
630000	640000	1	0.088065	1
640000	650000	1	0.155767	1
650000	660000	1	0.210390	1
660000	670000	1	0.271256	1
670000	680000	1	0.218706	1
680000	690000	1	0.127637	1
690000	700000	1	0.190918	1
700000	710000	1	0.148001	1
710000	720000	1	0.140410	1
720000	730000	1	0.028661	1
730000	740000	1	0.168673	1
740000	750000	1	0.028737	1
750000	760000	1	0.127846	1
760000	770000	1	0.115313	1
770000	780000	1	0.141076	1
790000	800000	1	0.028747	1
800000	810000	1	0.257769	1
810000	820000	1	0.028642	1
830000	840000	1	0.028753	1
840000	850000	1	0.128925	1
850000	860000	1	0.156719	1
870000	880000	1	0.230108	1
880000	890000	1	-0.020147	1
900000	910000	1	0.030420	1
910000	920000	1	0.028609	1
930000	940000	1	0.348041	1
940000	950000	1	0.244550	1
950000	960000	1	0.029504	1
960000	970000	1	0.042619	1
970000	980000	1	0.025284	1
980000	990000	1	0.041726	1
1000000	1010000	1	0.066075	1
1010000	1020000	1	0.063716	1
1020000	1030000	1	0.050369	1
1030000	1040000	1	0.035650	1
1050000	1060000	1	0.071662	1
1060000	1070000	1	0.047970	1
1070000	1080000	1	0.049589	1
1080000	1090000	1	0.153295	1
1090000	1100000	1	0.076486	1
1100000	1110000	1	0.106844	1
1110000	1120000	1	0.078867	1
1120000	1130000	1	0.189371	1
1130000	1140000	1	0.078798	1
1140000	1150000	1	0.077151	1
1150000	1160000	1	0.080766	1
1160000	1170000	1	0.091224	1
1170000	1180000	1	0.087766	1
