scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,50000,29265,1696,706,8.6248,9.9926,-0.0735,-0.0671,-0.0393
1,50001,100000,73938,562,240,0.9761,7.2087,-0.7615,-0.9687,-0.4013
1,100001,150000,126882,1183,419,5.0819,9.5183,-0.3039,-0.2146,-0.148
1,150001,200000,182786,798,316,3.0665,5.7256,-0.3024,-0.3055,-0.151
1,200001,250000,224197,1602,621,14.3032,9.2423,0.2149,0.1859,0.1201
1,250001,300000,273709,924,303,6.386,4.6899,0.1531,0.206,0.0918
1,300001,350000,325002,1568,421,12.7594,5.7212,0.3808,0.3024,0.1937
1,350001,400000,374662,1791,531,7.5183,7.2587,0.0176,0.0137,0.0075
1,400001,450000,424343,1807,619,12.0922,8.1497,0.1948,0.1289,0.0878
1,450001,500000,475851,1710,574,8.1325,10.5476,-0.1293,-0.1183,-0.0668
1,500001,550000,525905,1892,610,10.1454,8.3503,0.0971,0.0543,0.0434
1,550001,600000,575316,1632,433,11.2328,8.9563,0.1128,0.0977,0.0693
1,600001,650000,626653,1487,400,11.9612,6.2703,0.3122,0.242,0.1857
1,650001,700000,673707,1514,593,16.9275,8.9167,0.31,0.2678,0.1701
1,700001,750000,726952,1229,456,13.4025,7.4008,0.2885,0.1862,0.1379
1,750001,800000,773975,1152,495,8.7705,16.4714,-0.3051,-0.2681,-0.1473
1,800001,850000,820599,1098,375,8.1541,6.8239,0.0888,0.084,0.0515
1,850001,900000,867266,1034,465,9.7261,6.8014,0.177,0.1408,0.0784
1,900001,950000,921773,950,331,3.5253,6.9084,-0.3242,-0.3445,-0.153
1,950001,1000000,975758,364,101,1.0383,4.3468,-0.6144,-1.3762,-0.4315
1,1000001,1050000,1028253,1498,615,13.1159,15.2547,-0.0754,-0.0816,-0.0428
1,1050001,1100000,1076990,1663,695,10.009,10.7478,-0.0356,-0.0237,-0.0153
1,1100001,1150000,1125943,1496,600,16.5937,8.3462,0.3307,0.2008,0.1556
1,1150001,1200000,1174260,1448,564,9.606,5.4464,0.2763,0.1582,0.1168
1,1200001,1250000,1225167,1520,639,17.7653,21.8547,-0.1032,-0.0965,-0.0611
1,1250001,1300000,1273485,1607,667,17.0778,10.4884,0.239,0.1088,0.0837
1,1300001,1350000,1324786,1529,610,14.3122,7.0077,0.3426,0.1221,0.1038
1,1350001,1400000,1374795,1508,517,19.3933,8.9979,0.3662,0.1961,0.161
1,1400001,1450000,1424976,1168,317,6.3296,2.5213,0.4303,0.1967,0.1707
1,1450001,1500000,1475629,1287,445,11.4111,7.5106,0.2061,0.1016,0.0754
1,1500001,1550000,1524295,1482,665,21.6369,13.17,0.2433,0.1454,0.1174
1,1550001,1600000,1574458,1496,698,22.7717,13.5212,0.2549,0.2243,0.1667
1,1600001,1650000,1622780,1303,526,18.6982,10.6195,0.2756,0.2588,0.1621
1,1650001,1700000,1675180,1381,475,17.8405,7.9647,0.3827,0.3884,0.2817
1,1700001,1750000,1724284,1205,403,9.5683,10.1302,-0.0285,-0.0273,-0.0161
1,1750001,1800000,1773922,1375,508,8.8433,6.973,0.1183,0.0739,0.0533
1,1800001,1850000,1826895,1421,463,11.5648,5.6076,0.3469,0.2442,0.1742
1,1850001,1900000,1875551,1375,422,10.0836,8.4589,0.0876,0.0594,0.0467
1,1900001,1950000,1925952,1425,534,7.05,7.5928,-0.0371,-0.0399,-0.0228
1,1950001,2000000,1973932,1355,483,16.3469,4.2101,0.5904,0.3496,0.2897
1,2000001,2050000,2025208,1152,367,8.2963,5.4357,0.2083,0.1721,0.104
1,2050001,2100000,2074296,1217,391,6.7687,10.1306,-0.1989,-0.1587,-0.1004
1,2100001,2150000,2124764,1216,444,16.2775,17.1855,-0.0271,-0.0234,-0.0154
1,2150001,2200000,2174937,1200,415,7.4144,6.3312,0.0788,0.0559,0.0378
1,2200001,2250000,2224917,1338,507,9.4011,11.3633,-0.0945,-0.0589,-0.0428
1,2250001,2300000,2274270,1486,659,11.0315,19.7928,-0.2842,-0.28,-0.1716
1,2300001,2350000,2336678,767,300,5.7604,6.3266,-0.0468,-0.0179,-0.0134
1,2350001,2400000,2374848,1310,563,16.9106,7.4654,0.3875,0.1663,0.1346
1,2400001,2450000,2425285,1242,486,8.6871,9.5625,-0.048,-0.0312,-0.0186
1,2450001,2500000,2475335,1250,437,13.8037,9.724,0.1734,0.0977,0.0704
1,2500001,2550000,2522450,1071,380,9.4708,4.1903,0.3865,0.1301,0.1109
1,2550001,2600000,2574315,997,347,7.5817,11.5931,-0.2092,-0.1713,-0.1093
1,2600001,2650000,2624786,1189,479,9.4903,16.4838,-0.2693,-0.1847,-0.1241
1,2650001,2700000,2673395,1159,442,13.5317,11.2475,0.0922,0.0489,0.0372
1,2700001,2750000,2724418,1141,403,12.2791,10.8697,0.0609,0.0321,0.0218
1,2750001,2800000,2775006,1140,379,10.9235,7.9539,0.1573,0.0692,0.0486
1,2800001,2850000,2825747,1135,415,10.3473,4.0565,0.4367,0.2027,0.1598
1,2850001,2900000,2875981,1106,442,16.4253,5.1708,0.5211,0.2484,0.1966
1,2900001,2950000,2924463,1054,437,9.8357,13.1355,-0.1436,-0.1471,-0.0893
1,2950001,3000000,2975916,1137,465,10.0323,13.1239,-0.1335,-0.1213,-0.0741
1,3000001,3050000,3024378,1238,498,7.7285,14.8313,-0.3148,-0.3791,-0.1815
1,3050001,3100000,3075754,1246,466,11.3984,8.3121,0.1566,0.0928,0.0669
1,3100001,3150000,3123590,1362,546,12.5201,9.7048,0.1267,0.0799,0.0583
1,3150001,3200000,3174945,1090,485,8.7661,4.7974,0.2926,0.1383,0.0918
1,3200001,3250000,3223953,1214,418,11.5123,5.9568,0.318,0.1091,0.0788
1,3250001,3300000,3276074,1256,460,6.6084,14.7089,-0.38,-0.238,-0.1404
1,3300001,3350000,3323227,1154,458,13.2351,1.9279,0.7457,0.3235,0.2714
1,3350001,3400000,3376942,1159,443,15.054,9.7603,0.2133,0.1384,0.0786
1,3400001,3450000,3424964,1234,495,11.7117,6.4987,0.2863,0.0919,0.0758
1,3450001,3500000,3475976,1212,441,16.1369,12.0262,0.146,0.1368,0.0817
1,3500001,3550000,3524983,1162,420,9.0063,9.127,-0.0067,-0.0037,-0.0024
1,3550001,3600000,3576062,1257,467,10.8602,6.1383,0.2778,0.1353,0.1044
1,3600001,3650000,3625112,1227,463,15.9835,6.2576,0.4373,0.2123,0.1599
