scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1,50000,24709,1196,468,13.1409,8.1542,0.2342,0.2612,0.0871
Z,50001,100000,75657,1081,401,9.1271,7.062,0.1276,0.1292,0.0416
Z,100001,150000,123795,964,426,13.9749,8.1111,0.2655,0.2308,0.0957
Z,150001,200000,173837,827,315,10.2103,9.5891,0.0314,0.0542,0.0121
Z,200001,250000,225710,650,232,5.1192,4.8774,0.0242,0.0617,0.0061
Z,250001,300000,276060,1103,346,8.1509,5.8328,0.1658,0.1204,0.0676
Z,300001,350000,326696,1218,555,10.0923,12.4128,-0.1031,-0.1328,-0.0204
Z,350001,400000,372636,952,330,7.5806,9.6304,-0.1191,-0.2571,-0.032
Z,400001,450000,428691,786,296,8.2371,7.3594,0.0563,0.0747,0.0209
Z,450001,500000,473098,927,369,3.3706,8.3358,-0.4241,-2.1825,-0.0775
Z,500001,550000,525799,790,308,10.2403,5.8637,0.2718,0.2629,0.1113
Z,550001,600000,576801,809,337,7.2566,8.9714,-0.1057,-0.2125,-0.0312
Z,600001,650000,626211,1095,395,19.6686,12.8145,0.211,0.2885,0.0923
Z,650001,700000,674845,1038,369,16.8101,8.4146,0.3328,0.2941,0.1194
Z,700001,750000,725126,966,322,21.0099,4.8413,0.6254,0.5333,0.2697
Z,750001,800000,773982,1045,452,19.8034,7.4971,0.4508,0.4742,0.2617
Z,800001,850000,825831,956,398,9.2327,11.3794,-0.1042,-0.1618,-0.0438
Z,850001,900000,875859,930,358,8.991,7.5706,0.0858,0.109,0.0369
Z,900001,950000,923706,928,316,10.8058,9.6147,0.0583,0.0995,0.0269
Z,950001,1000000,974948,960,391,10.6194,6.7552,0.2224,0.2533,0.0952
Z,1000001,1050000,1026463,1134,493,13.7129,9.9587,0.1586,0.1825,0.0912
Z,1050001,1100000,1075025,958,457,13.379,11.2525,0.0863,0.1026,0.044
Z,1100001,1150000,1127010,925,454,21.1525,14.5533,0.1848,0.209,0.0939
Z,1150001,1200000,1175318,963,323,7.4094,8.7588,-0.0835,-0.0724,-0.0351
Z,1200001,1250000,1225110,901,360,7.8254,8.0245,-0.0126,-0.0209,-0.0063
Z,1250001,1300000,1275668,905,402,12.7369,12.5213,0.0085,0.0103,0.0039
Z,1300001,1350000,1326400,1048,455,12.8054,8.908,0.1795,0.1636,0.0712
Z,1350001,1400000,1375478,1009,395,12.0714,13.0324,-0.0383,-0.0559,-0.0175
Z,1400001,1450000,1424825,1040,404,27.264,8.2733,0.5344,0.4777,0.2601
Z,1450001,1500000,1474912,957,422,16.2608,12.4825,0.1315,0.1483,0.0577
Z,1500001,1550000,1523723,765,263,12.8619,1.9289,0.7392,0.3581,0.2829
Z,1550001,1600000,1575477,854,331,12.6024,8.709,0.1827,0.1342,0.0733
Z,1600001,1650000,1624904,825,353,27.3479,2.2581,0.8475,0.599,0.5177
Z,1650001,1700000,1674908,850,319,16.1169,7.8184,0.3467,0.3914,0.1105
Z,1700001,1750000,1725191,798,337,12.505,3.8633,0.528,0.2469,0.1385
Z,1750001,1800000,1775999,1000,337,16.6065,5.2685,0.5183,0.4239,0.2416
Z,1800001,1850000,1824388,873,299,9.9831,4.9351,0.3384,0.2544,0.1331
Z,1850001,1900000,1876144,1004,371,5.5822,6.0639,-0.0414,-0.0234,-0.0151
Z,1900001,1950000,1923310,921,332,5.9597,9.5761,-0.2328,-0.4324,-0.0954
Z,1950001,2000000,1973974,860,275,9.7804,12.9747,-0.1404,-0.1443,-0.059
Z,2000001,2050000,2024920,849,315,6.3252,8.7213,-0.1592,-0.1116,-0.0693
Z,2050001,2100000,2074253,911,373,9.333,9.29,0.0023,0.0017,0.0008
Z,2100001,2150000,2125188,847,348,9.5045,8.8497,0.0357,0.0291,0.0127
Z,2150001,2200000,2174343,1157,458,14.9512,13.3038,0.0583,0.0675,0.0177
Z,2200001,2250000,2225333,1091,453,14.1031,7.0686,0.3323,0.2386,0.1058
Z,2250001,2300000,2275445,1093,425,17.8234,10.2068,0.2717,0.2335,0.0966
Z,2300001,2350000,2322495,784,243,10.8815,1.9918,0.6905,0.3209,0.1991
Z,2350001,2400000,2375447,867,331,29.9398,2.9513,0.8205,0.5051,0.3655
Z,2400001,2450000,2423745,724,264,19.6808,4.3298,0.6393,0.4669,0.2622
Z,2450001,2500000,2475465,820,311,6.9766,8.6946,-0.1096,-0.0947,-0.0358
Z,2500001,2550000,2525755,684,229,6.4177,4.6624,0.1584,0.0999,0.0591
Z,2550001,2600000,2574794,716,261,16.8962,5.942,0.4796,0.4514,0.271
Z,2600001,2650000,2622221,635,232,8.5698,5.187,0.2459,0.1503,0.0796
Z,2650001,2700000,2674881,543,198,9.0958,1.6812,0.688,0.3067,0.2224
Z,2700001,2750000,2724849,617,221,10.2199,4.3431,0.4035,0.1982,0.0926
Z,2750001,2800000,2775175,651,201,10.0605,8.3191,0.0947,0.0531,0.0333
Z,2800001,2850000,2825589,621,178,5.3646,11.3704,-0.3589,-0.2517,-0.1759
Z,2850001,2900000,2876586,738,195,10.0273,8.1459,0.1035,0.0899,0.0445
Z,2900001,2950000,2925927,962,295,7.1203,4.7204,0.2027,0.1061,0.0388
Z,2950001,3000000,2973787,779,203,3.9733,4.3774,-0.0484,-0.0152,-0.0072
Z,3000001,3050000,3024901,735,285,7.0147,3.046,0.3945,0.1634,0.072
Z,3050001,3100000,3076586,752,270,8.3011,10.8818,-0.1345,-0.1627,-0.0538
Z,3100001,3150000,3124321,581,248,6.0746,3.5946,0.2565,0.143,0.0524
Z,3150001,3200000,3171890,569,230,7.5325,3.6636,0.3456,0.1859,0.1039
Z,3200001,3250000,3225054,566,143,10.1552,5.1188,0.3297,0.9629,0.224
Z,3250001,3300000,3273629,607,240,12.3688,5.9353,0.3515,0.4417,0.1632
