scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
1,1,50000,29265,1696,762,10.4549,8.6239,0.096,0.0987,0.0675
1,50001,100000,73938,562,288,9.2828,5.498,0.2561,0.3965,0.3016
1,100001,150000,126882,1183,460,8.5289,8.1912,0.0202,0.0276,0.0191
1,150001,200000,182786,798,333,6.5047,4.5951,0.172,0.2466,0.1414
1,200001,250000,224197,1602,621,13.9092,9.428,0.192,0.2649,0.1405
1,250001,300000,273709,924,321,6.3399,4.5003,0.1697,0.2267,0.1161
1,300001,350000,325002,1568,411,11.7553,6.3667,0.2974,0.274,0.165
1,350001,400000,374662,1791,568,7.7021,6.7772,0.0639,0.05,0.0273
1,400001,450000,424343,1807,821,8.6068,8.7818,-0.0101,-0.0033,-0.0026
1,450001,500000,475851,1710,890,8.5463,11.0026,-0.1257,-0.0422,-0.0327
1,500001,550000,525905,1892,716,12.6901,7.9661,0.2287,0.1212,0.0999
1,550001,600000,575316,1632,515,14.2831,8.2152,0.2697,0.202,0.1486
1,600001,650000,626653,1487,429,9.7515,7.4269,0.1353,0.134,0.0953
1,650001,700000,673707,1514,591,9.7549,9.6865,0.0035,0.0029,0.0017
1,700001,750000,726952,1229,456,8.4091,6.6279,0.1185,0.0635,0.048
1,750001,800000,773975,1152,557,9.1982,15.4094,-0.2524,-0.2677,-0.1384
1,800001,850000,820599,1098,416,8.9777,8.608,0.021,0.0223,0.0141
1,850001,900000,867266,1034,481,11.6332,6.3255,0.2956,0.3337,0.1675
1,900001,950000,921773,950,353,5.5663,5.5965,-0.0027,-0.0026,-0.0014
1,950001,1000000,975758,364,195,2.4415,6.6759,-0.4644,-1.3595,-0.4185
1,1000001,1050000,1028253,1498,678,13.6397,14.6562,-0.0359,-0.0468,-0.0259
1,1050001,1100000,1076990,1663,744,8.6939,10.9344,-0.1141,-0.1108,-0.0622
1,1100001,1150000,1125943,1496,613,11.6736,8.8349,0.1384,0.1322,0.0901
1,1150001,1200000,1174260,1448,578,5.7934,5.3049,0.044,0.0453,0.0281
1,1200001,1250000,1225167,1520,662,18.1271,21.055,-0.0747,-0.1107,-0.0635
1,1250001,1300000,1273485,1607,670,13.5363,12.0262,0.0591,0.0597,0.0345
1,1300001,1350000,1324786,1529,613,10.3686,10.007,0.0178,0.01,0.0077
1,1350001,1400000,1374795,1508,556,19.8464,12.6163,0.2227,0.2697,0.1734
1,1400001,1450000,1424976,1168,361,5.0216,9.5525,-0.3109,-0.2964,-0.1784
1,1450001,1500000,1475629,1287,494,9.9782,8.9875,0.0522,0.0442,0.0301
1,1500001,1550000,1524295,1482,636,16.4761,15.2374,0.0391,0.0402,0.0286
1,1550001,1600000,1574458,1496,702,13.8689,13.3054,0.0207,0.0133,0.0101
1,1600001,1650000,1622780,1303,538,11.6214,12.8058,-0.0485,-0.0442,-0.0269
1,1650001,1700000,1675180,1381,476,13.4192,11.7132,0.0679,0.0818,0.0583
1,1700001,1750000,1724284,1205,413,10.4933,9.1307,0.0694,0.0602,0.0407
1,1750001,1800000,1773922,1375,491,9.5497,6.6771,0.177,0.1226,0.0942
