scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1,50000,24709,1196,467,11.8559,8.7006,0.1535,0.0862,0.0434
Z,50001,100000,75657,1081,399,6.0693,6.6585,-0.0463,-0.0147,-0.0088
Z,100001,150000,123795,964,417,8.6391,8.951,-0.0177,-0.0091,-0.0047
Z,150001,200000,173837,827,289,3.089,8.2171,-0.4536,-0.1919,-0.0836
Z,200001,250000,225710,650,229,4.4493,4.8198,-0.04,-0.029,-0.0075
Z,250001,300000,276060,1103,570,6.6799,5.9753,0.0557,0.0043,0.0039
Z,300001,350000,326696,1218,602,5.3316,9.869,-0.2985,-0.0643,-0.045
Z,350001,400000,372636,952,382,9.3013,7.6917,0.0947,0.0208,0.0135
Z,400001,450000,428691,786,300,5.7864,6.7272,-0.0752,-0.0318,-0.0169
Z,450001,500000,473098,927,336,7.3162,4.2562,0.2644,0.1333,0.051
Z,500001,550000,525799,790,299,5.3781,5.5657,-0.0171,-0.0087,-0.0045
Z,550001,600000,576801,809,359,4.1151,7.7067,-0.3038,-0.1218,-0.052
Z,600001,650000,626211,1095,430,7.5476,8.7168,-0.0719,-0.022,-0.0138
Z,650001,700000,674845,1038,366,10.0389,6.7165,0.1983,0.063,0.0424
Z,700001,750000,725126,966,323,9.3812,8.3246,0.0597,0.0197,0.0121
Z,750001,800000,773982,1045,446,9.4221,10.2049,-0.0399,-0.0156,-0.0104
Z,800001,850000,825831,956,341,10.6721,11.8183,-0.051,-0.027,-0.0146
Z,850001,900000,875859,930,338,7.2712,11.5273,-0.2264,-0.1124,-0.0573
Z,900001,950000,923706,928,325,7.1071,10.6188,-0.1981,-0.091,-0.0469
Z,950001,1000000,974948,960,380,5.8997,10.5484,-0.2826,-0.0955,-0.0599
Z,1000001,1050000,1026463,1134,483,11.8665,8.3418,0.1744,0.0588,0.04
Z,1050001,1100000,1075025,958,425,7.6205,14.6357,-0.3152,-0.1638,-0.0866
Z,1100001,1150000,1127010,925,423,17.407,14.668,0.0854,0.0654,0.0339
Z,1150001,1200000,1175318,963,341,5.3848,8.3215,-0.2143,-0.1145,-0.0672
Z,1200001,1250000,1225110,901,335,7.0156,7.5329,-0.0356,-0.0208,-0.0112
Z,1250001,1300000,1275668,905,351,16.37,9.7404,0.2539,0.1566,0.0981
Z,1300001,1350000,1326400,1048,411,10.438,8.8491,0.0824,0.0411,0.0233
Z,1350001,1400000,1375478,1009,388,6.217,8.1677,-0.1356,-0.0633,-0.0372
Z,1400001,1450000,1424825,1040,389,7.1181,11.4192,-0.232,-0.08,-0.0525
Z,1450001,1500000,1474912,957,375,6.5994,12.8465,-0.3213,-0.1413,-0.0804
Z,1500001,1550000,1523723,765,242,5.9474,2.4216,0.4213,0.0972,0.0846
Z,1550001,1600000,1575477,854,344,8.1563,9.6161,-0.0821,-0.0438,-0.0263
Z,1600001,1650000,1624904,825,334,9.2042,4.335,0.3596,0.1383,0.1159
Z,1650001,1700000,1674908,850,316,2.1665,3.7401,-0.2664,-0.0609,-0.033
Z,1700001,1750000,1725191,798,319,1.9936,4.1965,-0.3559,-0.062,-0.0453
Z,1750001,1800000,1775999,1000,335,4.8879,9.8527,-0.3368,-0.1716,-0.0886
Z,1800001,1850000,1824388,873,296,4.8559,6.5525,-0.1487,-0.0475,-0.0297
Z,1850001,1900000,1876144,1004,354,4.1222,5.4041,-0.1346,-0.0504,-0.0355
Z,1900001,1950000,1923310,921,314,6.2013,6.5974,-0.031,-0.0167,-0.0083
Z,1950001,2000000,1973974,860,252,6.2523,13.7907,-0.3761,-0.2328,-0.1313
Z,2000001,2050000,2024920,849,276,2.2346,8.9303,-0.5997,-0.212,-0.1429
Z,2050001,2100000,2074253,911,351,7.1758,8.9616,-0.1107,-0.0429,-0.0257
Z,2100001,2150000,2125188,847,343,7.905,11.2897,-0.1763,-0.1172,-0.0472
Z,2150001,2200000,2174343,1157,435,6.7945,12.0815,-0.2801,-0.2437,-0.0627
Z,2200001,2250000,2225333,1091,411,4.2214,7.0853,-0.2533,-0.0759,-0.0392
Z,2250001,2300000,2275445,1093,412,9.6187,13.1323,-0.1544,-0.0495,-0.0283
Z,2300001,2350000,2322495,784,239,5.6368,3.3869,0.2493,0.0663,0.0407
Z,2350001,2400000,2375447,867,321,4.0213,5.4023,-0.1465,-0.0376,-0.0229
Z,2400001,2450000,2423745,724,278,9.0849,2.0849,0.6267,0.1213,0.1095
Z,2450001,2500000,2475465,820,243,5.1615,5.0466,0.0113,0.009,0.0039
Z,2500001,2550000,2525755,684,230,2.8571,3.3853,-0.0846,-0.0233,-0.0162
Z,2550001,2600000,2574794,716,259,6.0678,10.6719,-0.275,-0.1817,-0.0965
Z,2600001,2650000,2622221,635,226,3.5678,6.519,-0.2926,-0.2564,-0.0868
Z,2650001,2700000,2674881,543,180,4.6888,2.6727,0.2739,0.0596,0.0473
Z,2700001,2750000,2724849,617,228,5.7321,4.5903,0.1106,0.0335,0.019
Z,2750001,2800000,2775175,651,209,2.9991,8.5786,-0.4819,-0.2342,-0.1369
Z,2800001,2850000,2825589,621,160,0.4444,22.7994,-0.9618,-1.0045,-0.4742
Z,2850001,2900000,2876586,738,217,2.351,16.0247,-0.7441,-0.4598,-0.2217
Z,2900001,2950000,2925927,962,535,5.292,5.1854,0.0102,0.0033,0.0014
Z,2950001,3000000,2973787,779,421,4.0069,3.2999,0.0968,0.0293,0.0138
Z,3000001,3050000,3024901,735,295,1.1053,5.6471,-0.6726,-0.1563,-0.0634
Z,3050001,3100000,3076586,752,310,3.8461,11.7044,-0.5053,-0.4537,-0.1513
Z,3100001,3150000,3124321,581,251,4.2256,4.5225,-0.0339,-0.0138,-0.0059
Z,3150001,3200000,3171890,569,190,5.7697,4.0675,0.173,0.2595,0.076
Z,3200001,3250000,3225054,566,150,3.1619,3.5487,-0.0576,-0.0401,-0.0228
Z,3250001,3300000,3273629,607,204,3.896,3.2209,0.0949,0.0473,0.0273
Z,3300001,3350000,3327637,648,290,4.085,1.9781,0.3475,0.0711,0.0604
Z,3350001,3400000,3372437,584,288,1.8261,6.0292,-0.5351,-0.1333,-0.1016
Z,3400001,3450000,3424772,577,189,3.4792,0.8008,0.6258,0.1633,0.1256
Z,3450001,3500000,3474828,656,297,4.5988,16.9314,-0.5728,-0.7881,-0.1608
Z,3500001,3550000,3525140,726,315,2.6145,13.3573,-0.6726,-1.4431,-0.2322
Z,3550001,3600000,3574743,602,289,10.6241,6.0626,0.2734,0.1581,0.0673
Z,3600001,3650000,3624683,594,255,3.5389,1.6743,0.3577,0.0894,0.0404
