scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1,50000,24709,1196,468,7.0866,8.1542,-0.0701,-0.0276,-0.0215
Z,50001,100000,75657,1081,401,7.8124,7.062,0.0504,0.0212,0.0161
Z,100001,150000,123795,964,426,12.0242,8.1111,0.1943,0.0875,0.0679
Z,150001,200000,173837,827,315,5.0972,9.5891,-0.3059,-0.1315,-0.1002
Z,200001,250000,225710,650,232,9.3175,4.8774,0.3128,0.1207,0.1063
Z,250001,300000,276060,1103,346,4.4718,5.8328,-0.1321,-0.0682,-0.0456
Z,300001,350000,326696,1218,555,9.0743,12.4128,-0.1554,-0.0352,-0.0304
Z,350001,400000,372636,952,330,17.7619,9.6304,0.2969,0.1331,0.1151
Z,400001,450000,428691,786,296,5.1534,7.3594,-0.1763,-0.076,-0.0592
Z,450001,500000,473098,927,369,5.4919,8.3358,-0.2057,-0.0519,-0.0436
Z,500001,550000,525799,790,308,3.0286,5.8637,-0.3188,-0.1406,-0.0921
Z,550001,600000,576801,809,337,3.0741,8.9714,-0.4896,-0.1446,-0.1175
Z,600001,650000,626211,1095,395,12.7065,12.8145,-0.0042,-0.0021,-0.0017
Z,650001,700000,674845,1038,369,6.8948,8.4146,-0.0993,-0.033,-0.0257
Z,700001,750000,725126,966,322,5.5882,4.8413,0.0716,0.0205,0.0174
Z,750001,800000,773982,1045,452,9.1838,7.4971,0.1011,0.0652,0.0474
Z,800001,850000,825831,956,398,6.9261,11.3794,-0.2433,-0.1416,-0.1028
Z,850001,900000,875859,930,358,16.0902,7.5706,0.3601,0.2505,0.1953
Z,900001,950000,923706,928,316,10.5887,9.6147,0.0482,0.0281,0.0234
Z,950001,1000000,974948,960,391,9.1885,6.7552,0.1526,0.0773,0.0638
Z,1000001,1050000,1026463,1134,493,14.0229,9.9587,0.1695,0.1538,0.0999
Z,1050001,1100000,1075025,958,457,10.9579,11.2525,-0.0133,-0.0091,-0.0067
Z,1100001,1150000,1127010,925,454,14.4542,14.5533,-0.0034,-0.0022,-0.0016
Z,1150001,1200000,1175318,963,323,4.8102,8.7588,-0.291,-0.2046,-0.11
Z,1200001,1250000,1225110,901,360,10.7546,8.0245,0.1454,0.1199,0.0833
Z,1250001,1300000,1275668,905,402,11.8321,12.5213,-0.0283,-0.0202,-0.0131
Z,1300001,1350000,1326400,1048,455,10.6138,8.908,0.0874,0.0466,0.0334
Z,1350001,1400000,1375478,1009,395,15.0993,13.0324,0.0735,0.056,0.0382
Z,1400001,1450000,1424825,1040,404,8.4721,8.2733,0.0119,0.0052,0.0037
Z,1450001,1500000,1474912,957,422,10.8907,12.4825,-0.0681,-0.0383,-0.027
Z,1500001,1550000,1523723,765,263,3.0362,1.9289,0.223,0.1083,0.0381
Z,1550001,1600000,1575477,854,331,6.4171,8.709,-0.1515,-0.085,-0.0492
Z,1600001,1650000,1624904,825,353,2.5176,2.2581,0.0543,0.017,0.011
Z,1650001,1700000,1674908,850,319,6.7311,7.8184,-0.0747,-0.0211,-0.0171
Z,1700001,1750000,1725191,798,337,4.4921,3.8633,0.0753,0.018,0.0116
Z,1750001,1800000,1775999,1000,337,12.2294,5.2685,0.3978,0.1861,0.1664
Z,1800001,1850000,1824388,873,299,13.4731,4.9351,0.4638,0.2451,0.2083
Z,1850001,1900000,1876144,1004,371,3.2464,6.0639,-0.3026,-0.2831,-0.0947
