BP	SNP	CHR	P	chr
50000	100000	1	0.125588	1
100000	150000	1	0.131798	1
150000	200000	1	0.258198	1
200000	250000	1	0.314119	1
250000	300000	1	0.308570	1
300000	350000	1	0.368797	1
350000	400000	1	0.360277	1
400000	450000	1	0.284749	1
450000	500000	1	0.284939	1
500000	550000	1	0.490913	1
550000	600000	1	0.238502	1
600000	650000	1	0.322730	1
650000	700000	1	0.336673	1
700000	750000	1	0.179071	1
750000	800000	1	0.244035	1
800000	850000	1	0.191914	1
850000	900000	1	0.240145	1
900000	950000	1	0.106286	1
950000	1000000	1	0.220715	1
1000000	1050000	1	0.372441	1
1050000	1100000	1	0.264700	1
1100000	1150000	1	0.314171	1
1150000	1200000	1	0.228302	1
1200000	1250000	1	0.266673	1
1250000	1300000	1	0.321030	1
1300000	1350000	1	0.321267	1
1350000	1400000	1	0.180100	1
1400000	1450000	1	0.303491	1
1450000	1500000	1	0.232139	1
1500000	1550000	1	0.196594	1
1550000	1600000	1	0.230476	1
1600000	1650000	1	0.254587	1
1650000	1700000	1	0.198255	1
1700000	1750000	1	0.234340	1
1750000	1800000	1	0.332833	1
1800000	1850000	1	0.252508	1
1850000	1900000	1	0.221148	1
1900000	1950000	1	0.310119	1
1950000	2000000	1	0.206495	1
2000000	2050000	1	0.264400	1
2050000	2100000	1	0.195726	1
2100000	2150000	1	0.158054	1
2150000	2200000	1	0.226309	1
2200000	2250000	1	0.354664	1
2250000	2300000	1	0.311514	1
2300000	2350000	1	0.256627	1
2350000	2400000	1	0.301942	1
2400000	2450000	1	0.321367	1
2450000	2500000	1	0.263420	1
2500000	2550000	1	0.251118	1
2550000	2600000	1	0.203510	1
2600000	2650000	1	0.284263	1
2650000	2700000	1	0.178870	1
2700000	2750000	1	0.109478	1
2750000	2800000	1	0.292810	1
2800000	2850000	1	0.204642	1
2850000	2900000	1	0.209199	1
2900000	2950000	1	0.142292	1
2950000	3000000	1	0.323997	1
3000000	3050000	1	0.146559	1
3050000	3100000	1	0.224515	1
3100000	3150000	1	0.233537	1
3150000	3200000	1	0.147627	1
3200000	3250000	1	0.150547	1
3250000	3300000	1	0.126157	1
3300000	3350000	1	0.174217	1
3350000	3400000	1	0.246437	1
3400000	3450000	1	0.127413	1
3450000	3500000	1	0.187803	1
3500000	3550000	1	0.189850	1
3550000	3600000	1	0.241833	1
3600000	3650000	1	0.291551	1
3650000	3700000	1	0.315402	1
3700000	3750000	1	0.187842	1
3750000	3800000	1	0.197935	1
3800000	3850000	1	0.201326	1
3850000	3900000	1	0.280716	1
3900000	3950000	1	0.217840	1
3950000	4000000	1	0.141302	1
4000000	4050000	1	0.177054	1
4050000	4100000	1	0.295159	1
4100000	4150000	1	0.175527	1
4150000	4200000	1	0.201045	1
4200000	4250000	1	0.283681	1
4250000	4300000	1	0.238136	1
4300000	4350000	1	0.199411	1
4350000	4400000	1	0.223358	1
4400000	4450000	1	0.192781	1
4450000	4500000	1	0.278538	1
4500000	4550000	1	0.135259	1
4550000	4600000	1	0.181632	1
4600000	4650000	1	0.202441	1
4650000	4700000	1	0.179380	1
4700000	4750000	1	0.143450	1
4750000	4800000	1	0.240820	1
4800000	4850000	1	0.208662	1
4850000	4900000	1	0.163989	1
4900000	4950000	1	0.287025	1
4950000	5000000	1	0.210203	1
5000000	5050000	1	0.225554	1
5050000	5100000	1	0.138680	1
5100000	5150000	1	0.137884	1
5150000	5200000	1	0.107438	1
5200000	5250000	1	0.108870	1
5250000	5300000	1	0.107273	1
5300000	5350000	1	0.121894	1
5350000	5400000	1	0.137167	1
5400000	5450000	1	0.111685	1
5450000	5500000	1	0.176958	1
5500000	5550000	1	0.136645	1
5550000	5600000	1	0.199891	1
5600000	5650000	1	0.303360	1
5650000	5700000	1	0.191946	1
5700000	5750000	1	0.193049	1
5750000	5800000	1	0.279317	1
5800000	5850000	1	0.394261	1
5850000	5900000	1	0.289686	1
5900000	5950000	1	0.299280	1
5950000	6000000	1	0.266802	1
6000000	6050000	1	0.188368	1
6050000	6100000	1	0.211783	1
6100000	6150000	1	0.243298	1
6150000	6200000	1	0.156400	1
6200000	6250000	1	0.238999	1
6250000	6300000	1	0.217865	1
6300000	6350000	1	0.192726	1
6350000	6400000	1	0.338644	1
6400000	6450000	1	0.337689	1
6450000	6500000	1	0.401848	1
6500000	6550000	1	0.183510	1
6550000	6600000	1	0.240595	1
6600000	6650000	1	0.217682	1
6650000	6700000	1	0.270675	1
6700000	6750000	1	0.259166	1
6750000	6800000	1	0.251498	1
6800000	6850000	1	0.267657	1
6850000	6900000	1	0.248321	1
6900000	6950000	1	0.230175	1
6950000	7000000	1	0.305140	1
7000000	7050000	1	0.270611	1
7050000	7100000	1	0.182498	1
7100000	7150000	1	0.255939	1
7150000	7200000	1	0.212856	1
7200000	7250000	1	0.236010	1
7250000	7300000	1	0.262662	1
7300000	7350000	1	0.242299	1
7350000	7400000	1	0.236399	1
7400000	7450000	1	0.261809	1
7450000	7500000	1	0.250931	1
7500000	7550000	1	0.363088	1
7550000	7600000	1	0.309186	1
7600000	7650000	1	0.332243	1
7650000	7700000	1	0.310339	1
7700000	7750000	1	0.264304	1
7750000	7800000	1	0.234765	1
7800000	7850000	1	0.218223	1
7850000	7900000	1	0.219333	1
7900000	7950000	1	0.198254	1
7950000	8000000	1	0.242535	1
8000000	8050000	1	0.302134	1
8050000	8100000	1	0.188479	1
8100000	8150000	1	0.293335	1
8150000	8200000	1	0.250114	1
8200000	8250000	1	0.235580	1
8250000	8300000	1	0.286460	1
8300000	8350000	1	0.213215	1
8350000	8400000	1	0.299625	1
8400000	8450000	1	0.304748	1
8450000	8500000	1	0.281667	1
8500000	8550000	1	0.270068	1
8550000	8600000	1	0.385575	1
8600000	8650000	1	0.404567	1
8650000	8700000	1	0.302272	1
8700000	8750000	1	0.327217	1
8750000	8800000	1	0.288183	1
8800000	8850000	1	0.236987	1
8850000	8900000	1	0.235470	1
8900000	8950000	1	0.184028	1
8950000	9000000	1	0.302937	1
9000000	9050000	1	0.411122	1
9050000	9100000	1	0.306639	1
9100000	9150000	1	0.184427	1
9150000	9200000	1	0.333556	1
9200000	9250000	1	0.228453	1
9250000	9300000	1	0.195016	1
9300000	9350000	1	0.196674	1
9350000	9400000	1	0.178944	1
9400000	9450000	1	0.327959	1
9450000	9500000	1	0.320975	1
9500000	9550000	1	0.376628	1
9550000	9600000	1	0.336304	1
9600000	9650000	1	0.175499	1
9650000	9700000	1	0.279906	1
9700000	9750000	1	0.382081	1
9750000	9800000	1	0.267564	1
9800000	9850000	1	0.360430	1
9850000	9900000	1	0.254150	1
9900000	9950000	1	0.280101	1
9950000	10000000	1	0.217858	1
10000000	10050000	1	0.275044	1
10050000	10100000	1	0.373124	1
10100000	10150000	1	0.446212	1
10150000	10200000	1	0.364815	1
10200000	10250000	1	0.310003	1
10250000	10300000	1	0.219035	1
10300000	10350000	1	0.282764	1
10350000	10400000	1	0.272553	1
10400000	10450000	1	0.257472	1
10450000	10500000	1	0.214712	1
10500000	10550000	1	0.368294	1
10550000	10600000	1	0.464902	1
10600000	10650000	1	0.361204	1
10650000	10700000	1	0.409672	1
10700000	10750000	1	0.490924	1
10750000	10800000	1	0.703454	1
10800000	10850000	1	0.600954	1
10850000	10900000	1	0.506928	1
10900000	10950000	1	0.304225	1
10950000	11000000	1	0.376476	1
11000000	11050000	1	0.495764	1
11050000	11100000	1	0.321904	1
11100000	11150000	1	0.276667	1
11150000	11200000	1	0.418286	1
11200000	11250000	1	0.468924	1
11250000	11300000	1	0.309456	1
11300000	11350000	1	0.291001	1
11350000	11400000	1	0.314065	1
11400000	11450000	1	0.121774	1
11450000	11500000	1	0.278621	1
11500000	11550000	1	0.224144	1
11550000	11600000	1	0.367948	1
11600000	11650000	1	0.366976	1
11650000	11700000	1	0.258955	1
11700000	11750000	1	0.214993	1
11750000	11800000	1	0.173371	1
11800000	11850000	1	0.207423	1
11850000	11900000	1	0.259595	1
11900000	11950000	1	0.221726	1
11950000	12000000	1	0.270139	1
12000000	12050000	1	0.239327	1
12050000	12100000	1	0.185224	1
12100000	12150000	1	0.283214	1
12150000	12200000	1	0.284769	1
12200000	12250000	1	0.252490	1
12250000	12300000	1	0.218472	1
12300000	12350000	1	0.212217	1
12350000	12400000	1	0.236301	1
12400000	12450000	1	0.270349	1
12450000	12500000	1	0.331306	1
12500000	12550000	1	0.173061	1
12550000	12600000	1	0.266029	1
12600000	12650000	1	0.195810	1
12650000	12700000	1	0.170904	1
12700000	12750000	1	0.398652	1
12750000	12800000	1	0.322249	1
12800000	12850000	1	0.381313	1
12850000	12900000	1	0.303056	1
12900000	12950000	1	0.364853	1
12950000	13000000	1	0.239141	1
13000000	13050000	1	0.263944	1
13050000	13100000	1	0.389754	1
13100000	13150000	1	0.397015	1
13150000	13200000	1	0.398263	1
13200000	13250000	1	0.428267	1
13250000	13300000	1	0.472419	1
13300000	13350000	1	0.503231	1
13350000	13400000	1	0.362338	1
13400000	13450000	1	0.437708	1
13450000	13500000	1	0.392842	1
13500000	13550000	1	0.340402	1
13550000	13600000	1	0.329817	1
13600000	13650000	1	0.328262	1
13650000	13700000	1	0.263772	1
13700000	13750000	1	0.262581	1
13750000	13800000	1	0.194893	1
13800000	13850000	1	0.309800	1
13850000	13900000	1	0.395429	1
13900000	13950000	1	0.706371	1
13950000	14000000	1	0.487790	1
14000000	14050000	1	0.342516	1
14050000	14100000	1	0.304094	1
14100000	14150000	1	0.309039	1
14150000	14200000	1	0.337517	1
14200000	14250000	1	0.290834	1
14250000	14300000	1	0.340746	1
14300000	14350000	1	0.463711	1
14350000	14400000	1	0.398364	1
14400000	14450000	1	0.352852	1
14450000	14500000	1	0.300735	1
14500000	14550000	1	0.256581	1
14550000	14600000	1	0.305751	1
14600000	14650000	1	0.366525	1
14650000	14700000	1	0.326384	1
14700000	14750000	1	0.350119	1
14750000	14800000	1	0.378052	1
14800000	14850000	1	0.228953	1
14850000	14900000	1	0.242906	1
14900000	14950000	1	0.174709	1
14950000	15000000	1	0.262569	1
15000000	15050000	1	0.286063	1
15050000	15100000	1	0.156491	1
15100000	15150000	1	0.205275	1
15150000	15200000	1	0.177577	1
15200000	15250000	1	0.265921	1
