BP	SNP	CHR	P	chr
50000	100000	1	0.077733	1
100000	150000	1	0.186317	1
150000	200000	1	0.183867	1
200000	250000	1	0.227361	1
250000	300000	1	0.136041	1
300000	350000	1	0.360187	1
350000	400000	1	0.354827	1
400000	450000	1	0.468865	1
450000	500000	1	0.552477	1
500000	550000	1	0.495787	1
550000	600000	1	0.335070	1
600000	650000	1	0.309474	1
650000	700000	1	0.391963	1
700000	750000	1	0.391398	1
750000	800000	1	0.266255	1
800000	850000	1	0.208148	1
850000	900000	1	0.147518	1
900000	950000	1	0.285546	1
950000	1000000	1	0.164149	1
1000000	1050000	1	0.248878	1
1050000	1100000	1	0.315148	1
1100000	1150000	1	0.293490	1
1150000	1200000	1	0.118358	1
1200000	1250000	1	0.275258	1
1250000	1300000	1	0.288854	1
1300000	1350000	1	0.309137	1
1350000	1400000	1	0.212626	1
1400000	1450000	1	0.377071	1
1450000	1500000	1	0.383264	1
1500000	1550000	1	0.454320	1
1550000	1600000	1	0.360673	1
1600000	1650000	1	0.283020	1
1650000	1700000	1	0.314228	1
1700000	1750000	1	0.349855	1
1750000	1800000	1	0.220523	1
1800000	1850000	1	0.109154	1
1850000	1900000	1	0.269365	1
1900000	1950000	1	0.165048	1
1950000	2000000	1	0.228422	1
2000000	2050000	1	0.238168	1
2050000	2100000	1	0.176672	1
2100000	2150000	1	0.173849	1
2150000	2200000	1	0.113851	1
2200000	2250000	1	0.235740	1
2250000	2300000	1	0.210832	1
2300000	2350000	1	0.156120	1
2350000	2400000	1	0.105592	1
2400000	2450000	1	0.133893	1
2450000	2500000	1	0.185668	1
2500000	2550000	1	0.201646	1
2550000	2600000	1	0.163049	1
2600000	2650000	1	0.246744	1
2650000	2700000	1	0.165426	1
2700000	2750000	1	0.181691	1
2750000	2800000	1	0.231334	1
2800000	2850000	1	0.426472	1
2850000	2900000	1	0.231496	1
2900000	2950000	1	0.316927	1
2950000	3000000	1	0.284017	1
3000000	3050000	1	0.287604	1
3050000	3100000	1	0.245270	1
3100000	3150000	1	0.297078	1
3150000	3200000	1	0.305520	1
3200000	3250000	1	0.398902	1
3250000	3300000	1	0.291890	1
3300000	3350000	1	0.258805	1
3350000	3400000	1	0.268379	1
3400000	3450000	1	0.325996	1
3450000	3500000	1	0.297346	1
3500000	3550000	1	0.308299	1
3550000	3600000	1	0.322663	1
3600000	3650000	1	0.298757	1
3650000	3700000	1	0.383712	1
3700000	3750000	1	0.330812	1
