BP	SNP	CHR	P	chr
50000	100000	1	0.098528	1
100000	150000	1	0.089271	1
150000	200000	1	0.105996	1
200000	250000	1	0.050373	1
250000	300000	1	0.076624	1
300000	350000	1	0.207765	1
350000	400000	1	0.274346	1
400000	450000	1	0.297478	1
450000	500000	1	0.300589	1
500000	550000	1	0.239647	1
550000	600000	1	0.251995	1
600000	650000	1	0.214595	1
650000	700000	1	0.295857	1
700000	750000	1	0.169792	1
750000	800000	1	0.307543	1
800000	850000	1	0.303932	1
850000	900000	1	0.300924	1
900000	950000	1	0.095819	1
950000	1000000	1	0.018757	1
1000000	1050000	1	0.244270	1
1050000	1100000	1	0.282954	1
1100000	1150000	1	0.501708	1
1150000	1200000	1	0.381139	1
1200000	1250000	1	0.432394	1
1250000	1300000	1	0.502825	1
1300000	1350000	1	0.478368	1
1350000	1400000	1	0.434451	1
1400000	1450000	1	0.270118	1
1450000	1500000	1	0.388554	1
1500000	1550000	1	0.416035	1
1550000	1600000	1	0.427622	1
1600000	1650000	1	0.546980	1
1650000	1700000	1	0.506288	1
1700000	1750000	1	0.517349	1
1750000	1800000	1	0.498544	1
1800000	1850000	1	0.604964	1
1850000	1900000	1	0.531544	1
1900000	1950000	1	0.613820	1
1950000	2000000	1	0.423173	1
2000000	2050000	1	0.433346	1
2050000	2100000	1	0.509175	1
2100000	2150000	1	0.543731	1
2150000	2200000	1	0.497602	1
2200000	2250000	1	0.533656	1
2250000	2300000	1	0.317476	1
2300000	2350000	1	0.531480	1
2350000	2400000	1	0.482294	1
2400000	2450000	1	0.437752	1
2450000	2500000	1	0.521688	1
2500000	2550000	1	0.437132	1
2550000	2600000	1	0.444606	1
2600000	2650000	1	0.457925	1
2650000	2700000	1	0.484147	1
2700000	2750000	1	0.483258	1
2750000	2800000	1	0.489827	1
2800000	2850000	1	0.405466	1
2850000	2900000	1	0.562382	1
2900000	2950000	1	0.529450	1
2950000	3000000	1	0.500920	1
3000000	3050000	1	0.513042	1
3050000	3100000	1	0.442386	1
3100000	3150000	1	0.473481	1
3150000	3200000	1	0.514121	1
3200000	3250000	1	0.546853	1
3250000	3300000	1	0.513532	1
3300000	3350000	1	0.556719	1
3350000	3400000	1	0.635427	1
3400000	3450000	1	0.380262	1
3450000	3500000	1	0.507516	1
3500000	3550000	1	0.546212	1
3550000	3600000	1	0.559559	1
3600000	3650000	1	0.534763	1
3650000	3700000	1	0.522761	1
3700000	3750000	1	0.517454	1
3750000	3800000	1	0.539887	1
3800000	3850000	1	0.470498	1
3850000	3900000	1	0.582664	1
3900000	3950000	1	0.622142	1
3950000	4000000	1	0.515532	1
4000000	4050000	1	0.494409	1
4050000	4100000	1	0.536770	1
4100000	4150000	1	0.530775	1
4150000	4200000	1	0.500915	1
4200000	4250000	1	0.500007	1
4250000	4300000	1	0.463216	1
4300000	4350000	1	0.459804	1
4350000	4400000	1	0.466190	1
4400000	4450000	1	0.465837	1
4450000	4500000	1	0.535674	1
4500000	4550000	1	0.494293	1
4550000	4600000	1	0.461631	1
4600000	4650000	1	0.457393	1
4650000	4700000	1	0.230818	1
4700000	4750000	1	0.447821	1
4750000	4800000	1	0.481452	1
4800000	4850000	1	0.499129	1
4850000	4900000	1	0.392846	1
4900000	4950000	1	0.473947	1
4950000	5000000	1	0.386278	1
5000000	5050000	1	0.449532	1
5050000	5100000	1	0.395098	1
5100000	5150000	1	0.450641	1
5150000	5200000	1	0.319258	1
5200000	5250000	1	0.531569	1
5250000	5300000	1	0.495196	1
5300000	5350000	1	0.387042	1
5350000	5400000	1	0.558726	1
5400000	5450000	1	0.456482	1
5450000	5500000	1	0.450829	1
5500000	5550000	1	0.423404	1
5550000	5600000	1	0.503947	1
5600000	5650000	1	0.401708	1
5650000	5700000	1	0.468899	1
5700000	5750000	1	0.407151	1
5750000	5800000	1	0.503687	1
5800000	5850000	1	0.454523	1
5850000	5900000	1	0.469169	1
5900000	5950000	1	0.343815	1
5950000	6000000	1	0.429031	1
6000000	6050000	1	0.340257	1
6050000	6100000	1	0.382263	1
6100000	6150000	1	0.445785	1
6150000	6200000	1	0.316050	1
6200000	6250000	1	0.382614	1
6250000	6300000	1	0.366896	1
6300000	6350000	1	0.463441	1
6350000	6400000	1	0.490212	1
6400000	6450000	1	0.505230	1
6450000	6500000	1	0.537254	1
6500000	6550000	1	0.444077	1
6550000	6600000	1	0.280941	1
6600000	6650000	1	0.475328	1
6650000	6700000	1	0.389817	1
6700000	6750000	1	0.386253	1
6750000	6800000	1	0.309247	1
6800000	6850000	1	0.252224	1
6850000	6900000	1	0.349514	1
6900000	6950000	1	0.212123	1
6950000	7000000	1	0.282518	1
7000000	7050000	1	0.260218	1
7050000	7100000	1	0.248147	1
7100000	7150000	1	0.207459	1
7150000	7200000	1	0.287342	1
7200000	7250000	1	0.400262	1
7250000	7300000	1	0.385601	1
7300000	7350000	1	0.332691	1
7350000	7400000	1	0.259095	1
7400000	7450000	1	0.409466	1
7450000	7500000	1	0.443762	1
7500000	7550000	1	0.166774	1
7550000	7600000	1	0.242571	1
7600000	7650000	1	0.337220	1
7650000	7700000	1	0.258203	1
7700000	7750000	1	0.222489	1
7750000	7800000	1	0.229938	1
7800000	7850000	1	0.235928	1
7850000	7900000	1	0.231386	1
7900000	7950000	1	0.264568	1
7950000	8000000	1	0.211266	1
8000000	8050000	1	0.297599	1
8050000	8100000	1	0.276160	1
8100000	8150000	1	0.270974	1
8150000	8200000	1	0.266871	1
8200000	8250000	1	0.242568	1
8250000	8300000	1	0.530310	1
8300000	8350000	1	0.495830	1
8350000	8400000	1	0.387913	1
8400000	8450000	1	0.464410	1
8450000	8500000	1	0.482538	1
8500000	8550000	1	0.481832	1
8550000	8600000	1	0.695979	1
8600000	8650000	1	0.519929	1
8650000	8700000	1	0.408778	1
8700000	8750000	1	0.420113	1
8750000	8800000	1	0.405337	1
8800000	8850000	1	0.553183	1
8850000	8900000	1	0.468410	1
8900000	8950000	1	0.621758	1
8950000	9000000	1	0.523622	1
9000000	9050000	1	0.466238	1
9050000	9100000	1	0.501675	1
9100000	9150000	1	0.306177	1
9150000	9200000	1	0.451309	1
9200000	9250000	1	0.516656	1
9250000	9300000	1	0.363533	1
9300000	9350000	1	0.425097	1
9350000	9400000	1	0.557434	1
9400000	9450000	1	0.515453	1
9450000	9500000	1	0.489570	1
9500000	9550000	1	0.625486	1
9550000	9600000	1	0.429197	1
9600000	9650000	1	0.414768	1
9650000	9700000	1	0.696903	1
9700000	9750000	1	0.556575	1
9750000	9800000	1	0.504698	1
9800000	9850000	1	0.432642	1
9850000	9900000	1	0.575244	1
9900000	9950000	1	0.617742	1
9950000	10000000	1	0.507885	1
10000000	10050000	1	0.489922	1
10050000	10100000	1	0.494043	1
10100000	10150000	1	0.483137	1
10150000	10200000	1	0.447789	1
10200000	10250000	1	0.525477	1
10250000	10300000	1	0.501776	1
10300000	10350000	1	0.584825	1
10350000	10400000	1	0.633384	1
10400000	10450000	1	0.512274	1
10450000	10500000	1	0.531538	1
10500000	10550000	1	0.459279	1
10550000	10600000	1	0.664054	1
10600000	10650000	1	0.520381	1
10650000	10700000	1	0.433199	1
10700000	10750000	1	0.475587	1
10750000	10800000	1	0.422940	1
10800000	10850000	1	0.473135	1
10850000	10900000	1	0.402214	1
10900000	10950000	1	0.621765	1
10950000	11000000	1	0.492159	1
11000000	11050000	1	0.513223	1
11050000	11100000	1	0.415951	1
11100000	11150000	1	0.403845	1
11150000	11200000	1	0.523851	1
11200000	11250000	1	0.474996	1
11250000	11300000	1	0.482191	1
11300000	11350000	1	0.496758	1
11350000	11400000	1	0.599309	1
11400000	11450000	1	0.548585	1
11450000	11500000	1	0.470629	1
11500000	11550000	1	0.545767	1
11550000	11600000	1	0.473115	1
11600000	11650000	1	0.447704	1
11650000	11700000	1	0.559427	1
11700000	11750000	1	0.406008	1
11750000	11800000	1	0.498950	1
11800000	11850000	1	0.506748	1
11850000	11900000	1	0.497881	1
11900000	11950000	1	0.521414	1
11950000	12000000	1	0.641505	1
12000000	12050000	1	0.553999	1
12050000	12100000	1	0.460351	1
12100000	12150000	1	0.512834	1
12150000	12200000	1	0.509148	1
12200000	12250000	1	0.532470	1
12250000	12300000	1	0.595747	1
12300000	12350000	1	0.559273	1
12350000	12400000	1	0.550295	1
12400000	12450000	1	0.579947	1
12450000	12500000	1	0.514981	1
12500000	12550000	1	0.485484	1
12550000	12600000	1	0.522699	1
12600000	12650000	1	0.528415	1
12650000	12700000	1	0.503474	1
12700000	12750000	1	0.566482	1
12750000	12800000	1	0.392287	1
12800000	12850000	1	0.292098	1
12850000	12900000	1	0.302897	1
12900000	12950000	1	0.265837	1
12950000	13000000	1	0.317148	1
13000000	13050000	1	0.409496	1
13050000	13100000	1	0.440807	1
13100000	13150000	1	0.297844	1
13150000	13200000	1	0.189392	1
13200000	13250000	1	0.255105	1
13250000	13300000	1	0.188612	1
13300000	13350000	1	0.180412	1
13350000	13400000	1	0.279831	1
13400000	13450000	1	0.247113	1
13450000	13500000	1	0.187849	1
13500000	13550000	1	0.206951	1
13550000	13600000	1	0.280822	1
13600000	13650000	1	0.202656	1
13650000	13700000	1	0.254534	1
13700000	13750000	1	0.153050	1
13750000	13800000	1	0.189499	1
13800000	13850000	1	0.253330	1
13850000	13900000	1	0.221230	1
13900000	13950000	1	0.069186	1
13950000	14000000	1	0.072020	1
14000000	14050000	1	0.226540	1
14050000	14100000	1	0.180962	1
14100000	14150000	1	0.176463	1
14150000	14200000	1	0.195471	1
14200000	14250000	1	0.166513	1
14250000	14300000	1	0.190042	1
14300000	14350000	1	0.189831	1
14350000	14400000	1	0.226594	1
14400000	14450000	1	0.320549	1
14450000	14500000	1	0.282203	1
14500000	14550000	1	0.242380	1
14550000	14600000	1	0.258446	1
14600000	14650000	1	0.153513	1
14650000	14700000	1	0.261894	1
14700000	14750000	1	0.397517	1
14750000	14800000	1	0.406529	1
14800000	14850000	1	0.382989	1
14850000	14900000	1	0.166628	1
14900000	14950000	1	0.211651	1
14950000	15000000	1	0.221914	1
15000000	15050000	1	0.202821	1
