BP	SNP	CHR	P	chr
50000	100000	1	-0.027534	1
100000	150000	1	-0.014131	1
150000	200000	1	0.010169	1
200000	250000	1	0.009345	1
250000	300000	1	0.025117	1
300000	350000	1	0.054379	1
350000	400000	1	0.124426	1
400000	450000	1	0.123984	1
450000	500000	1	0.108357	1
500000	550000	1	0.074099	1
550000	600000	1	0.089761	1
600000	650000	1	0.090481	1
650000	700000	1	0.186126	1
700000	750000	1	0.113251	1
750000	800000	1	0.018086	1
800000	850000	1	0.120733	1
850000	900000	1	0.146143	1
900000	950000	1	0.080281	1
950000	1000000	1	0.015005	1
1000000	1050000	1	0.054637	1
1050000	1100000	1	0.026559	1
1100000	1150000	1	0.064829	1
1150000	1200000	1	0.063049	1
1200000	1250000	1	0.033009	1
1250000	1300000	1	-0.000594	1
1300000	1350000	1	0.045350	1
1350000	1400000	1	0.018866	1
1400000	1450000	1	-0.029863	1
1450000	1500000	1	-0.000035	1
1500000	1550000	1	0.031935	1
1550000	1600000	1	0.044500	1
1600000	1650000	1	0.060861	1
1650000	1700000	1	0.018575	1
1700000	1750000	1	0.071982	1
1750000	1800000	1	0.087110	1
1800000	1850000	1	0.072361	1
1850000	1900000	1	0.064190	1
1900000	1950000	1	0.069104	1
1950000	2000000	1	0.113530	1
2000000	2050000	1	0.105045	1
2050000	2100000	1	0.115156	1
2100000	2150000	1	0.115235	1
2150000	2200000	1	0.053680	1
2200000	2250000	1	0.094357	1
2250000	2300000	1	0.054809	1
2300000	2350000	1	0.088280	1
2350000	2400000	1	0.091735	1
2400000	2450000	1	0.105879	1
2450000	2500000	1	0.055872	1
2500000	2550000	1	0.090527	1
2550000	2600000	1	0.123882	1
2600000	2650000	1	0.115032	1
2650000	2700000	1	0.047717	1
2700000	2750000	1	0.021860	1
2750000	2800000	1	0.029928	1
2800000	2850000	1	0.039657	1
2850000	2900000	1	0.079897	1
2900000	2950000	1	0.034488	1
2950000	3000000	1	0.124000	1
3000000	3050000	1	0.083165	1
3050000	3100000	1	0.070865	1
3100000	3150000	1	0.067128	1
3150000	3200000	1	0.158350	1
3200000	3250000	1	0.079492	1
3250000	3300000	1	0.065578	1
