BP	SNP	CHR	P	chr
50000	100000	1	0.127129	1
100000	150000	1	0.038822	1
150000	200000	1	0.180487	1
200000	250000	1	0.038202	1
250000	300000	1	0.062307	1
300000	350000	1	0.235561	1
350000	400000	1	0.176248	1
400000	450000	1	0.327572	1
450000	500000	1	0.290620	1
500000	550000	1	0.144668	1
550000	600000	1	0.145069	1
600000	650000	1	0.070231	1
650000	700000	1	0.120720	1
700000	750000	1	0.126323	1
750000	800000	1	0.102254	1
850000	900000	1	0.018768	1
900000	950000	1	0.286174	1
950000	1000000	1	0.132982	1
1000000	1050000	1	0.056171	1
1050000	1100000	1	0.076079	1
1100000	1150000	1	0.098627	1
1150000	1200000	1	0.097821	1
1200000	1250000	1	0.126754	1
1250000	1300000	1	0.128149	1
1300000	1350000	1	0.221892	1
1350000	1400000	1	0.160647	1
1400000	1450000	1	0.136020	1
1450000	1500000	1	0.102358	1
1500000	1550000	1	0.151099	1
1550000	1600000	1	0.187604	1
1600000	1650000	1	0.159712	1
1650000	1700000	1	0.083345	1
1700000	1750000	1	0.137861	1
1750000	1800000	1	0.207159	1
1800000	1850000	1	0.270163	1
1850000	1900000	1	0.214483	1
1900000	1950000	1	0.359163	1
1950000	2000000	1	0.242816	1
2000000	2050000	1	0.247148	1
2050000	2100000	1	0.209097	1
2100000	2150000	1	0.239356	1
2150000	2200000	1	0.202026	1
2200000	2250000	1	0.193829	1
2250000	2300000	1	0.196137	1
2300000	2350000	1	0.187391	1
2350000	2400000	1	0.209855	1
2400000	2450000	1	0.245687	1
2450000	2500000	1	0.360034	1
2500000	2550000	1	0.197741	1
2550000	2600000	1	0.264773	1
2600000	2650000	1	0.307316	1
2650000	2700000	1	0.380193	1
2700000	2750000	1	0.432483	1
2750000	2800000	1	0.505739	1
2800000	2850000	1	0.327342	1
2850000	2900000	1	0.386957	1
2900000	2950000	1	0.377978	1
2950000	3000000	1	0.213607	1
3000000	3050000	1	0.303907	1
3050000	3100000	1	0.388830	1
3100000	3150000	1	0.288858	1
3150000	3200000	1	0.294456	1
3200000	3250000	1	0.319101	1
3250000	3300000	1	0.237498	1
3300000	3350000	1	0.298249	1
3350000	3400000	1	0.385242	1
3400000	3450000	1	0.196271	1
3450000	3500000	1	0.267799	1
3500000	3550000	1	0.211739	1
3550000	3600000	1	0.196881	1
3600000	3650000	1	0.276882	1
3650000	3700000	1	0.310302	1
3700000	3750000	1	0.199348	1
3750000	3800000	1	0.165369	1
3800000	3850000	1	0.218255	1
3850000	3900000	1	0.248414	1
3900000	3950000	1	0.283708	1
3950000	4000000	1	0.205365	1
4000000	4050000	1	0.192167	1
4050000	4100000	1	0.187553	1
4100000	4150000	1	0.250548	1
4150000	4200000	1	0.273629	1
4200000	4250000	1	0.235262	1
4250000	4300000	1	0.221141	1
4300000	4350000	1	0.220276	1
4350000	4400000	1	0.165544	1
4400000	4450000	1	0.172108	1
4450000	4500000	1	0.205425	1
4500000	4550000	1	0.204376	1
4550000	4600000	1	0.200146	1
4600000	4650000	1	0.112990	1
4650000	4700000	1	0.162333	1
4700000	4750000	1	0.222514	1
4750000	4800000	1	0.411801	1
4800000	4850000	1	0.287356	1
4850000	4900000	1	0.337843	1
4900000	4950000	1	0.194934	1
4950000	5000000	1	0.142770	1
5000000	5050000	1	0.298579	1
5050000	5100000	1	0.264207	1
5100000	5150000	1	0.232979	1
5150000	5200000	1	0.286334	1
5200000	5250000	1	0.165823	1
5250000	5300000	1	0.303118	1
5300000	5350000	1	0.145316	1
5350000	5400000	1	0.264861	1
5400000	5450000	1	0.221651	1
5450000	5500000	1	0.268188	1
5500000	5550000	1	0.205860	1
5550000	5600000	1	0.126786	1
5600000	5650000	1	0.126637	1
5650000	5700000	1	0.148763	1
5700000	5750000	1	0.119182	1
5750000	5800000	1	0.136105	1
5800000	5850000	1	0.121451	1
5850000	5900000	1	0.099254	1
5900000	5950000	1	0.077346	1
5950000	6000000	1	0.122080	1
6000000	6050000	1	0.159073	1
6050000	6100000	1	0.198533	1
6100000	6150000	1	0.190775	1
6150000	6200000	1	0.148248	1
6200000	6250000	1	0.102863	1
6250000	6300000	1	0.162201	1
6300000	6350000	1	0.288828	1
6350000	6400000	1	0.169093	1
6400000	6450000	1	0.177645	1
6450000	6500000	1	0.130113	1
6500000	6550000	1	0.075194	1
6550000	6600000	1	0.151455	1
6600000	6650000	1	0.164289	1
6650000	6700000	1	0.300200	1
6700000	6750000	1	0.266985	1
6750000	6800000	1	0.209561	1
6800000	6850000	1	0.323431	1
6850000	6900000	1	0.221041	1
6900000	6950000	1	0.222416	1
6950000	7000000	1	0.306368	1
7000000	7050000	1	0.295049	1
7050000	7100000	1	0.385120	1
7100000	7150000	1	0.384060	1
7150000	7200000	1	0.286336	1
