scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1,50000,24709,1196,468,13.1409,7.0866,0.2993,0.3171,0.1089
Z,50001,100000,75657,1081,401,9.1271,7.8124,0.0776,0.0823,0.0262
Z,100001,150000,123795,964,426,13.9749,12.0242,0.075,0.0768,0.0303
Z,150001,200000,173837,827,315,10.2103,5.0972,0.334,0.4463,0.109
Z,200001,250000,225710,650,232,5.1192,9.3175,-0.2908,-1.0713,-0.0951
Z,250001,300000,276060,1103,346,8.1509,4.4718,0.2915,0.1912,0.1116
Z,300001,350000,326696,1218,555,10.0923,9.0743,0.0531,0.0583,0.0093
Z,350001,400000,372636,952,330,7.5806,17.7619,-0.4018,-1.2772,-0.142
Z,400001,450000,428691,786,296,8.2371,5.1534,0.2303,0.2626,0.0775
Z,450001,500000,473098,927,369,3.3706,5.4919,-0.2394,-0.9324,-0.0346
Z,500001,550000,525799,790,308,10.2403,3.0286,0.5435,0.4331,0.1975
Z,550001,600000,576801,809,337,7.2566,3.0741,0.4049,0.5184,0.0852
Z,600001,650000,626211,1095,395,19.6686,12.7065,0.215,0.2931,0.0948
Z,650001,700000,674845,1038,369,16.8101,6.8948,0.4183,0.3473,0.146
Z,700001,750000,725126,966,322,21.0099,5.5882,0.5798,0.5086,0.2575
Z,750001,800000,773982,1045,452,19.8034,9.1838,0.3664,0.4092,0.2221
Z,800001,850000,825831,956,398,9.2327,6.9261,0.1427,0.1739,0.0523
Z,850001,900000,875859,930,358,8.991,16.0902,-0.2831,-0.5446,-0.155
Z,900001,950000,923706,928,316,10.8058,10.5887,0.0101,0.0181,0.0049
Z,950001,1000000,974948,960,391,10.6194,9.1885,0.0722,0.0938,0.0358
Z,1000001,1050000,1026463,1134,493,13.7129,14.0229,-0.0112,-0.0151,-0.007
Z,1050001,1100000,1075025,958,457,13.379,10.9579,0.0995,0.1168,0.0518
Z,1100001,1150000,1127010,925,454,21.1525,14.4542,0.1881,0.2121,0.0973
Z,1150001,1200000,1175318,963,323,7.4094,4.8102,0.2127,0.1394,0.0768
Z,1200001,1250000,1225110,901,360,7.8254,10.7546,-0.1577,-0.3079,-0.0864
Z,1250001,1300000,1275668,905,402,12.7369,11.8321,0.0368,0.0433,0.0166
Z,1300001,1350000,1326400,1048,455,12.8054,10.6138,0.0936,0.092,0.039
Z,1350001,1400000,1375478,1009,395,12.0714,15.0993,-0.1114,-0.1762,-0.0529
Z,1400001,1450000,1424825,1040,404,27.264,8.4721,0.5259,0.4727,0.2558
Z,1450001,1500000,1474912,957,422,16.2608,10.8907,0.1978,0.2108,0.0847
Z,1500001,1550000,1523723,765,263,12.8619,3.0362,0.618,0.3218,0.2465
Z,1550001,1600000,1575477,854,331,12.6024,6.4171,0.3252,0.2132,0.1218
Z,1600001,1650000,1624904,825,353,27.3479,2.5176,0.8314,0.5928,0.5192
Z,1650001,1700000,1674908,850,319,16.1169,6.7311,0.4108,0.4427,0.1272
Z,1700001,1750000,1725191,798,337,12.505,4.4921,0.4714,0.229,0.128
Z,1750001,1800000,1775999,1000,337,16.6065,12.2294,0.1518,0.1636,0.0877
Z,1800001,1850000,1824388,873,299,9.9831,13.4731,-0.1488,-0.1759,-0.0804
Z,1850001,1900000,1876144,1004,371,5.5822,3.2464,0.2646,0.1135,0.08
Z,1900001,1950000,1923310,921,332,5.9597,16.185,-0.4617,-1.2225,-0.236
Z,1950001,2000000,1973974,860,275,9.7804,6.1132,0.2307,0.1657,0.0776
Z,2000001,2050000,2024920,849,315,6.3252,13.0602,-0.3474,-0.3136,-0.1705
Z,2050001,2100000,2074253,911,373,9.333,8.2925,0.059,0.0416,0.0202
Z,2100001,2150000,2125188,847,348,9.5045,25.8923,-0.463,-0.7282,-0.2489
Z,2150001,2200000,2174343,1157,458,14.9512,26.3039,-0.2752,-0.4652,-0.1067
Z,2200001,2250000,2225333,1091,453,14.1031,18.4597,-0.1338,-0.1478,-0.0558
Z,2250001,2300000,2275445,1093,425,17.8234,10.8141,0.2448,0.2149,0.0884
Z,2300001,2350000,2322495,784,243,10.8815,3.1442,0.5517,0.2793,0.1693
Z,2350001,2400000,2375447,867,331,29.9398,2.7065,0.8342,0.5097,0.3718
Z,2400001,2450000,2423745,724,264,19.6808,3.4249,0.7035,0.4944,0.2848
Z,2450001,2500000,2475465,820,311,6.9766,15.9903,-0.3925,-0.497,-0.1653
Z,2500001,2550000,2525755,684,229,6.4177,2.4956,0.44,0.2233,0.1421
Z,2550001,2600000,2574794,716,261,16.8962,5.8178,0.4877,0.4565,0.2769
Z,2600001,2650000,2622221,635,232,8.5698,4.3198,0.3297,0.1888,0.1033
Z,2650001,2700000,2674881,543,198,9.0958,2.4082,0.5813,0.2766,0.2068
Z,2700001,2750000,2724849,617,221,10.2199,2.9528,0.5517,0.2451,0.1188
Z,2750001,2800000,2775175,651,201,10.0605,1.7943,0.6973,0.2521,0.1821
Z,2800001,2850000,2825589,621,178,5.3646,1.8884,0.4793,0.1457,0.1338
Z,2850001,2900000,2876586,738,195,10.0273,4.6675,0.3647,0.256,0.1396
Z,2900001,2950000,2925927,962,295,7.1203,10.2249,-0.179,-0.1373,-0.0469
Z,2950001,3000000,2973787,779,203,3.9733,7.3548,-0.2985,-0.127,-0.0586
Z,3000001,3050000,3024901,735,285,7.0147,12.1624,-0.2684,-0.2119,-0.0802
Z,3050001,3100000,3076586,752,270,8.3011,4.9104,0.2566,0.2138,0.0823
Z,3100001,3150000,3124321,581,248,6.0746,9.666,-0.2282,-0.2071,-0.0683
Z,3150001,3200000,3171890,569,230,7.5325,5.1177,0.1909,0.116,0.0662
Z,3200001,3250000,3225054,566,143,10.1552,14.3495,-0.1712,-0.8019,-0.1328
Z,3250001,3300000,3273629,607,240,12.3688,8.1283,0.2069,0.2911,0.1011
Z,3300001,3350000,3327637,648,324,5.4318,21.7152,-0.5998,-1.3571,-0.3738
Z,3350001,3400000,3372437,584,347,8.916,11.8773,-0.1424,-0.163,-0.0601
Z,3400001,3450000,3424772,577,226,2.4781,6.798,-0.4657,-0.2983,-0.1603
Z,3450001,3500000,3474828,656,305,8.389,9.6323,-0.069,-0.1095,-0.0188
Z,3500001,3550000,3525140,726,306,13.9239,4.2729,0.5304,0.5197,0.1972
Z,3550001,3600000,3574743,602,266,11.256,0.992,0.838,0.544,0.1957
Z,3600001,3650000,3624683,594,250,2.8443,4.2109,-0.1937,-0.4342,-0.0356
Z,3650001,3700000,3675962,543,240,19.9629,3.1941,0.7241,0.5593,0.3965
Z,3700001,3750000,3725262,661,276,19.9261,3.6202,0.6925,0.6352,0.3504
Z,3750001,3800000,3772933,791,295,16.3977,9.2475,0.2788,0.3832,0.1772
Z,3800001,3850000,3826716,802,396,15.0641,10.7233,0.1683,0.1851,0.0474
Z,3850001,3900000,3874214,665,270,16.4878,8.6914,0.3096,0.2644,0.1412
Z,3900001,3950000,3923410,621,219,7.2262,4.5278,0.2296,0.1384,0.0624
Z,3950001,4000000,3977324,607,294,6.8332,11.0575,-0.2361,-0.2404,-0.0861
Z,4000001,4050000,4022605,793,336,6.5871,9.59,-0.1856,-0.23,-0.0889
Z,4050001,4100000,4072379,604,295,3.673,7.5974,-0.3482,-0.3312,-0.1087
Z,4100001,4150000,4123829,536,257,1.2458,2.4188,-0.3201,-0.0924,-0.0326
Z,4150001,4200000,4174439,475,211,1.5298,1.3923,0.0471,0.0124,0.0039
Z,4200001,4250000,4225153,519,262,9.5311,3.6187,0.4496,0.2245,0.1594
Z,4250001,4300000,4273021,580,251,14.0475,5.3593,0.4477,0.3219,0.2109
Z,4300001,4350000,4323943,452,184,6.9592,3.2091,0.3688,0.216,0.1441
Z,4350001,4400000,4376270,474,171,4.1499,3.1091,0.1434,0.1513,0.0699
Z,4400001,4450000,4422323,482,181,3.0604,2.3714,0.1269,0.1313,0.0344
Z,4450001,4500000,4477378,350,126,2.3549,1.099,0.3636,0.2142,0.1183
Z,4500001,4550000,4527018,430,188,4.8268,7.6234,-0.2246,-0.3107,-0.1015
Z,4550001,4600000,4576781,513,185,6.3192,3.0252,0.3525,0.2239,0.1371
Z,4600001,4650000,4624943,524,188,1.8579,1.1085,0.2527,0.0783,0.0561
Z,4650001,4700000,4673376,544,186,0.8208,0.8672,-0.0275,-0.0064,-0.0032
Z,4700001,4750000,4725266,419,102,0.897,0.8296,0.039,0.0109,0.0071
Z,4750001,4800000,4775153,402,122,1.6166,0.1905,0.7892,0.1455,0.1023
Z,4800001,4850000,4825677,430,127,1.6901,0.498,0.5448,0.21,0.1053
Z,4850001,4900000,4874219,503,87,1.0984,0.1493,0.7608,0.1285,0.1124
Z,4900001,4950000,4926060,398,138,0.2585,4.4033,-0.8891,-9.097,-0.1358
Z,4950001,5000000,4975125,388,158,0.6382,7.5651,-0.8444,-2.9243,-0.253
Z,5000001,5050000,5027455,420,133,0.5856,7.1199,-0.848,-6.5874,-0.2501
Z,5050001,5100000,5075484,402,95,0.1021,2.521,-0.9221,-6.5519,-0.1683
Z,5100001,5150000,5126434,384,82,0.2858,1.3459,-0.6497,-0.7689,-0.16
Z,5150001,5200000,5174475,412,89,0.7634,1.9737,-0.4422,-1.7712,-0.1519
Z,5200001,5250000,5224295,448,136,1.0254,10.1737,-0.8169,1.6243,-0.2927
Z,5250001,5300000,5274767,448,105,1.0266,10.6288,-0.8238,1.6699,-0.2874
Z,5300001,5350000,5325387,515,194,12.0647,5.25,0.3936,0.3545,0.1468
Z,5350001,5400000,5375265,391,139,3.1527,6.0013,-0.3112,-1.13,-0.087
Z,5400001,5450000,5424451,523,184,1.3738,11.7188,-0.7901,1.7073,-0.1754
Z,5450001,5500000,5474488,324,124,1.5325,1.5119,0.0068,0.0061,0.0018
Z,5500001,5550000,5525862,332,156,1.7838,0.6429,0.4702,0.1199,0.0908
Z,5550001,5600000,5576355,353,153,1.5063,3.3858,-0.3842,-0.4978,-0.0824
Z,5600001,5650000,5623334,322,126,1.4722,5.8713,-0.599,-13.2634,-0.1671
Z,5650001,5700000,5677180,438,207,2.939,5.5305,-0.306,-0.7263,-0.1057
Z,5700001,5750000,5725579,435,207,6.545,5.4522,0.0911,0.1055,0.0349
Z,5750001,5800000,5775319,401,141,3.9215,15.2484,-0.5909,5.8902,-0.3815
Z,5800001,5850000,5824927,353,129,3.9681,5.3183,-0.1454,-0.6483,-0.0514
Z,5850001,5900000,5874900,492,246,5.9924,1.7561,0.5467,0.331,0.1483
Z,5900001,5950000,5927217,381,139,7.939,5.5714,0.1752,0.3214,0.0618
Z,5950001,6000000,5975396,346,149,2.9991,6.7589,-0.3853,-0.4017,-0.0905
Z,6000001,6050000,6026243,367,147,8.6639,6.5955,0.1356,0.1333,0.0439
Z,6050001,6100000,6072314,418,158,6.3249,10.693,-0.2567,-0.8693,-0.0727
Z,6100001,6150000,6126238,365,155,8.5821,7.6125,0.0599,0.0902,0.0314
Z,6150001,6200000,6174532,400,169,2.6616,1.3699,0.3204,0.1894,0.0659
Z,6200001,6250000,6225515,293,103,1.4649,1.1396,0.1249,0.131,0.0286
Z,6250001,6300000,6274504,399,180,4.911,3.4482,0.175,0.1342,0.0616
Z,6300001,6350000,6325515,527,210,6.791,5.0801,0.1441,0.1809,0.0416
Z,6350001,6400000,6374766,546,247,8.5088,4.2934,0.3293,0.219,0.1204
Z,6400001,6450000,6426316,490,206,4.3504,6.7562,-0.2166,-0.4937,-0.0525
Z,6450001,6500000,6474925,487,202,5.1541,5.0807,0.0072,0.0067,0.0028
Z,6500001,6550000,6525415,514,191,4.8586,7.9514,-0.2414,-0.1732,-0.0882
Z,6550001,6600000,6575046,588,202,3.2702,11.4081,-0.5544,-2.5199,-0.2919
Z,6600001,6650000,6625049,539,199,2.6208,5.5617,-0.3594,-0.5548,-0.0685
Z,6650001,6700000,6676264,514,187,18.3904,6.746,0.4632,0.56,0.2537
Z,6700001,6750000,6725622,666,215,20.2182,6.1818,0.5317,0.5902,0.2368
Z,6750001,6800000,6774496,559,168,5.6133,4.4566,0.1149,0.0644,0.0302
Z,6800001,6850000,6822411,513,136,6.9301,2.2833,0.5044,0.3893,0.1939
Z,6850001,6900000,6877240,433,146,12.4857,5.3627,0.3991,0.2287,0.1517
Z,6900001,6950000,6923745,621,249,8.6009,5.4432,0.2248,0.2453,0.0886
Z,6950001,7000000,6975198,550,217,6.8097,7.2586,-0.0319,-0.0245,-0.0086
Z,7000001,7050000,7026642,694,229,3.9484,9.7282,-0.4226,-0.4349,-0.1232
Z,7050001,7100000,7075372,576,206,6.5468,6.8633,-0.0236,-0.0192,-0.0081
Z,7100001,7150000,7125015,815,312,14.8197,4.2921,0.5508,0.3422,0.1631
Z,7150001,7200000,7173291,644,211,17.9601,4.4293,0.6043,0.4635,0.3004
Z,7200001,7250000,7226349,636,234,20.5919,17.2189,0.0892,0.2089,0.0483
Z,7250001,7300000,7276278,746,309,7.1097,15.8179,-0.3798,-1.0915,-0.1822
Z,7300001,7350000,7325518,747,261,10.7426,6.1935,0.2686,0.2212,0.0865
Z,7350001,7400000,7363350,312,95,3.5653,1.9386,0.2956,0.3675,0.129
Z,7400001,7450000,7431437,336,157,25.175,5.0877,0.6638,0.7443,0.4819
Z,7450001,7500000,7475238,601,200,7.9427,2.5141,0.5191,0.4933,0.134
Z,7500001,7550000,7525349,570,292,5.9162,7.4629,-0.1156,-0.1157,-0.0517
Z,7550001,7600000,7574853,742,327,9.2348,12.8921,-0.1653,-0.2876,-0.0693
Z,7600001,7650000,7627006,883,370,9.1997,8.642,0.0313,0.0145,0.008
Z,7650001,7700000,7675572,1033,365,13.8328,9.3558,0.1931,0.115,0.0542
Z,7700001,7750000,7723695,950,322,5.7618,34.9002,-0.7166,20.7814,-0.3835
Z,7750001,7800000,7775867,697,252,3.063,8.2071,-0.4564,-0.3405,-0.1078
Z,7800001,7850000,7823560,831,257,9.1412,15.4184,-0.2556,-0.4032,-0.1024
Z,7850001,7900000,7876106,913,335,4.8058,11.1283,-0.3968,-0.7518,-0.1426
Z,7900001,7950000,7923603,760,270,3.7991,22.1118,-0.7068,-0.9119,-0.4119
Z,7950001,8000000,7975117,898,338,22.4516,7.7065,0.4889,0.4606,0.2351
Z,8000001,8050000,8024520,792,303,11.7447,19.6514,-0.2518,-1.2964,-0.0998
Z,8050001,8100000,8075703,769,277,19.0642,3.1881,0.7135,0.4342,0.2625
Z,8100001,8150000,8126064,920,305,32.309,6.8447,0.6504,0.3292,0.23
Z,8150001,8200000,8173896,925,301,22.6357,7.2915,0.5127,0.2973,0.1526
Z,8200001,8250000,8225439,1007,370,22.3858,4.5042,0.665,0.3956,0.2985
Z,8250001,8300000,8274911,864,313,18.5551,4.8779,0.5837,0.4816,0.1872
Z,8300001,8350000,8324458,828,260,6.2122,5.7808,0.036,0.0141,0.0073
Z,8350001,8400000,8369384,524,160,5.6934,5.304,0.0354,0.0447,0.0159
Z,8400001,8450000,8414762,323,37,0.8917,0.7989,0.0549,0.142,0.0287
Z,8450001,8500000,8478487,432,87,1.0711,3.1396,-0.4912,-0.5513,-0.22
Z,8500001,8550000,8526072,737,260,2.9298,19.1308,-0.7344,-2.1094,-0.334
Z,8550001,8600000,8574067,790,312,14.3526,7.1404,0.3356,0.2545,0.1012
Z,8600001,8650000,8626198,896,352,8.04,15.2794,-0.3104,-0.2086,-0.1069
Z,8650001,8700000,8674377,955,406,7.4565,29.8368,-0.6001,-0.7284,-0.2202
Z,8700001,8750000,8724999,794,283,4.1479,27.9123,-0.7412,-1.9253,-0.4058
Z,8750001,8800000,8773744,811,329,7.2462,17.2725,-0.4089,-0.5619,-0.1166
Z,8800001,8850000,8826635,671,235,6.8426,5.9831,0.067,0.0637,0.0221
Z,8850001,8900000,8875218,921,336,12.5199,10.8721,0.0704,0.0666,0.0204
Z,8900001,8950000,8926349,900,363,11.0989,3.3433,0.537,0.1656,0.1016
Z,8950001,9000000,8973895,852,341,11.2051,6.0392,0.2996,0.1504,0.0645
Z,9000001,9050000,9023807,1143,521,20.9014,3.2192,0.7331,0.415,0.1344
