BP	SNP	CHR	P	chr
50000	100000	1	0.191845	1
100000	150000	1	0.026697	1
150000	200000	1	0.093847	1
200000	250000	1	-0.001576	1
250000	300000	1	0.015065	1
300000	350000	1	0.042954	1
350000	400000	1	0.073035	1
400000	450000	1	0.040091	1
450000	500000	1	0.057025	1
500000	550000	1	0.041780	1
550000	600000	1	-0.003615	1
600000	650000	1	0.042927	1
650000	700000	1	0.056726	1
700000	750000	1	0.014092	1
750000	800000	1	0.044131	1
800000	850000	1	0.050902	1
850000	900000	1	0.035163	1
900000	950000	1	0.196210	1
950000	1000000	1	0.022775	1
1000000	1050000	1	0.122592	1
1050000	1100000	1	0.128718	1
1100000	1150000	1	0.116783	1
1150000	1200000	1	0.136475	1
1200000	1250000	1	-0.004150	1
1250000	1300000	1	-0.016500	1
1300000	1350000	1	-0.031702	1
1350000	1400000	1	0.003283	1
1400000	1450000	1	-0.030631	1
1450000	1500000	1	0.033441	1
1500000	1550000	1	0.040396	1
1550000	1600000	1	0.019995	1
1600000	1650000	1	0.017476	1
1650000	1700000	1	0.006538	1
1700000	1750000	1	-0.005833	1
1750000	1800000	1	-0.024537	1
1800000	1850000	1	-0.030893	1
1850000	1900000	1	0.001899	1
1900000	1950000	1	-0.011349	1
1950000	2000000	1	-0.003615	1
2000000	2050000	1	-0.043021	1
2050000	2100000	1	0.016123	1
2100000	2150000	1	0.003597	1
2150000	2200000	1	-0.009162	1
2200000	2250000	1	0.014133	1
2250000	2300000	1	-0.015596	1
2300000	2350000	1	-0.027270	1
2350000	2400000	1	-0.020847	1
2400000	2450000	1	-0.007257	1
2450000	2500000	1	-0.023959	1
2500000	2550000	1	-0.029675	1
2550000	2600000	1	-0.018843	1
2600000	2650000	1	-0.002928	1
2650000	2700000	1	0.026996	1
2700000	2750000	1	-0.002455	1
2750000	2800000	1	0.012423	1
2800000	2850000	1	0.018931	1
2850000	2900000	1	0.054370	1
2900000	2950000	1	-0.000696	1
2950000	3000000	1	0.059662	1
3000000	3050000	1	0.023320	1
3050000	3100000	1	0.027560	1
3100000	3150000	1	0.056100	1
3150000	3200000	1	0.049500	1
3200000	3250000	1	0.013991	1
3250000	3300000	1	0.008172	1
3300000	3350000	1	0.018556	1
3350000	3400000	1	0.056454	1
3400000	3450000	1	0.053363	1
3450000	3500000	1	0.026274	1
3500000	3550000	1	0.089524	1
3550000	3600000	1	0.000038	1
3600000	3650000	1	0.051118	1
3650000	3700000	1	0.052650	1
3700000	3750000	1	0.038099	1
3750000	3800000	1	0.085842	1
3800000	3850000	1	0.066646	1
3850000	3900000	1	-0.003618	1
3900000	3950000	1	0.154080	1
3950000	4000000	1	-0.017612	1
4000000	4050000	1	0.105808	1
4050000	4100000	1	0.090982	1
4100000	4150000	1	0.044731	1
4150000	4200000	1	0.146462	1
4200000	4250000	1	0.031751	1
4250000	4300000	1	0.073567	1
4300000	4350000	1	0.106552	1
4350000	4400000	1	0.063095	1
4400000	4450000	1	0.014459	1
4450000	4500000	1	0.002399	1
4500000	4550000	1	0.026360	1
4550000	4600000	1	0.019828	1
4600000	4650000	1	0.036718	1
4650000	4700000	1	-0.003658	1
4700000	4750000	1	0.017463	1
4750000	4800000	1	0.006062	1
4800000	4850000	1	0.033600	1
4850000	4900000	1	0.044920	1
4900000	4950000	1	0.044761	1
4950000	5000000	1	-0.003820	1
5000000	5050000	1	-0.014765	1
5050000	5100000	1	0.017224	1
5100000	5150000	1	0.100560	1
5150000	5200000	1	0.068907	1
5200000	5250000	1	0.000641	1
5250000	5300000	1	-0.010223	1
5300000	5350000	1	0.019995	1
5350000	5400000	1	0.034127	1
5400000	5450000	1	-0.021092	1
5450000	5500000	1	-0.031103	1
5500000	5550000	1	-0.029416	1
5550000	5600000	1	-0.000402	1
5600000	5650000	1	0.005499	1
5650000	5700000	1	-0.017462	1
5700000	5750000	1	-0.016107	1
5750000	5800000	1	-0.017422	1
5800000	5850000	1	-0.010074	1
5850000	5900000	1	0.000098	1
5900000	5950000	1	0.013954	1
5950000	6000000	1	0.090742	1
6000000	6050000	1	0.224856	1
6050000	6100000	1	0.123274	1
6100000	6150000	1	0.140928	1
6150000	6200000	1	0.193453	1
6200000	6250000	1	0.122172	1
6250000	6300000	1	0.180309	1
6300000	6350000	1	0.111985	1
6350000	6400000	1	0.052313	1
6400000	6450000	1	0.113768	1
6450000	6500000	1	0.329856	1
6500000	6550000	1	0.172612	1
6550000	6600000	1	0.064317	1
6600000	6650000	1	0.124485	1
6650000	6700000	1	0.142437	1
6700000	6750000	1	0.146539	1
6750000	6800000	1	0.111670	1
6800000	6850000	1	0.137262	1
6850000	6900000	1	0.299598	1
6900000	6950000	1	0.237449	1
6950000	7000000	1	0.150401	1
7000000	7050000	1	0.106337	1
7050000	7100000	1	0.162186	1
7100000	7150000	1	0.046876	1
7150000	7200000	1	0.173784	1
7200000	7250000	1	0.146277	1
7250000	7300000	1	0.094638	1
7300000	7350000	1	0.055884	1
7350000	7400000	1	0.102629	1
7400000	7450000	1	0.028794	1
7450000	7500000	1	0.064734	1
7500000	7550000	1	0.142791	1
7550000	7600000	1	0.066775	1
7600000	7650000	1	0.112540	1
7650000	7700000	1	0.118732	1
7700000	7750000	1	0.168751	1
7750000	7800000	1	0.132923	1
7800000	7850000	1	0.128411	1
7850000	7900000	1	0.182145	1
7900000	7950000	1	0.124093	1
7950000	8000000	1	0.157211	1
8000000	8050000	1	0.151899	1
8050000	8100000	1	0.120775	1
8100000	8150000	1	0.091819	1
8150000	8200000	1	0.112980	1
8200000	8250000	1	0.089274	1
8250000	8300000	1	0.084638	1
8300000	8350000	1	0.115608	1
8350000	8400000	1	0.056948	1
8400000	8450000	1	0.086628	1
8450000	8500000	1	0.178639	1
8500000	8550000	1	0.148693	1
8550000	8600000	1	0.139568	1
8600000	8650000	1	0.133117	1
8650000	8700000	1	0.164397	1
8700000	8750000	1	0.064730	1
8750000	8800000	1	0.002073	1
8800000	8850000	1	0.021210	1
8850000	8900000	1	0.021947	1
8900000	8950000	1	0.031429	1
8950000	9000000	1	0.050124	1
9000000	9050000	1	0.171688	1
9050000	9100000	1	0.030425	1
9100000	9150000	1	0.058418	1
9150000	9200000	1	0.174349	1
9200000	9250000	1	0.326416	1
9250000	9300000	1	0.178303	1
9300000	9350000	1	0.200066	1
9350000	9400000	1	0.140318	1
9400000	9450000	1	0.165785	1
9450000	9500000	1	0.102422	1
9500000	9550000	1	0.060451	1
9550000	9600000	1	0.005883	1
9600000	9650000	1	0.046038	1
9650000	9700000	1	0.057028	1
9700000	9750000	1	0.041824	1
9750000	9800000	1	0.123206	1
9800000	9850000	1	0.042044	1
9850000	9900000	1	0.189047	1
9900000	9950000	1	0.065841	1
9950000	10000000	1	0.076053	1
10000000	10050000	1	0.108512	1
10050000	10100000	1	0.091102	1
10100000	10150000	1	0.080839	1
10150000	10200000	1	0.169151	1
10200000	10250000	1	0.069150	1
10250000	10300000	1	0.069119	1
10300000	10350000	1	0.010509	1
10350000	10400000	1	0.051543	1
10400000	10450000	1	0.125389	1
10450000	10500000	1	0.011909	1
10500000	10550000	1	0.061734	1
10550000	10600000	1	0.062145	1
10600000	10650000	1	0.026321	1
10650000	10700000	1	0.059253	1
10700000	10750000	1	0.118495	1
10750000	10800000	1	0.072693	1
10800000	10850000	1	0.005815	1
10850000	10900000	1	-0.003180	1
10900000	10950000	1	0.012758	1
10950000	11000000	1	0.063349	1
11000000	11050000	1	0.098125	1
11050000	11100000	1	0.101740	1
11100000	11150000	1	0.118570	1
11150000	11200000	1	0.080993	1
11200000	11250000	1	0.119643	1
11250000	11300000	1	0.168915	1
11300000	11350000	1	0.097187	1
11350000	11400000	1	0.101575	1
11400000	11450000	1	0.046791	1
11450000	11500000	1	0.065508	1
11500000	11550000	1	0.089379	1
11550000	11600000	1	0.206784	1
11600000	11650000	1	0.191763	1
11650000	11700000	1	0.189161	1
11700000	11750000	1	0.205150	1
11750000	11800000	1	0.108198	1
11800000	11850000	1	0.181792	1
11850000	11900000	1	0.009668	1
11900000	11950000	1	0.004041	1
11950000	12000000	1	0.079014	1
12000000	12050000	1	0.242595	1
12050000	12100000	1	0.121132	1
12100000	12150000	1	0.129820	1
12150000	12200000	1	-0.020215	1
12200000	12250000	1	0.062430	1
12250000	12300000	1	0.079330	1
12300000	12350000	1	0.070454	1
12350000	12400000	1	0.081800	1
12400000	12450000	1	0.139445	1
12450000	12500000	1	0.170900	1
12500000	12550000	1	0.097074	1
12550000	12600000	1	0.182311	1
12600000	12650000	1	0.107756	1
