scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
Z,1,50000,24709,1196,467,11.8559,10.3816,0.0663,0.0403,0.0204
Z,50001,100000,75657,1081,399,6.0693,15.8952,-0.4474,-0.2453,-0.1315
Z,100001,150000,123795,964,417,8.6391,16.1723,-0.3036,-0.2192,-0.104
Z,150001,200000,173837,827,289,3.089,8.5473,-0.4691,-0.2042,-0.0892
Z,200001,250000,225710,650,229,4.4493,6.2481,-0.1682,-0.1409,-0.0357
Z,250001,300000,276060,1103,570,6.6799,3.3102,0.3373,0.0205,0.019
Z,300001,350000,326696,1218,602,5.3316,79.9611,-0.875,-1.0578,-0.4391
Z,350001,400000,372636,952,382,9.3013,28.9122,-0.5132,-0.2534,-0.1415
Z,400001,450000,428691,786,300,5.7864,9.6521,-0.2504,-0.1307,-0.0672
Z,450001,500000,473098,927,336,7.3162,29.3957,-0.6014,-0.962,-0.2634
Z,500001,550000,525799,790,299,5.3781,6.3086,-0.0796,-0.0432,-0.0223
Z,550001,600000,576801,809,359,4.1151,11.1068,-0.4593,-0.2372,-0.097
Z,600001,650000,626211,1095,430,7.5476,27.7626,-0.5725,-0.3807,-0.1989
Z,650001,700000,674845,1038,366,10.0389,23.4936,-0.4012,-0.2551,-0.1464
Z,700001,750000,725126,966,323,9.3812,5.1815,0.2884,0.0783,0.0508
Z,750001,800000,773982,1045,446,9.4221,11.4082,-0.0953,-0.0397,-0.027
Z,800001,850000,825831,956,341,10.6721,7.8644,0.1515,0.0662,0.0388
Z,850001,900000,875859,930,338,7.2712,10.9817,-0.2033,-0.098,-0.0525
Z,900001,950000,923706,928,325,7.1071,10.5967,-0.1971,-0.0904,-0.0488
Z,950001,1000000,974948,960,380,5.8997,8.4241,-0.1762,-0.0518,-0.0341
Z,1000001,1050000,1026463,1134,483,11.8665,10.8739,0.0436,0.0165,0.0117
Z,1050001,1100000,1075025,958,425,7.6205,5.4564,0.1655,0.0505,0.0312
Z,1100001,1150000,1127010,925,423,17.407,17.9988,-0.0167,-0.0141,-0.0073
Z,1150001,1200000,1175318,963,341,5.3848,6.1116,-0.0632,-0.0283,-0.018
Z,1200001,1250000,1225110,901,335,7.0156,12.7061,-0.2885,-0.229,-0.1156
Z,1250001,1300000,1275668,905,351,16.37,22.3785,-0.1551,-0.142,-0.079
Z,1300001,1350000,1326400,1048,411,10.438,13.1888,-0.1164,-0.0711,-0.0389
Z,1350001,1400000,1375478,1009,388,6.217,27.5784,-0.6321,-0.6928,-0.3065
Z,1400001,1450000,1424825,1040,389,7.1181,20.9908,-0.4935,-0.2582,-0.1534
Z,1450001,1500000,1474912,957,375,6.5994,20.9935,-0.5217,-0.3256,-0.1711
Z,1500001,1550000,1523723,765,242,5.9474,7.2324,-0.0975,-0.0354,-0.0276
Z,1550001,1600000,1575477,854,344,8.1563,10.7731,-0.1382,-0.0785,-0.0465
Z,1600001,1650000,1624904,825,334,9.2042,2.6083,0.5584,0.1873,0.1603
Z,1650001,1700000,1674908,850,316,2.1665,31.9952,-0.8732,-1.1535,-0.3984
Z,1700001,1750000,1725191,798,319,1.9936,22.9507,-0.8402,-0.5895,-0.3164
Z,1750001,1800000,1775999,1000,335,4.8879,9.0372,-0.298,-0.1434,-0.0775
Z,1800001,1850000,1824388,873,296,4.8559,14.4838,-0.4978,-0.2694,-0.1545
Z,1850001,1900000,1876144,1004,354,4.1222,4.1023,0.0024,0.0008,0.0006
Z,1900001,1950000,1923310,921,314,6.2013,20.2708,-0.5315,-0.592,-0.2471
Z,1950001,2000000,1973974,860,252,6.2523,12.4903,-0.3328,-0.1927,-0.1124
